#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Josué,1.16,0.53,0,0.28,0,0.63
2,,Fábio Sturgeon,3,0,0,1,0,0
3,,Ivi López,0.74,0.37,0,0.04,0,0.48
4,,Valeriane Gvilia,3,1,0,0,0,1
5,,Damian Dąbrowski,1.53,1.13,0,1.16,0,1.19
6,,Joel Pereira,1.42,1.03,0,0.94,0,0.77
7,,Erik Janža,1.63,1.44,0,1.72,0,0.75
8,,Lukas Podolski,0.48,0.1,0,0.21,0,0.41
9,,Filip Mladenović,1.58,0.77,0,1.23,0.04,0.54
10,,Zoran Arsenić,1.32,1.65,0,2.68,0,0.32
11,,Damian Michalski,0.67,1.83,0,5.83,0,0.17
12,,Dani Pacheco,1.46,0.71,0,0.32,0,0.89
13,,Pedro Rebocho,1.79,0.89,0,0.89,0,0.37
14,,Marc Gual,0.68,0.26,0,0.61,0,0.55
15,,Filip Dagerstål,1.1,1.45,0,2.65,0,0.4
16,,Damian Kądzior,0.76,0.62,0,0.52,0,0.38
17,,Leonardo Rocha,0.46,0.08,0,0.85,0,0.46
18,,Kamil Grosicki,0.94,0.44,0,0.09,0,0.44
19,,Łukasz Łakomy,1.53,0.74,0,1.06,0,1.12
20,,Bartłomiej Pawłowski,0.31,0.16,0,0.56,0,0.59
21,,Daniel Bielica,0,0.04,0,1.08,0.04,0
22,,Michał Skóraś,1.19,0.72,0,0.22,0,0.78
23,,Dominik Furman,1.88,1.06,0.03,1.48,0,0.82
24,,Filipe Nascimento,2.23,1.23,0,0.85,0,1.23
25,,Maurides,0.44,0.06,0,1.38,0,0.25
26,,Roberto Alves,1.22,1.03,0,0.31,0,0.78
27,,Rafał Janicki,1.13,1,0,3.25,0,0.25
28,,Bartosz Nowak,0.58,0.45,0,0.1,0,0.61
29,,Said Hamulić,0.18,0.12,0,0.06,0,0.24
30,,Nika Kvekveskiri,0.93,0.75,0,0.61,0,0.86
31,,Stratos Svarnas,1.48,2.07,0.03,2.1,0.03,0.48
32,,Leonardo Koutris,2.56,2.44,0,2.31,0,0.81
33,,Sławomir Abramowicz,0,0,0,2.33,0,0
34,,David Jablonsky,1.07,2.47,0.07,4.53,0,0.07
35,,Ronaldo Deaconu,0.59,0.37,0,0.44,0,0.67
36,,Patryk Dziczek,2.74,1.3,0,1.26,0,0.61
37,,Jesús Imaz,0.82,0.24,0,0.36,0,0.82
38,,Rafał Wolski,1.47,0.57,0,0.9,0,0.9
39,,Piotr Wlazło,1.76,0.91,0,2.06,0,0.67
40,,Deian Sorescu,0.64,0.91,0,0.45,0,0.36
41,,Matej Rodin,0.86,1,0,4.86,0,0.21
42,,Mateusz Matras,1.32,1.19,0,4,0,0.29
43,,Mario Maloča,0.88,1.54,0.04,4.19,0,0.12
44,,Davo,0.61,0.28,0,0.22,0,0.89
45,,Paweł Wszołek,1.06,0.62,0.03,1.06,0,0.24
46,,Michał Nalepa,1.3,1.17,0.09,4.13,0,0.48
47,,Tomáš Petrášek,0.69,0.54,0,2.69,0,0.23
48,,Dimitar Velkovski,1.5,1.5,0.07,1.36,0,1.14
49,,Michał Chrapek,1.47,0.57,0.03,0.8,0,0.9
50,,Jan Grzesik,1.17,1.37,0,2.13,0,0.4
51,,Dominik Hładun,0.14,0.14,0,0.57,0.14,0
52,,Aleks Ławniczak,1.3,1.7,0,4.33,0,0.22
53,,Bartosz Slisz,1.56,1.97,0,1.72,0,1.28
54,,Boris Sekulić,2.73,0.45,0,1.27,0,0.55
55,,Virgil Ghiță,1.88,1.76,0.03,3.18,0.03,0.59
56,,Erik Expósito,0.45,0.14,0,1.03,0,0.38
57,,Patryk Makuch,0.88,0.41,0,0.72,0,0.41
58,,Thabo Cele,1.85,0.95,0,0.3,0,0.55
59,,Robert Ivanov,1.58,2.16,0,2.48,0,0.84
60,,Dominick Zator,1.71,1.18,0,4.12,0,0.59
61,,Jesper Karlström,1.32,1.19,0.03,0.87,0,0.35
62,,Bartlomiej Gradecki,0,0,0,0.86,0.07,0
63,,Richard Jensen,1.76,2.24,0.07,2.21,0,0.62
64,,Artur Jędrzejczyk,1.38,1.42,0,3.46,0,0.23
65,,Nené,2,1,0,1.2,0,0.67
66,,Krystian Getinger,1.94,1.12,0.03,2.41,0,0.97
67,,Bartosz Mrozek,0,0,0.03,0.82,0.03,0.03
68,,Daisuke Yokota,2,0.77,0,0.38,0,1.38
69,,Karol Knap,0.87,0.57,0,1.07,0,0.77
70,,Ariel Mosór,0.82,1.75,0.04,4.04,0.04,0.36
71,,Raphael Rossi,1.57,1.57,0,3.83,0,0.4
72,,Gabriel Kobylak,0.07,0.03,0,0.86,0.1,0
73,,Grzegorz Tomasiewicz,1.03,1.06,0,0.84,0,0.59
74,,Maik Nawrocki,1.28,1.24,0,2.56,0.04,0.32
75,,Taras Romanczuk,2.29,2.25,0,1.75,0,1.13
76,,Ľubomír Šatka,0.85,1,0,2.92,0,0.23
77,,Lukáš Hroššo,0,0,0,0,0,0
78,,Henrich Ravas,0,0.06,0,0.91,0,0
79,,Bartosz Kopacz,1.68,1.14,0,4.36,0.04,0.71
80,,Filip Bednarek,0,0,0,0.59,0.03,0
81,,Konrad Matuszewski,1.55,0.94,0,1.65,0,0.45
82,,Emil Bergström,1.24,2.16,0.04,3.44,0,0.52
83,,Vladyslav Kochergin,0.64,0.52,0.06,0.33,0,0.67
84,,Patryk Stępiński,0.67,1.39,0,2.91,0,0.15
85,,Matías Nahuel,1.03,0.93,0,0.45,0,0.69
86,,Vladan Kovačević,0,0,0.07,0.82,0.04,0
87,,Kanji Okunuki,2.04,0.46,0,0.27,0,0.88
88,,Adam Zreľák,0.84,0.29,0,0.87,0,0.58
89,,Zlatan Alomerović,0,0,0.03,1.13,0,0
90,,Dawid Abramowicz,0.97,1.16,0,2.19,0,0.45
91,,John Yeboah,0.72,0.44,0,0.06,0,0.72
92,,Barry Douglas,0.94,0.94,0.06,1.75,0,0.5
93,,Mateusz Abramowicz,0.05,0,0.05,0.65,0.05,0
94,,Jani Atanasov,1.73,1.2,0,0.73,0,1.33
95,,Kamil Kruk,1.4,1.45,0,3.45,0,0.45
96,,Radosław Murawski,2,1.32,0.03,0.61,0,0.74
97,,Dušan Kuciak,0,0,0.03,0.79,0.03,0.03
98,,Martin Kreuzriegler,1.23,1.7,0.03,3.67,0,0.57
99,,Benedikt Zech,1.17,1.13,0.03,2.47,0,0.2
100,,Aleksander Paluszek,0.65,1.29,0,2.65,0,0.12
101,,Chuca,0.87,1.67,0.03,0.93,0,0.53
102,,Bartosz Salamon,0.5,0.7,0,2.2,0,0
103,,Sokratis Dioudis,0.07,0,0,0.5,0,0
104,,Mikael Ishak,0.17,0.13,0,0.61,0,0.3
105,,Patrick Olsen,1.41,1.33,0,0.7,0,1.07
106,,Maxime Dominguez,2.1,1.79,0,0.31,0,1.48
107,,Marcin Flis,1.04,1.73,0.04,4.54,0,0.62
108,,Mateusz Żyro,1.4,0.9,0,3.3,0,0.2
109,,Pontus Almqvist,0.41,0.22,0,0.15,0,0.26
110,,Krzysztof Kubica,0.5,1.25,0,0.25,0,0.25
111,,Antonio Milić,0.7,0.83,0.04,2.83,0,0.52
112,,Fran Tudor,1.74,1.45,0,0.9,0,0.94
113,,Jarosław Kubicki,1.63,1.07,0,0.73,0,1.17
114,,Jarosław Jach,1.32,1.4,0,5,0.04,0.72
115,,Israel Puerto,1.31,1.38,0.04,5.04,0,0.62
116,,Jean Carlos,1.55,1,0,0.61,0,0.87
117,,Yevhen Konoplyanka,0.35,0.08,0.04,0.12,0,0.27
118,,Serafin Szota,1.19,0.96,0,3.56,0,0.37
119,,Filip Majchrowicz,0,0,0,0.67,0,0
120,,Rafał Augustyniak,1.56,1.08,0,2.56,0.04,0.64
121,,Piotr Malarczyk,0.82,0.65,0,3.35,0,0.35
122,,Damjan Bohar,0.58,0.21,0,0.25,0,0.33
123,,Marko Poletanović,1,0.92,0,1.25,0,0.67
124,,Dimitrios Stavropoulos,1.55,2.03,0,3,0,0.61
125,,Mateusz Szwoch,1.68,0.86,0,1.14,0.04,1.14
126,,Kamil Wilczek,0.96,0.3,0,0.85,0,0.52
127,,Constantin Reiner,2.08,1.33,0,4,0,1
128,,Milan Rundić,0.78,0.83,0,1.89,0,0.17
129,,Dawid Szymonowicz,0.97,2,0,3.06,0.03,0.36
130,,Adrian Lis,0,0.07,0,1.45,0.07,0
131,,Krzysztof Kamiński,0.1,0,0.05,1.2,0.05,0
132,,Marius Briceag,0.76,1.76,0,2.82,0,0.71
133,,Igor Drapinski,2.43,0.86,0,1.14,0,0.14
134,,Giannis Papanikolaou,2.19,1.16,0,0.94,0,0.87
135,,Jakub Czerwiński,1.28,1.53,0.06,4,0,0.5
136,,Miłosz Szczepański,0.52,0.52,0,0.3,0,0.3
137,,Miłosz Trojak,1.3,1.85,0.06,4.52,0,0.39
138,,Petr Schwarz,2.16,1,0,1.2,0,1.16
139,,Bartosz Śpiączka,0.6,0.3,0,1.33,0,0.37
140,,Marek Hanousek,3.03,1.13,0.03,1.27,0,1.23
141,,Karol Niemczycki,0,0.1,0,1,0,0.06
142,,Maciej Domański,0.32,0.32,0,0.24,0,0.65
143,,Tom Hateley,1.1,0.58,0,0.84,0,0.58
144,,Piotr Tomasik,1.41,0.78,0,2.15,0,0.89
145,,Rafał Pietrzak,1.18,1.27,0,1.36,0,0.48
146,,Vahan Bichakhchyan,0.74,0.39,0,0.32,0,0.35
147,,Alexandros Katranis,1.76,1.03,0.03,1.9,0,0.59
148,,Kacper Tobiasz,0.07,0,0,1,0,0.04
149,,Ernest Muçi,1.06,0.22,0,0.28,0,0.78
150,,Damian Rasak,1.1,1.03,0,0.86,0.03,0.69
151,,Szymon Matuszek,1.5,1.29,0,1.64,0,0.71
152,,Jakub Jugas,1.08,1.31,0.04,4,0,0.62
153,,Alexander Gorgon,0.59,0.53,0.06,0.24,0,0.41
154,,Lindsay Rose,1.06,1,0,1.94,0.06,0.41
155,,Jakub Łukowski,1.62,0.59,0,0.88,0,0.94
156,,Adam Deja,1.37,1.26,0.05,1.53,0.05,0.32
157,,Mateusz Kupczak,1.21,1.16,0,1.11,0,0.32
158,,Linus Wahlqvist,1.67,0.58,0,1.83,0,0.58
159,,Michał Mokrzycki,1.67,0,0,0.67,0,0
160,,Dante Stipica,0.1,0,0.07,1.3,0,0.03
161,,Bartłomiej Wdowik,1.46,0.62,0,1.12,0,0.69
162,,Norbert Wojtuszek,2.06,1.11,0,0.67,0,0.5
163,,Fabian Piasecki,0.61,0.04,0,0.57,0,0.04
164,,Patryk Kun,1.38,0.88,0,0.71,0,0.38
165,,Kristoffer Velde,1,0.13,0.03,0.53,0,0.73
166,,Guram Giorbelidze,1.93,1.2,0.13,1.2,0,0.53
167,,Łukasz Zwoliński,0.37,0.3,0,0.85,0,0.41
168,,Francisco Ramos,1.67,1,0,0.89,0,0.89
169,,Łukasz Sekulski,0.89,0.22,0,0.81,0,0.63
170,,Otar Kakabadze,1.52,1.33,0,1.15,0,1.3
171,,Arkadiusz Kasperkiewicz,1.41,1.48,0,1.81,0,0.78
172,,Michal Sáček,2,0.71,0,0.86,0,0.79
173,,Mateusz Wieteska,1,3,0,4,0,0
174,,František Plach,0.06,0,0,0.73,0,0
175,,Stefan Savić,0.73,0.07,0,0.2,0,0.4
176,,Joel Abu Hanna,1.07,2.07,0,2.8,0,0.33
177,,Artur Sobiech,0.53,0.07,0,0.33,0,0
178,,Bartosz Kapustka,1.45,0.72,0,0.14,0,0.66
179,,Victor Garcia Marin,2.48,1.17,0.07,1.59,0,1.07
180,,Jakub Bartkowski,1.17,0.97,0,3.07,0,0.31
181,,Kristers Tobers,1,1.27,0,2.69,0,0.54
182,,Alex Vallejo,1.79,0.86,0,1.21,0,0.64
183,,Steve Kapuadi,0.88,1.15,0,3.96,0,0.27
184,,Konrad Forenc,0.05,0,0,1.5,0,0.05
185,,Kamil Pestka,2.17,1,0,1.33,0,0.83
186,,Kacper Chodyna,0.94,0.58,0,0.58,0,0.79
187,,Patryk Lipski,0.6,0.6,0,0.4,0,0
188,,Bogdan Țîru,1.93,1.73,0.07,3.13,0,0.67
189,,Mathias Hebo Rasmussen,0.92,0.75,0,0.67,0,0.75
