#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Josué,0.28,0.03,36.84,60.26,3.5,0.97
2,,Fábio Sturgeon,0,0,0,80,0,0
3,,Ivi López,0.11,0,39.29,48.54,0.93,0.52
4,,Valeriane Gvilia,0,0,100,71.43,1,0
5,,Damian Dąbrowski,0.13,0,61.29,53.57,0.47,0.78
6,,Joel Pereira,0.13,0,57.58,58.51,0.9,0.84
7,,Erik Janža,0.34,0,43.75,53.43,1.06,1.06
8,,Lukas Podolski,0.17,0,43.24,45.56,0.9,0.72
9,,Filip Mladenović,0.31,0,28.57,52.33,1.27,1.15
10,,Zoran Arsenić,0.26,0,61.85,64.07,1.58,1.03
11,,Damian Michalski,0.17,0,68.97,68.18,1.17,0.83
12,,Dani Pacheco,0.25,0,37.04,51.21,0.68,0.82
13,,Pedro Rebocho,0,0,40,58.33,0.53,0.37
14,,Marc Gual,0.16,0,17.72,38.43,0.94,0.45
15,,Filip Dagerstål,0.05,0,56.9,54.39,0.15,0.65
16,,Damian Kądzior,0.14,0,15.15,47.13,2.24,1.33
17,,Leonardo Rocha,0.15,0,47.01,45.97,2.15,1.69
18,,Kamil Grosicki,0,0,33.33,41.36,0.15,0.32
19,,Łukasz Łakomy,0.09,0,33.33,45.63,0.97,1.29
20,,Bartłomiej Pawłowski,0.06,0,42.11,46.78,1.88,0.91
21,,Daniel Bielica,0.13,0,100,100,0.13,0
22,,Michał Skóraś,0.19,0,20.59,47.13,1.84,1.5
23,,Dominik Furman,0.15,0,52.5,58.05,1.18,0.88
24,,Filipe Nascimento,0.62,0,38.46,55.17,1.62,1.23
25,,Maurides,0.19,0,59.69,57.67,1.13,0.81
26,,Roberto Alves,0.16,0,26.67,51.05,1.63,1.31
27,,Rafał Janicki,0.19,0,65.57,62.39,0.5,0.88
28,,Bartosz Nowak,0.1,0,17.86,35.29,0.52,0.55
29,,Said Hamulić,0.06,0,38.18,49.69,2.41,0.59
30,,Nika Kvekveskiri,0.25,0,59.38,51.27,0.79,0.89
31,,Stratos Svarnas,0.21,0,67.78,60.09,0.83,1.31
32,,Leonardo Koutris,0.13,0,64.29,62.11,1.31,1.13
33,,Sławomir Abramowicz,0,0,100,100,0,0
34,,David Jablonsky,0.4,0.07,66.67,59.22,0.4,1.27
35,,Ronaldo Deaconu,0.07,0,45.95,50,0.89,0.59
36,,Patryk Dziczek,0.35,0.04,59.09,54.47,0.83,2.04
37,,Jesús Imaz,0.09,0,32.61,37.44,0.76,0.91
38,,Rafał Wolski,0.13,0.03,40.54,53.28,2.8,1.13
39,,Piotr Wlazło,0.18,0,63.1,63.34,1.58,1.33
40,,Deian Sorescu,0.09,0,57.89,61.43,1.73,0.82
41,,Matej Rodin,0.07,0,68.63,63.04,0.79,1
42,,Mateusz Matras,0.13,0.03,64.17,58.13,0.65,1.45
43,,Mario Maloča,0.12,0.04,75.41,75.45,0.54,0.31
44,,Davo,0.06,0,23.53,42.36,1.33,0.78
45,,Paweł Wszołek,0.09,0,59.78,51.82,0.5,0.91
46,,Michał Nalepa,0.35,0,64.81,58.38,0.65,1.39
47,,Tomáš Petrášek,0.15,0.08,77.78,70.79,0.31,0.69
48,,Dimitar Velkovski,0.21,0,14.29,45.05,1,0.93
49,,Michał Chrapek,0.23,0,37.84,49.43,1.6,1.37
50,,Jan Grzesik,0.2,0,46.43,55.13,1.57,0.9
51,,Dominik Hładun,0.14,0,100,100,0.29,0
52,,Aleks Ławniczak,0.11,0,56.86,61.86,0.89,0.78
53,,Bartosz Slisz,0.09,0.03,63.64,50.57,0.84,1.03
54,,Boris Sekulić,0.09,0,36.84,54.08,0.55,1.09
55,,Virgil Ghiță,0.06,0,70.49,61.4,0.24,0.85
56,,Erik Expósito,0.14,0,46.4,47.76,1.83,1.28
57,,Patryk Makuch,0.16,0,54.7,54.37,2,1.19
58,,Thabo Cele,0.05,0,42.31,59.39,1.8,1.1
59,,Robert Ivanov,0.1,0,72.12,62.5,0.71,0.9
60,,Dominick Zator,0.12,0,54.69,57.55,0.65,0.76
61,,Jesper Karlström,0.19,0,51.02,56.96,1.16,1.23
62,,Bartlomiej Gradecki,0.21,0,100,100,0.07,0
63,,Richard Jensen,0.14,0.03,58.9,57.07,0.34,0.9
64,,Artur Jędrzejczyk,0.42,0.04,68.42,66.08,1.31,1.23
65,,Nené,0.33,0.03,55.17,58.11,2.1,1.63
66,,Krystian Getinger,0.09,0,56.52,56.62,1.09,0.68
67,,Bartosz Mrozek,0.09,0,100,77.78,0.12,0.03
68,,Daisuke Yokota,0.08,0,29.41,52.26,1.46,1.15
69,,Karol Knap,0.07,0,63.04,52.41,0.57,0.67
70,,Ariel Mosór,0.07,0.04,64.9,63.14,0.96,0.89
71,,Raphael Rossi,0.3,0.03,71.68,63.78,0.93,1.33
72,,Gabriel Kobylak,0.1,0,90.91,95.65,0.34,0
