#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Josué,0.34,0.19,63.72,83.52,21.38,66.18
2,,Fábio Sturgeon,1,0,12,66.67,3,0
3,,Ivi López,0.26,0.22,30.74,78.8,13.04,65.67
4,,Valeriane Gvilia,0,0,42,92.86,10,50
5,,Damian Dąbrowski,0.03,0.09,77.31,88.8,20.84,70.08
6,,Joel Pereira,0.32,0.06,50.61,81.64,14.77,65.1
7,,Erik Janža,0.34,0.25,53.78,79.43,14.16,52.36
8,,Lukas Podolski,0.38,0.31,37.07,84.47,13.28,72.87
9,,Filip Mladenović,0.35,0.19,38.38,80.16,8.58,55.65
10,,Zoran Arsenić,0.03,0.03,55.32,84.66,5.26,53.23
11,,Damian Michalski,0.17,0,56.67,89.41,1.5,60
12,,Dani Pacheco,0.18,0.18,35.79,78.24,10.11,58.64
13,,Pedro Rebocho,0.05,0.11,56.11,88.74,17.11,73.91
14,,Marc Gual,0.32,0.19,19,69.78,5.35,37.04
15,,Filip Dagerstål,0.1,0.1,60.45,90.16,5.4,64.71
16,,Damian Kądzior,0.29,0.24,21.62,80.4,8.86,50
17,,Leonardo Rocha,0.15,0,14,48.35,4.08,30
18,,Kamil Grosicki,0.44,0.18,31.65,72.96,14.47,66.67
19,,Łukasz Łakomy,0.26,0.09,42.62,75.71,12.59,52.24
20,,Bartłomiej Pawłowski,0.28,0.13,18.72,73.79,6,44.64
21,,Daniel Bielica,0,0,30.92,62.67,0.67,34.22
22,,Michał Skóraś,0.19,0.09,25.41,82.29,10.38,78.33
23,,Dominik Furman,0.21,0.12,49.61,88.39,9.85,59.84
24,,Filipe Nascimento,0.23,0.15,44.23,84.7,7,64.29
25,,Maurides,0.13,0.25,17.94,59.23,4.13,80
26,,Roberto Alves,0.16,0.13,33.66,79.2,8.72,58.33
27,,Rafał Janicki,0.06,0.06,45.75,87.16,3.25,63.04
28,,Bartosz Nowak,0.32,0.13,21.74,73.74,8.74,51.06
29,,Said Hamulić,0.06,0.12,7.29,59.68,1.88,42.86
30,,Nika Kvekveskiri,0.18,0.07,48.43,89.6,11.46,71.23
31,,Stratos Svarnas,0.07,0.1,56.31,83.71,9.21,58.78
32,,Leonardo Koutris,0.06,0,50.31,77.14,12.5,32.53
33,,Sławomir Abramowicz,0,0,21,46.03,0.33,17.5
34,,David Jablonsky,0,0,32.67,80.82,3.13,55.29
35,,Ronaldo Deaconu,0.48,0.07,21.26,75.78,7.37,55.37
36,,Patryk Dziczek,0.13,0.09,45.83,79.22,10.22,65.64
37,,Jesús Imaz,0.27,0.09,31.18,73.66,8.55,51.76
38,,Rafał Wolski,0.17,0.27,31.27,73.67,10.3,40.32
39,,Piotr Wlazło,0,0,40.73,76.79,6.76,56.05
40,,Deian Sorescu,0.18,0,24.45,74.72,7.64,30.77
41,,Matej Rodin,0,0,38.5,79.04,2.57,46.32
42,,Mateusz Matras,0.06,0.06,48.45,83.82,2.84,52.49
43,,Mario Maloča,0,0,52,89.5,2.15,62.3
44,,Davo,0.17,0.17,28.67,73.06,7.83,59.65
45,,Paweł Wszołek,0.35,0.21,29.03,80.95,9.97,48.78
46,,Michał Nalepa,0.09,0.04,52.96,87.6,3.65,54.81
47,,Tomáš Petrášek,0,0,30.85,79.3,1.92,47.54
48,,Dimitar Velkovski,0.36,0.21,29.07,72.73,8.57,30
49,,Michał Chrapek,0.17,0.17,37.6,77.66,11.4,71.95
50,,Jan Grzesik,0.17,0.07,27.3,74.48,5.9,40.43
51,,Dominik Hładun,0,0,34.86,69.67,0.29,33.33
52,,Aleks Ławniczak,0.04,0,40.93,84.62,1.41,42.86
53,,Bartosz Slisz,0.16,0.13,59.59,87.21,12.59,68.54
54,,Boris Sekulić,0.18,0.09,33.55,80.22,5.36,33.33
55,,Virgil Ghiță,0,0,44.29,79.42,5,50.21
56,,Erik Expósito,0.21,0.17,18.1,61.71,4.24,63.33
57,,Patryk Makuch,0.13,0.03,18,61.28,5.38,41.38
58,,Thabo Cele,0.15,0.05,33,86.52,7.3,73.02
59,,Robert Ivanov,0,0,53.48,76.18,7.35,44.78
60,,Dominick Zator,0.18,0.06,35.47,71.48,5.94,30.3
61,,Jesper Karlström,0.1,0.03,51.35,84.11,12.1,52.76
62,,Bartlomiej Gradecki,0,0,35,72.65,0.43,39.71
