#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Josué,0,0.09,0,0,0.97,0.16
2,,Fábio Sturgeon,0,0,0,0,0,0
3,,Ivi López,0,0.04,0,0,0.41,0.15
4,,Valeriane Gvilia,0,0,0,0,0,1
5,,Damian Dąbrowski,0,0.25,0,0,1.13,0.19
6,,Joel Pereira,0,0.39,0,0,0.42,0.1
7,,Erik Janža,0,0.28,0,0,1.09,0.16
8,,Lukas Podolski,0,0.17,0,0,0.83,0.17
9,,Filip Mladenović,0,0.31,0,0,1,0.08
10,,Zoran Arsenić,0,0.48,0,0,0.48,0.13
11,,Damian Michalski,0,0.33,0,0,0.5,0.33
12,,Dani Pacheco,0,0.18,0,0,0.64,0.07
13,,Pedro Rebocho,0,0.32,0,0,0.63,0.16
14,,Marc Gual,0,0.03,0,0,1.1,0.1
15,,Filip Dagerstål,0,0.55,0,0,0.45,0.2
16,,Damian Kądzior,0,0,0,0,0.43,0.14
17,,Leonardo Rocha,0,0.23,0,0,0.69,0.08
18,,Kamil Grosicki,0,0.18,0,0,1.15,0.18
19,,Łukasz Łakomy,0,0.12,0,0,0.94,0.15
20,,Bartłomiej Pawłowski,0,0.06,0,0,0.97,0.28
21,,Daniel Bielica,3.17,0.38,0.17,0.08,0.92,0.13
22,,Michał Skóraś,0,0.19,0,0,0.41,0.16
23,,Dominik Furman,0,0.18,0,0,1,0.36
24,,Filipe Nascimento,0,0.08,0,0,1.15,0.15
25,,Maurides,0,0,0,0,1.13,0.06
26,,Roberto Alves,0,0.22,0,0,0.94,0.16
27,,Rafał Janicki,0,0.19,0,0,1,0.19
28,,Bartosz Nowak,0,0.03,0,0,0.35,0.03
29,,Said Hamulić,0,0.12,0,0,0.94,0
30,,Nika Kvekveskiri,0,0.14,0,0,0.43,0.11
31,,Stratos Svarnas,0,0.41,0,0,0.62,0.14
32,,Leonardo Koutris,0,0.31,0,0,0.94,0.19
33,,Sławomir Abramowicz,3.67,0,0.33,0.33,1,0.33
34,,David Jablonsky,0,0.4,0,0,0.6,0.07
35,,Ronaldo Deaconu,0,0.07,0,0,1.04,0.15
36,,Patryk Dziczek,0,0.22,0,0,0.57,0.22
37,,Jesús Imaz,0,0.03,0,0,1.18,0.18
38,,Rafał Wolski,0,0.03,0,0,0.87,0.27
39,,Piotr Wlazło,0,0.33,0,0,0.94,0.06
40,,Deian Sorescu,0,0,0,0,0.27,0.09
41,,Matej Rodin,0,0.36,0,0,0.57,0.14
42,,Mateusz Matras,0,0.32,0,0,1.16,0.06
43,,Mario Maloča,0,0.35,0,0,1.19,0.08
44,,Davo,0,0.06,0,0,0.78,0.33
45,,Paweł Wszołek,0,0.18,0,0,0.71,0.18
46,,Michał Nalepa,0,0.26,0,0,1.43,0.17
47,,Tomáš Petrášek,0,0.23,0,0,0.08,0.08
48,,Dimitar Velkovski,0,0.07,0,0,1.07,0.29
49,,Michał Chrapek,0,0.03,0,0,0.57,0.1
50,,Jan Grzesik,0,0.3,0,0,0.83,0.1
51,,Dominik Hładun,3,0.43,0,0,0.86,0.14
52,,Aleks Ławniczak,0,0.3,0,0,0.96,0.07
53,,Bartosz Slisz,0,0.28,0,0,0.78,0.16
54,,Boris Sekulić,0,0.45,0,0,0.45,0.09
55,,Virgil Ghiță,0,0.35,0,0,0.85,0.18
56,,Erik Expósito,0,0.07,0,0,1,0.21
57,,Patryk Makuch,0,0.09,0,0,0.5,0.13
58,,Thabo Cele,0,0.05,0,0,0.75,0.1
59,,Robert Ivanov,0,0.32,0,0,0.84,0.06
60,,Dominick Zator,0,0.35,0,0,1.12,0.12
61,,Jesper Karlström,0,0.26,0,0,0.45,0.16
62,,Bartlomiej Gradecki,3.79,0.21,0.14,0,0.86,0.43
63,,Richard Jensen,0,0.28,0,0,0.93,0.17
64,,Artur Jędrzejczyk,0,0.38,0,0,0.69,0.12
65,,Nené,0,0.07,0,0,0.93,0.17
66,,Krystian Getinger,0,0.26,0,0,1.09,0.06
67,,Bartosz Mrozek,3.24,0.35,0.12,0,1.12,0.06
68,,Daisuke Yokota,0,0.08,0,0,0.54,0.15
69,,Karol Knap,0,0.07,0,0,0.4,0.1
70,,Ariel Mosór,0,0.36,0,0,0.57,0.21
71,,Raphael Rossi,0,0.23,0,0,1.03,0.13
72,,Gabriel Kobylak,3.34,0.28,0.1,0,0.93,0.17
73,,Grzegorz Tomasiewicz,0,0.19,0,0,0.56,0.19
74,,Maik Nawrocki,0,0.24,0,0,0.88,0.24
75,,Taras Romanczuk,0,0.13,0,0,1,0.17
76,,Ľubomír Šatka,0,0.38,0,0,0.77,0.08
77,,Lukáš Hroššo,2,0.33,0,0,0.33,0.33
78,,Henrich Ravas,3.24,0.36,0.09,0.03,1.03,0.3
79,,Bartosz Kopacz,0,0.25,0,0,1.07,0.25
80,,Filip Bednarek,2.38,0.5,0.22,0.06,0.66,0.13
81,,Konrad Matuszewski,0,0.06,0,0,0.84,0.13
82,,Emil Bergström,0,0.24,0,0,0.92,0.12
83,,Vladyslav Kochergin,0,0.06,0,0,0.55,0.15
84,,Patryk Stępiński,0,0.24,0,0,1,0.3
85,,Matías Nahuel,0,0,0,0,0.93,0.21
86,,Vladan Kovačević,2,0.57,0.18,0.04,0.46,0.14
87,,Kanji Okunuki,0,0.08,0,0,0.92,0.08
88,,Adam Zreľák,0,0.26,0,0,0.87,0.1
89,,Zlatan Alomerović,3.78,0.16,0.13,0,1.25,0.16
90,,Dawid Abramowicz,0,0.29,0,0,1.03,0.13
91,,John Yeboah,0,0,0,0,0.78,0.22
92,,Barry Douglas,0,0.31,0,0,0.31,0.25
93,,Mateusz Abramowicz,4.1,0.2,0.25,0,1,0.35
94,,Jani Atanasov,0,0.07,0,0,0.93,0.2
95,,Kamil Kruk,0,0.35,0,0,0.7,0.05
96,,Radosław Murawski,0,0.23,0,0,0.52,0.1
97,,Dušan Kuciak,3.55,0.31,0.21,0.03,1.31,0.14
98,,Martin Kreuzriegler,0,0.17,0,0,0.77,0.17
99,,Benedikt Zech,0,0.17,0,0,1.13,0.17
100,,Aleksander Paluszek,0,0.18,0,0,0.65,0.06
101,,Chuca,0,0.07,0,0,0.97,0.23
102,,Bartosz Salamon,0,0.3,0,0,0.6,0
103,,Sokratis Dioudis,2.79,0.36,0.07,0.07,0.86,0.07
104,,Mikael Ishak,0,0.13,0,0,0.65,0.17
105,,Patrick Olsen,0,0.22,0,0,0.93,0.19
106,,Maxime Dominguez,0,0.03,0,0,1.14,0.24
107,,Marcin Flis,0,0.38,0,0,1,0.08
108,,Mateusz Żyro,0,0.23,0,0,0.83,0.27
109,,Pontus Almqvist,0,0,0,0,0.74,0.11
110,,Krzysztof Kubica,0.25,0,0,0,0.5,0
111,,Antonio Milić,0,0.35,0,0,0.7,0.13
112,,Fran Tudor,0,0.39,0,0,0.48,0.1
113,,Jarosław Kubicki,0,0.2,0,0,1.3,0.1
114,,Jarosław Jach,0,0.24,0,0,1.04,0.24
115,,Israel Puerto,0,0.15,0,0,1.08,0.15
116,,Jean Carlos,0,0.13,0,0,0.29,0.1
117,,Yevhen Konoplyanka,0,0,0,0,0.54,0.12
118,,Serafin Szota,0,0.33,0,0,1.04,0.22
119,,Filip Majchrowicz,2.67,0.33,0.33,0,1,0
120,,Rafał Augustyniak,0,0.28,0,0,0.68,0.12
