#,Team,Name
1,,Daniel Bielica
2,,Sławomir Abramowicz
3,,Dominik Hładun
4,,Bartlomiej Gradecki
5,,Bartosz Mrozek
6,,Gabriel Kobylak
7,,Lukáš Hroššo
8,,Henrich Ravas
9,,Filip Bednarek
10,,Vladan Kovačević
11,,Zlatan Alomerović
12,,Mateusz Abramowicz
13,,Dušan Kuciak
14,,Sokratis Dioudis
15,,Filip Majchrowicz
16,,Adrian Lis
17,,Krzysztof Kamiński
18,,Karol Niemczycki
19,,Kacper Tobiasz
20,,Dante Stipica
21,,František Plach
22,,Konrad Forenc
23,,Marcel Zapytowski
24,,Paweł Lenarcik
25,,Michał Szromnik
26,,Kacper Bieszczad
27,,Michał Buchalik
28,,Kevin Broll
29,,Jasmin Burić
30,,Bartosz Klebaniuk
31,,Rafał Leszczyński
32,,Artur Rudko
33,,Kacper Trelowski
34,,Jakub Ojrzyński
35,,Jedrzej Grobelny
36,,Stefanos Kapino
37,,Dominik Holec
38,,Jakub Wrąbel
39,,Albert Posiadała
