Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Otávio,0.19,0.15,57.75,1.41,0,0,2.59,0.67,0,0.52,0,1.81,0.48,0.26,54.56,81.53,18.07,61.54,0,0.3,0,0,0.52,0.07,0.26,0,54.72,56.2,3.04,1.63,27
Matheus Nunes,0.5,0,66.67,1,0,0,1,1.5,0,0,0,0,0,0.5,49,89.8,14.5,70,0,0.5,0,0,1.5,0,0.5,0,50,61.9,1.5,1.5,2
Enzo Fernández,0.06,0.18,62.5,1.71,0,0,2.35,0.88,0,0.18,0,1.24,0.53,0.29,95.82,87.85,21.94,73.85,0,0.35,0,0,0.65,0,0.18,0,39.13,50.34,0.94,1.06,17
Alejandro Grimaldo,0.15,0.03,50,1.21,0,0.36,2.24,1.18,0,0.67,0,1.18,0.67,0.27,60.06,85.97,18.06,55.1,0,0.48,0,0,0.48,0.03,0.15,0,47.5,54.61,0.94,0.61,33
Pedro Gonçalves,0.45,0.33,42.72,3.15,0.03,0,1.79,0.64,0,0.15,0,0.91,0.48,0.33,34.73,81.33,11.91,67.11,0,0.21,0,0,0.79,0.12,0.24,0,36.36,46.15,1,0.61,33
Samuel,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,30.75,61.79,1.25,36.49,4,0.5,0,0,0.5,0,0.25,0,100,80,0,0,4
Iuri Medeiros,0.33,0.2,57.14,2.73,0,0.56,0.8,0.2,0,0.13,0,0.67,0.63,0.2,28.17,82.01,10.43,75.76,0,0,0,0,0.53,0.03,0.17,0,31.25,48.21,0.83,0.53,30
Ricardo Horta,0.47,0.33,38.78,3.13,0,0,1.17,0.4,0,0.3,0,1,0.27,0.27,37.13,84.38,15.1,60,0,0.37,0,0,0.7,0.03,0.13,0,43.75,46.85,1.43,0.67,30
Mehdi Taremi,0.67,0.52,50,2.91,0.06,0,0.67,0.24,0,0.52,0,0.64,0.33,0.21,23.91,75.03,8.64,50,0,0.12,0,0,0.42,0.03,0.21,0,52.14,49.52,1.27,1,33
Lucas Paes,0,0,0,0,0,0,0,0,0,1.5,0,1,0.5,0,28.5,56.14,1,29.41,7,0,0,0,3.5,0,0,0,100,33.33,0,0,2
João Mário,0.52,0.3,50,2.3,0,0,1.36,0.33,0,0.27,0,0.97,0.33,0.21,43.27,87.61,19.73,64.15,0,0.27,0,0,0.52,0.03,0.12,0.03,39.39,46.56,1.58,1.36,33
Pedro Porro,0.14,0.07,47.06,2.57,0.07,0,1.36,0.57,0.07,0.93,0,0.86,0.57,0.43,37.5,74.86,7.79,44.32,0,0.07,0,0,0.71,0.07,0.29,0.07,50,52.99,1.71,1.14,14
João Batxi,0.25,0,50,0.75,0.25,0,1.25,0.25,0,0,0,0.25,0.25,0.25,19,73.68,6,50,0,0,0,0,0.5,0.25,0.25,0,0,60,2,0.25,4
Nuno Santos,0.26,0.13,52.17,1.61,0,0,0.71,0.74,0,0.35,0,0.48,0.35,0.16,38.74,85.76,11.39,75.47,0,0.16,0,0,0.65,0.13,0.16,0,55.56,55.12,1,0.52,31
Luis Felipe,0,0,0,0,0,0,0,0,0,3,0,0,0,0,19,52.63,1,30.77,5,0,0,0,1,0,1,0,0,100,1,0,1
Willyan Rocha,0,0,60,1,0,0,1.75,2,0,4,0,0.75,0,0,61.75,76.52,6.5,45.1,0,0.5,0,0,0.5,0,0.25,0,81.82,75.51,2.25,1,4
Andrew,0,0,0,0,0,0,0.04,0,0.04,1.33,0.04,0.13,0,0,31.38,75.83,0.58,44.3,4,0.25,0.08,0,1.04,0.04,0.04,0,100,78.95,0.08,0.04,24
Ignacio de Arruabarrena,0,0,0,0,0,0,0.1,0,0,1.47,0.07,0,0.03,0.03,28.1,60.74,0.77,38.91,3.43,0.43,0.3,0.13,0.9,0.17,0.17,0,89.47,93.33,0.33,0,30
Manuel Lopes,0,0.2,100,1.2,0,0,0.4,1.2,0,2.2,0,0.2,0,0,58.6,94.2,4.4,58.82,0,0,0,0,1.6,0,0,0,64.29,64,0.6,0.2,5
Nicolás Otamendi,0.03,0.03,53.85,0.97,0.03,0,2.16,2.1,0.03,2.84,0.03,0.61,0,0,72.29,90.36,6.58,61.61,0,0.58,0,0,0.52,0.06,0.29,0.03,67.16,64.6,0.77,1.03,31
Kevin Pina,0,0,85.71,1.6,0,0,2.2,2,0,1.4,0,0.8,0,0.4,26.2,85.5,3.8,64.71,0,0,0,0,0.6,0.2,0.2,0,50,53.57,0.6,1.6,5
Mutassim Al Musrati,0.11,0.07,66.67,0.96,0.04,0,2.36,2.04,0,0.89,0,1.21,0.21,0.07,56.89,84.24,9.54,72.76,0,0.36,0,0,0.71,0.04,0.29,0,57.58,51.97,0.64,1.36,28
Kosuke Nakamura,0,0,100,0,0,0,0.03,0,0.03,1.53,0.07,0.07,0,0,34.6,66.18,1.27,40.63,4.57,0.2,0.13,0.03,1.4,0.13,0.1,0,100,82.35,0.2,0.03,30
Alexander Bah,0.04,0,33.33,0.32,0,0,2.11,1.29,0,1,0,0.68,0.39,0.14,44.68,81.53,11.86,47.5,0,0.29,0,0,0.32,0,0.04,0,53.62,56.3,1.39,1.18,28
