#,Team,Name,Appearances
1,,Otávio,27
2,,Matheus Nunes,2
3,,Enzo Fernández,17
4,,Alejandro Grimaldo,33
5,,Pedro Gonçalves,33
6,,Samuel,4
7,,Iuri Medeiros,30
8,,Ricardo Horta,30
9,,Mehdi Taremi,33
10,,Lucas Paes,2
11,,João Mário,33
12,,Pedro Porro,14
13,,João Batxi,4
14,,Nuno Santos,31
15,,Luis Felipe,1
16,,Willyan Rocha,4
17,,Andrew,24
18,,Ignacio de Arruabarrena,30
19,,Manuel Lopes,5
20,,Nicolás Otamendi,31
21,,Kevin Pina,5
22,,Mutassim Al Musrati,28
23,,Kosuke Nakamura,30
24,,Alexander Bah,28
25,,Fabiano Silva,12
26,,Wenderson Galeno,31
27,,Dylan Batubinsika,2
28,,Paulo Vítor,30
29,,Ricardo Batista,31
30,,António Silva,30
31,,Matouš Trmal,6
32,,Bruno Xadas,32
33,,Iván Marcano,25
34,,Yanis Hamache,2
35,,Gonçalo Ramos,30
36,,Stanislav Kritsyuk,11
37,,Bruma,16
38,,Marcus Edwards,33
39,,Mateus Uribe,31
40,,João Basso,32
41,,Iván Jaime,24
42,,Filipe Relvas,33
43,,Santiago Colombatto,33
44,,Tomás Araújo,22
45,,Florentino Luís,33
46,,Gonçalo Rodrigues,33
47,,Chiquinho,25
48,,Tiago Silva,28
49,,Matheus,32
50,,Steven Vitória,31
51,,Vítor Carvalho,31
52,,Jhonatan,32
53,,Manuel Ugarte,31
54,,Aderllan Santos,32
55,,Francisco Trincão,34
56,,Pepê,34
57,,David Neres,31
58,,Bruno Wilson,24
59,,Félix Correia,13
60,,Luiz Júnior,33
61,,Bruno Langa,29
62,,João Teixeira,32
63,,Pepe,24
64,,Paulo Estrela,26
65,,Alan Ruiz,31
66,,Bruno Varela,27
67,,Pedrão,29
68,,Vitinha,17
69,,Fredrik Aursnes,28
70,,Felipe Morato,9
71,,Simon Banza,30
72,,Gonçalo Inácio,33
73,,João Correia,24
74,,Samu,33
75,,Carlos Ponck,21
76,,Oday Dabbagh,14
77,,Chico Lamba,1
78,,Pastor,1
79,,João Vigário,1
80,,Julian Weigl,2
81,,Ibrahima Bamba,28
82,,Wendell,26
83,,Paulinho,22
84,,André Horta,32
85,,Stephen Eustaquio,29
86,,Yuki Soma,18
87,,Hidemasa Morita,29
88,,Nicolás Gaitán,27
89,,Vítor Tormena,27
90,,David Simão,31
91,,Nuno Sequeira,27
92,,Fábio Cardoso,17
93,,Ivo Rodrigues,30
94,,Vasco Fernandes,30
95,,Daniel Figueira,32
96,,Morlaye Sylla,33
97,,Miguel Maga,24
98,,Odysseas Vlachodimos,34
99,,Diego Lainez,6
100,,Costinha,33
101,,João Carvalho,29
102,,Cristian Tassano,13
103,,Kiki Afonso,28
104,,Sebastián Pérez,29
105,,Raphael Guzzo,30
106,,André Silva,23
107,,Lucas Cunha,15
108,,Victor Gómez,26
109,,Marko Grujić,24
110,,Diogo Costa,33
111,,Toni Martínez,31
112,,Fabijan Buntić,33
113,,Alexandre Penetra,29
114,,Luquinha,17
115,,André Amaro,27
116,,Evanilson,23
117,,José Luis Rodríguez,7
118,,Petar Musa,30
119,,Yusupha Njie,27
120,,Rosier Loreintz,12
121,,Aziz,17
122,,Danilo Veiga,9
123,,Sebastián Coates,30
124,,Gilberto,20
125,,Bruno Costa,6
126,,Zaydou Youssouf,32
127,,Moises Mosquera,20
128,,Tomás Silva,22
