#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Otávio,0.19,0.15,57.75,1.41,0,0
2,,Matheus Nunes,0.5,0,66.67,1,0,0
3,,Enzo Fernández,0.06,0.18,62.5,1.71,0,0
4,,Alejandro Grimaldo,0.15,0.03,50,1.21,0,0.36
5,,Pedro Gonçalves,0.45,0.33,42.72,3.15,0.03,0
6,,Samuel,0,0,0,0,0,0
7,,Iuri Medeiros,0.33,0.2,57.14,2.73,0,0.56
8,,Ricardo Horta,0.47,0.33,38.78,3.13,0,0
9,,Mehdi Taremi,0.67,0.52,50,2.91,0.06,0
10,,Lucas Paes,0,0,0,0,0,0
11,,João Mário,0.52,0.3,50,2.3,0,0
12,,Pedro Porro,0.14,0.07,47.06,2.57,0.07,0
13,,João Batxi,0.25,0,50,0.75,0.25,0
14,,Nuno Santos,0.26,0.13,52.17,1.61,0,0
15,,Luis Felipe,0,0,0,0,0,0
16,,Willyan Rocha,0,0,60,1,0,0
17,,Andrew,0,0,0,0,0,0
18,,Ignacio de Arruabarrena,0,0,0,0,0,0
19,,Manuel Lopes,0,0.2,100,1.2,0,0
20,,Nicolás Otamendi,0.03,0.03,53.85,0.97,0.03,0
21,,Kevin Pina,0,0,85.71,1.6,0,0
22,,Mutassim Al Musrati,0.11,0.07,66.67,0.96,0.04,0
23,,Kosuke Nakamura,0,0,100,0,0,0
24,,Alexander Bah,0.04,0,33.33,0.32,0,0
25,,Fabiano Silva,0,0,54.55,0.33,0,0
26,,Wenderson Galeno,0.26,0.29,55.41,2.32,0,0
27,,Dylan Batubinsika,0,0,0,0.5,0,0
28,,Paulo Vítor,0,0,100,0,0,0
29,,Ricardo Batista,0,0,100,0,0,0
30,,António Silva,0.1,0.1,60,0.6,0.07,0
31,,Matouš Trmal,0,0,0,0,0,0
32,,Bruno Xadas,0.09,0.03,55.32,2.34,0,0
33,,Iván Marcano,0.16,0.04,60,0.6,0.12,0
34,,Yanis Hamache,0,0,100,1,0,0
