#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Otávio,2.59,0.67,0,0.52,0,1.81
2,,Matheus Nunes,1,1.5,0,0,0,0
3,,Enzo Fernández,2.35,0.88,0,0.18,0,1.24
4,,Alejandro Grimaldo,2.24,1.18,0,0.67,0,1.18
5,,Pedro Gonçalves,1.79,0.64,0,0.15,0,0.91
6,,Samuel,0,0,0,0.75,0,0.25
7,,Iuri Medeiros,0.8,0.2,0,0.13,0,0.67
8,,Ricardo Horta,1.17,0.4,0,0.3,0,1
9,,Mehdi Taremi,0.67,0.24,0,0.52,0,0.64
10,,Lucas Paes,0,0,0,1.5,0,1
11,,João Mário,1.36,0.33,0,0.27,0,0.97
12,,Pedro Porro,1.36,0.57,0.07,0.93,0,0.86
13,,João Batxi,1.25,0.25,0,0,0,0.25
14,,Nuno Santos,0.71,0.74,0,0.35,0,0.48
15,,Luis Felipe,0,0,0,3,0,0
16,,Willyan Rocha,1.75,2,0,4,0,0.75
17,,Andrew,0.04,0,0.04,1.33,0.04,0.13
18,,Ignacio de Arruabarrena,0.1,0,0,1.47,0.07,0
19,,Manuel Lopes,0.4,1.2,0,2.2,0,0.2
20,,Nicolás Otamendi,2.16,2.1,0.03,2.84,0.03,0.61
21,,Kevin Pina,2.2,2,0,1.4,0,0.8
22,,Mutassim Al Musrati,2.36,2.04,0,0.89,0,1.21
23,,Kosuke Nakamura,0.03,0,0.03,1.53,0.07,0.07
24,,Alexander Bah,2.11,1.29,0,1,0,0.68
25,,Fabiano Silva,3.08,1.42,0,1.42,0,0.5
26,,Wenderson Galeno,0.9,0.68,0,0.77,0,0.45
27,,Dylan Batubinsika,3,2,0,4,0,0
28,,Paulo Vítor,0.03,0,0,1.9,0.1,0.03
29,,Ricardo Batista,0,0.03,0,1.35,0.03,0.03
30,,António Silva,1.9,1.27,0.03,2.9,0.03,0.57
31,,Matouš Trmal,0,0,0,0.67,0,0.17
32,,Bruno Xadas,0.88,0.41,0,0.44,0,1
33,,Iván Marcano,0.72,1.08,0,2.56,0,0.4
34,,Yanis Hamache,1,0.5,0,3.5,0,1
35,,Gonçalo Ramos,0.67,0.1,0,1.2,0,0.47
36,,Stanislav Kritsyuk,0.09,0,0,1.27,0,0
37,,Bruma,1.44,0.5,0,0.38,0,0.63
38,,Marcus Edwards,0.42,0.15,0,0.06,0,0.73
39,,Mateus Uribe,2.35,1.65,0.03,1.29,0,1.16
40,,João Basso,1.72,1.59,0.03,4.72,0.03,0.66
41,,Iván Jaime,0.83,0.46,0,0.17,0,0.71
42,,Filipe Relvas,1.52,1.7,0,4,0,0.27
43,,Santiago Colombatto,1.79,0.97,0,0.88,0,1.12
44,,Tomás Araújo,1.95,1.32,0,3.77,0,0.68
45,,Florentino Luís,2.45,1.91,0,0.82,0,0.61
46,,Gonçalo Rodrigues,1.94,0.76,0,0.67,0.03,1.3
47,,Chiquinho,1.84,0.64,0,0.16,0,0.52
48,,Tiago Silva,1.68,0.96,0,0.36,0,0.86
49,,Matheus,0.06,0.03,0,0.84,0.03,0.06
50,,Steven Vitória,0.65,1,0.03,3.68,0.03,0.16
51,,Vítor Carvalho,2.68,1.39,0,1.52,0,0.77
52,,Jhonatan,0.03,0,0,0.75,0.06,0.06
53,,Manuel Ugarte,3.9,1.84,0,0.52,0,1.84
54,,Aderllan Santos,1.72,1.66,0,5.22,0,0.38
55,,Francisco Trincão,1.06,0.24,0,0.09,0,0.74
56,,Pepê,1.21,1.29,0.03,0.47,0,0.85
57,,David Neres,0.68,0.1,0,0,0,0.55
58,,Bruno Wilson,0.88,1.75,0.04,5.04,0,0.17
59,,Félix Correia,1.15,0.23,0,0.08,0,0.54
60,,Luiz Júnior,0,0,0,1.36,0.03,0.12
61,,Bruno Langa,1.21,1.07,0,2.03,0,0.45
62,,João Teixeira,2.13,0.75,0,0.59,0,1.75
63,,Pepe,1.71,1.04,0.04,2.29,0,0.5
64,,Paulo Estrela,1.5,1.35,0,0.96,0,0.88
65,,Alan Ruiz,1.26,0.29,0,0.68,0.03,0.77
66,,Bruno Varela,0,0,0,1.04,0.07,0
67,,Pedrão,1.38,1.34,0,3.93,0,0.62
68,,Vitinha,1.29,0.24,0,0.94,0,0.47
69,,Fredrik Aursnes,1.5,1.14,0,0.5,0,0.89
70,,Felipe Morato,1,0.78,0,2,0,0.22
71,,Simon Banza,0.57,0.07,0,0.47,0,0.3
72,,Gonçalo Inácio,1.18,1.36,0,1.91,0,0.55
73,,João Correia,1,0.79,0,2.08,0,0.5
74,,Samu,2.3,1.39,0,1.15,0,1.33
75,,Carlos Ponck,1,1.33,0.05,4.05,0,0.19
76,,Oday Dabbagh,0.21,0.43,0,0.57,0,0.14
77,,Chico Lamba,0,0,0,0,0,0
78,,Pastor,0,0,0,0,0,0
79,,João Vigário,0,0,0,1,0,0
80,,Julian Weigl,1,0,0,0,0,0
81,,Ibrahima Bamba,2.25,1.29,0.04,4.43,0,0.36
82,,Wendell,1.85,0.96,0,0.77,0,0.88
83,,Paulinho,1.18,0.32,0,0.41,0,0.14
84,,André Horta,1.16,0.41,0,0.25,0,1
85,,Stephen Eustaquio,1.97,0.66,0,0.76,0,1
86,,Yuki Soma,1.17,0.33,0,0.22,0,0.78
87,,Hidemasa Morita,1.72,0.9,0,0.52,0,0.38
88,,Nicolás Gaitán,0.74,0.44,0,0.78,0,1
89,,Vítor Tormena,0.89,1.15,0,3.93,0,0.37
90,,David Simão,1.77,0.94,0.03,0.71,0,1.13
91,,Nuno Sequeira,1.78,1.3,0,1.19,0,1.33
92,,Fábio Cardoso,0.41,0.71,0,2.71,0,0.24
93,,Ivo Rodrigues,2.03,0.67,0.03,0.67,0,1.17
94,,Vasco Fernandes,0.77,1.1,0,3.77,0,0.3
95,,Daniel Figueira,0,0,0.03,0.72,0,0.03
96,,Morlaye Sylla,1.33,0.82,0,0.55,0,0.88
97,,Miguel Maga,2.71,1.67,0,1.75,0,1.13
98,,Odysseas Vlachodimos,0,0,0,0.74,0,0.03
99,,Diego Lainez,0.5,0.17,0,0,0,0.17
100,,Costinha,3.21,1.24,0.06,1.82,0,1.24
101,,João Carvalho,1.83,0.55,0,0.41,0.03,0.97
102,,Cristian Tassano,1.69,1.54,0.08,4.23,0,0.15
103,,Kiki Afonso,1.68,1.64,0,2.46,0,0.5
104,,Sebastián Pérez,2.45,1.38,0,0.72,0,1.62
105,,Raphael Guzzo,2.13,1.13,0.03,0.83,0,0.9
106,,André Silva,0.61,0.57,0,0.87,0,0.35
107,,Lucas Cunha,0.6,1.13,0,4.47,0,0.2
108,,Victor Gómez,1.23,0.62,0.04,1.15,0,0.73
109,,Marko Grujić,1.75,0.96,0,1.17,0,0.42
110,,Diogo Costa,0,0,0,0.82,0,0.03
111,,Toni Martínez,0.68,0.06,0,0.1,0,0.13
112,,Fabijan Buntić,0,0,0,0.88,0.06,0
113,,Alexandre Penetra,1.72,1.1,0,1.79,0,0.72
114,,Luquinha,1,0.06,0,0.18,0,0.59
115,,André Amaro,1.74,1.78,0.07,3.7,0,0.59
116,,Evanilson,0.65,0.22,0,0.22,0,0.3
117,,José Luis Rodríguez,0.57,0.14,0,0.29,0,0.29
118,,Petar Musa,0.4,0.23,0,0.1,0,0.23
119,,Yusupha Njie,0.93,0.3,0,0.59,0,0.52
120,,Rosier Loreintz,2.83,1.83,0,1.92,0.08,1.08
121,,Aziz,0.24,0.24,0,1,0,0.12
122,,Danilo Veiga,2.67,1.56,0,2.11,0,0.22
123,,Sebastián Coates,0.83,0.7,0,2.1,0,0.4
124,,Gilberto,1.15,0.55,0,0.55,0,0.5
125,,Bruno Costa,1.17,0.33,0,0.17,0,0.83
126,,Zaydou Youssouf,2.47,1.03,0.03,0.88,0,1
127,,Moises Mosquera,2.4,2.35,0.05,3.45,0.05,0.25
128,,Tomás Silva,2.05,1,0,1.73,0,0.68
129,,Allison Safira,0.36,0.05,0,0.36,0,0.32
130,,Nélson Monte,1.1,1.77,0.03,4.48,0,0.65
131,,Maurício,1.57,1.07,0,0.79,0,1.21
132,,Nino Galović,0.68,0.84,0.05,3.37,0,0.05
133,,Thiago da Silva,0,0,0,2,0,0
134,,Serdar Saatçı,0.67,2.67,0,1,0,0.67
135,,Luís Neto,1,0.17,0,1,0,0.17
136,,Hernán de la Fuente,3.14,1.29,0,1.43,0,0.86
137,,Helder Sá,2.1,0.5,0,1.8,0,0.9
138,,Cristián Borja,1.43,0.79,0,1.64,0,0.36
139,,Marafona,0,0.06,0,0.5,0.06,0.06
140,,Renê Santos,1.79,0.71,0.07,3,0,0.36
141,,Kennedy Boateng,1.58,1.31,0,5.04,0,0.5
142,,Carraça,1.23,0.65,0,1.38,0,0.58
143,,Zé Carlos,1.8,1.33,0,0.93,0,0.93
144,,Paulo Oliveira,1.1,2.5,0.15,3.7,0,0.1
145,,Sikou Niakaté,0.85,1.88,0.04,3.35,0,0.46
146,,Ousmane Diomande,1.69,0.85,0,1.69,0.08,0.69
147,,João Mário,1.44,0.56,0,0.72,0,1
148,,Rafa Silva,0.57,0.07,0,0,0,0.5
149,,Gabriel Silva,1.12,0.48,0,0.18,0,0.73
150,,João Nunes,1.42,0.92,0,2.69,0,0.46
151,,Afonso Taira,2.97,1.09,0,0.88,0,1.25
152,,Vitorino Antunes,1.55,2.16,0,1.58,0,0.52
153,,Francisco Geraldes,1.12,0.81,0.04,0.23,0,0.69
154,,Patrick William,1.46,0.92,0,2.77,0,0.54
155,,Tiago Gouveia,1.55,0.52,0,0.52,0,0.83
156,,Fahd Moufi,0.9,1.45,0,1.97,0,0.35
157,,Leonardo Lelo,1.52,1.33,0,1.37,0,1.07
158,,Tiago Santos,2.5,0.53,0,1.37,0,0.53
159,,Gabriel Pereira,1.43,0.86,0,2.43,0,1
160,,Fernando Varela,0.96,1,0.04,2.81,0,0.3
161,,Park Ji-soo,1.86,0.5,0,3.5,0.07,0.36
162,,Matheus Reis,0.97,0.33,0,0.73,0,0.21
163,,Mikel Villanueva,0.9,1.52,0,3.1,0.03,0.24
164,,Antonio Adán,0.03,0,0.03,0.45,0,0.06
165,,João Neves,1.53,0.53,0,0.18,0,0.76
166,,David Carmo,0.56,1.11,0,2.67,0,0.11
167,,Enea Mihaj,0.92,1.28,0,3.48,0,0.52
168,,Adrián Butzke,0.35,0.12,0,0.5,0,0.23
169,,Renato Pantalon,1.36,1.18,0,3.41,0,0.45
170,,Zainadine Júnior,0.96,1.38,0,3.04,0.04,0.21
171,,Rafa Mújica,0.85,0.07,0,1,0,0.3
172,,Michael Johnston,0.44,0.2,0,0.16,0,0.64
173,,Riccieli,1.33,0.97,0.03,5.17,0,0.7
174,,Lucas Alves,0.86,0.43,0,3.14,0,0.14
175,,Pedro Amaral,1.42,0.83,0,1.33,0,0.75
176,,Gonçalo Guedes,0.58,0.08,0,0.08,0,0
177,,Bruno Onyemaechi,1.9,1.28,0,2.1,0.03,0.66
178,,Duplexe Tchamba,1.4,1,0,3.8,0,0.8
179,,Tiago Esgaio,1.73,0.85,0.04,3,0,0.92
180,,Bernardo Vital,0.85,0.62,0.04,4.69,0,0.23
181,,Nuno Moreira,0.83,0.83,0,0.79,0,0.66
182,,Rúben Fernandes,0.58,1.42,0.08,3.31,0,0.65
183,,Mihai Alexandru Dobre,1.35,0.18,0.06,0.53,0,0.82
184,,Pedro Malheiro,2.94,1.16,0.03,1.59,0,0.97
185,,Salvador Agra,0.9,0.2,0,0.13,0,0.37
186,,Rafael Bracali,0.07,0.07,0,0.86,0,0.04
187,,Danny Namaso,0.36,0.09,0,0.18,0,0.18
188,,André Franco,0.65,0.29,0,0.18,0,0.59
189,,Marcelo Carné,0,0,0,1.14,0,0.07
190,,Anderson,1.03,1.27,0.1,5.43,0.03,0.27
191,,Nicolas Janvier,0.84,0.32,0,0.11,0,0.37
192,,Josafat Mendes,0.25,1.5,0,1,0,0.25
193,,Heriberto Tavares,0.75,1,0,1,0,1
194,,Jeremiah St. Juste,0.71,0.67,0,1.05,0,0.19
195,,Pedro Álvaro,0.77,1.13,0.07,3.9,0,0.17
196,,Álex Millán,0.46,0,0,0.46,0,0.38
197,,Alex Méndez,1.33,0.53,0,0.5,0,0.5
198,,Abel Ruíz,0.38,0.21,0,0.21,0,0.41
199,,Mihailo Ristić,0.29,0.29,0,0.14,0,0
200,,Julian Draxler,0.5,0.1,0,0.1,0,0.2
201,,Francisco Moura,1.07,0.96,0.04,2.21,0,0.46
202,,Josué Sá,1.17,0.89,0.06,3.11,0,0.44
203,,Pierre Sagna,1.54,1.38,0.04,2.33,0.04,0.33
204,,Igor Julião,1.45,1.1,0.05,1.6,0,0.3
205,,Rodrigo Abascal,1.7,1.33,0,3.59,0.04,0.81
206,,Pizzi,0.69,0.13,0,0.44,0,0.63
207,,Jerome Opoku,0.96,1.08,0.08,3.42,0,0.13
208,,Vitinho,0.33,0.44,0,0.44,0,0.22
209,,Otávio Ataíde da Silva,1.89,0.67,0.22,3,0,1.11
210,,Rúben Lameiras,0.79,0.16,0,0.21,0,0.53
211,,Nermin Zolotić,1.07,1.28,0.03,2.79,0.03,0.72
212,,Kanya Fujimoto,1.12,0.56,0,0.03,0,0.32
213,,Jhonder Cádiz,0.25,0.13,0,0.92,0,0.29
214,,Fran Navarro,0.68,0.09,0,0.21,0,0.68
215,,Kévin Zohi,0.72,0.2,0,0.32,0,0.28
216,,André Almeida,1.33,1.33,0,1.33,0,0.33
217,,Julien Lomboto,2,0,0,0,0,0
218,,Marco Pereira,0,0,0,0.63,0,0.13
219,,Flávio Ramos,1,1.44,0,4.56,0,0.33
220,,Antony Alves,1.55,0.76,0.03,0.48,0,0.85
221,,Gabriel Veron,0.82,0.12,0,0.18,0,0.18
222,,Nuno Lima,0.93,1.43,0.04,3.89,0,0.39
223,,Lucas Soares,1.52,0.78,0.04,1.3,0,1
224,,Jordan Holsgrove,1.54,1.04,0,0.5,0,1.33
225,,Uroš Račić,0.8,0.8,0,1.08,0,0.44
226,,Rui Pires,1.9,1.19,0.03,1.94,0,0.68
227,,Ricardo Esgaio,1.6,0.36,0.04,1,0,0.72
228,,Kenji Gorré,0.5,0.37,0,0.03,0,0.33
229,,Claudemir,1.23,0.82,0.05,1.23,0,0.73
230,,Daniel Silva,1.47,0.8,0,0.73,0,0.63
231,,Mohamed Diaby,1.32,0.84,0.04,1.8,0,0.48
232,,Adrián Marín,2.03,1,0,2.16,0,0.61
233,,Vincent Sasso,1.33,1.13,0.13,3.75,0,0.29
234,,Andreas Samaris,1.42,0.38,0,0.92,0,0.58
235,,Murilo Souza,0.64,0.57,0,0.43,0,0.71
236,,Jota Silva,1.33,0.3,0,0.37,0,0.87
237,,Gaius Makouta,1.16,1.25,0.03,1.31,0,0.66
238,,Róbert Boženík,0.39,0,0,0.09,0,0.3
239,,Bruno Lourenço,1.14,0.48,0,0.24,0,0.86
240,,João Mendes,1.1,0.55,0.03,0.13,0,0.94
241,,Saviour Godwin,0.97,0.43,0,0.2,0,0.77
242,,Léo Bolgado,1.09,0.82,0.18,3.27,0,0.18
243,,Paulo Bernardo,2.15,0.46,0,0.46,0,0.92
244,,Arthur Gomes,0.79,0.11,0,0.32,0,0.32
245,,Kiko Bondoso,1.03,0.35,0,0.15,0,0.74
246,,Neto,1.22,1.04,0,0.7,0,1.37
247,,Léo Natel,0,0,0,0.25,0,0
248,,Jordi,0.17,0,0,2.33,0.33,0
249,,Pedro Ortiz,2.11,0.67,0,1,0,1
250,,Brayan Riascos,0.75,0.19,0,1,0,0.38
251,,Joãozinho,1.2,0.53,0.07,1.93,0,0.4
252,,André André,1.4,0.5,0,0.55,0,0.95
253,,Mateus Quaresma,2.31,1.41,0.03,2.09,0,1.19
254,,Bruno Almeida,0.82,0.36,0,0.41,0.05,0.95
255,,Benji Michel,0.08,0.08,0,0.83,0,0.08
256,,Léo,1.17,2.17,0,2.83,0.08,0.25
257,,Rafael Brito,1.69,0.77,0,0.62,0,0.77
258,,Vitor Costa,2.07,1.07,0.11,2.18,0.04,1.11
259,,Leandro Sanca,0.86,0.29,0,0.29,0,0.93
260,,Ewerton,1.5,0.25,0,0.33,0,0.67
261,,Osama Rashid,0.11,0.22,0,0.39,0,0.28
262,,Matchoi Djaló,0.86,0.32,0,0.27,0,0.41
263,,Beni Mukendi,2.21,1.07,0,0.43,0,1.36
264,,José Marsà,0,1.5,0,0.5,0,0
265,,Dário Essugo,2.5,1,0,0,0,0.75
266,,Alemão,2.2,1.2,0,4.8,0,1
267,,Gabriel Batista,0,0,0,0.81,0,0.08
268,,Rodrigo Conceição,0.94,0.5,0,0.56,0,0.44
269,,Giorgi Aburjania,1.41,0.44,0,0.3,0,0.93
270,,Felippe Cardoso,0.18,0.18,0,0.64,0,0.36
271,,Adriano Firmino,1.61,0.84,0.03,1.65,0,0.61
272,,Zaidu Sanusi,0.83,0.61,0.06,1,0,0.56
273,,Helder Morim,0.57,0.14,0,0.14,0,0.29
274,,Rafael Martins,0.31,0,0,0.58,0,0.15
275,,James Léa Siliki,0.68,0.41,0,0.18,0,0.18
276,,Milutin Osmajić,0.13,0.03,0,0.48,0,0.13
277,,Carlinhos,1.33,0.11,0,0.56,0,0.44
278,,Juan Delgado,1.87,0.77,0,1.48,0,1.16
279,,Guima,1.69,1.07,0,1.1,0,1.79
280,,Emmanuel Boateng,0.43,0.14,0,0.39,0,0.18
281,,André Bukia,0.79,0.29,0,0.07,0,0.71
282,,Zié Ouattara,1.27,0.64,0.05,0.68,0,0.32
283,,Filipe Ferreira,0.86,0.29,0,1.86,0,0.14
284,,Juninho Vieira,0.67,0.4,0.03,0.33,0,0.47
285,,Xavier Quintilla,1.15,0.23,0.08,1.54,0,0.54
286,,Rafik Guitane,0.54,0.23,0,0.15,0,0.62
287,,Kevin Villodres,1.24,0.19,0,0.1,0.05,0.71
288,,Mor Ndiaye,1.23,0.5,0.08,2.38,0,0.31
289,,Juan Manuel Boselli,1,0.33,0,0.41,0,0.93
290,,Mamadou Tounkara,0.79,0.36,0,3.5,0,0.14
291,,Rochinha,0.25,0.31,0,0,0,0.19
292,,Welinton Junior,0.75,0.25,0,0.29,0.04,0.92
293,,Geny Catamo,0.67,0.22,0,0.11,0,0.22
294,,Victor Bobsin,1.13,1,0,1.04,0,0.96
295,,Rúben Lima,0.94,1.78,0.06,1.89,0,0.28
296,,Diogo Gonçalves,0.6,0.1,0,0,0,0.2
297,,Hector Hernandez,0.18,0.09,0,0.77,0,0.5
298,,André Castro,0.75,0.29,0,0.25,0,0.38
299,,Takahiro Kunimoto,0.58,0.38,0,0.29,0,0.92
300,,Matheus Bueno,0.64,0.43,0,0.14,0,0.43
301,,Nigel Thomas,0.47,0.5,0,0.38,0,0.56
302,,André Pereira,0.62,0.19,0,0.43,0,0.48
303,,Álvaro Djaló,0.63,0.21,0,0.33,0,0.88
304,,Matheus Babi,0.65,0.08,0,0.77,0,0.65
305,,Ygor Nogueira,1.5,1.5,0.17,4.08,0.08,0.42
306,,Andrézinho,0.44,0.17,0,0.17,0,0.44
307,,Élder Santana,0.4,0,0,0.2,0,0.4
308,,Joca Fernandes,0.5,0.5,0,0,0,0.33
309,,Miguel Nóbrega,0.73,0.36,0,2.55,0,0.27
310,,Moustapha Seck,1.79,1.07,0,1.24,0.03,0.69
311,,Cláudio Ramos,0,0,0,0,0,0
312,,Ivan Zlobin,0,0,0,3,0,0
313,,Lucas Silva,0,0,0,0,0,1
314,,Volnei Feltes,0,2,0,1,0,0
315,,Manuel Silva,2,0,0,0,0,0
316,,Dinis Pinto,0,0,0,1,0,0
317,,Jason Bahamboula,0,0,0,1,0,0
318,,Roman Yaremchuk,0,0,0,0,0,0
319,,Sema Velázquez,0,0,0,2,0,0
320,,Mabrouk Rouai,0.5,0,0,0,0,0
321,,Flávio Nazinho,1,0,0,0.33,0,0.33
322,,Eduardo Fereira,0.33,0.67,0,0,0,0
323,,Pedro Silva,0,0,0,1,0,0
324,,Rodrigo Nascimento,0,0,0.5,0.75,0,0
325,,Alexander Schmidt,0.2,0.2,0,0.5,0,0
326,,Nelson Luz,1,0.52,0,0.45,0,0.21
327,,Rildo,0.83,0.13,0,0.26,0,0.43
328,,Luiz Carlos,1.3,0.35,0,0.6,0.05,0.45
329,,Maracás,1.18,1.24,0,3.94,0,0.47
330,,Pablo Felipe,1.07,0.33,0,0.4,0,0.73
331,,Sávio,0.43,0.21,0,0.43,0,0.07
332,,Héctor Bellerín,0.9,0.3,0,0.6,0,0.4
333,,Vítor Gomes,0.55,0.3,0,0.8,0,0.15
334,,Val Soares,2.11,0.72,0.06,0.39,0,1.61
335,,Rui Gomes,0.57,0.33,0,0.27,0,0.47
336,,Bernardo Sousa,0.48,0.14,0,0.31,0,0.34
337,,Erison,0.27,0,0,0.55,0,0.18
338,,Yony González,0.69,0.25,0,0.69,0,0.38
339,,Erick Ferigra,0.56,0.81,0,2.94,0,0.38
340,,Afonso Freitas,1.08,0.69,0,1.77,0,0.42
341,,Cassiano,1.07,0.07,0,0.4,0,0.47
342,,Diogo Mendes,1.65,0.4,0,0.7,0,0.6
343,,Paulo Henrique,1.47,0.95,0,1.84,0,0.42
344,,Adewale Sapara,1,0.6,0,0.4,0,0
345,,Diego Rosa,1.11,0.56,0.11,0.78,0,0.67
346,,Cláudio Winck,1.82,0.82,0,0.88,0,0.74
347,,Ukra,0.27,0.2,0,0.2,0,0.53
348,,Yago Cariello,0.44,0.08,0,0.72,0,0.36
349,,Pedro Tiba,0.73,0.38,0,0.77,0,0.54
350,,Oriol Busquets,0.88,0.67,0,1.08,0.04,0.79
351,,Fábio Ronaldo,1.03,0.71,0,0.39,0,0.74
352,,Antoñín,0,0,0,0,0,0
353,,Derick Poloni,1.22,0.7,0,1.3,0,0.96
354,,Gonçalo Borges,0.3,0,0,0.1,0,0
355,,Rodrigo Valente,0.2,0.2,0,0.2,0,0
356,,Carlos Eduardo,1.38,0.54,0,0.69,0,1.77
357,,João Afonso,1.83,1.5,0.04,1.29,0,1.08
358,,Hernâni,0.24,0.05,0,0.14,0,0.19
359,,Serginho,0.71,0,0,0.14,0,0.29
360,,Nwankwo Obiora,1,0.67,0,0.92,0,0.5
361,,Rodrigo Ribeiro,1,0.5,0,0,0,0.5
362,,Pedro Bicalho,0.8,1,0,0.2,0,0.6
363,,Ibrahima Camará,0.83,0.33,0,0.58,0,0.42
364,,Ali Alipour,0.4,0.07,0,0.13,0.07,0.27
365,,Hernani Infande,0.69,0.08,0,0.15,0,0.38
366,,Anderson Carvalho,1.73,0.55,0,1.18,0,1
367,,André Vidigal,1.13,0.41,0.03,0.16,0,0.34
368,,Kento Misao,1.76,0.94,0,0.59,0,0.88
369,,Joel Tagueu,0.43,0.14,0,0.29,0,0.14
370,,Euller,1,0.48,0,0.19,0,0.9
371,,Ítalo,1.25,0.83,0.08,5.33,0,0.17
372,,Martim Tavares,0.09,0.23,0,0.23,0,0.14
373,,Paulinho Mota,0.8,0.8,0,1.3,0,0.3
374,,Roan Wilson,1,0.2,0,0,0,0.6
375,,Théo Fonseca,0,0.4,0,0.4,0,0.2
376,,Ivanildo Fernandes,0.7,0.8,0,4.7,0,0.35
377,,Reggie Cannon,1.53,1.97,0,3,0,0.5
378,,Alexandre Guedes,0.44,0.13,0,0.38,0,0.31
379,,Miguel Baeza,0.45,0.32,0,0.45,0,0.32
380,,Allano,0.8,0.35,0.05,0.4,0,1.05
381,,Romário Baró,1.11,0.56,0.06,0.22,0,0.5
382,,Emilijus Zubas,0,0,0.33,1.33,0,0
383,,Anderson Oliveira,0.33,0,0,0,0,0.83
384,,Henrique Jocu,0.93,0.5,0,0.29,0,0.79
385,,Bilel Aouacheria,0.63,0.25,0,0.04,0,0.17
386,,Issah Abass,0.62,0.31,0,0.19,0,0.62
387,,Rodrigo Martins,0.53,0.13,0,0.3,0,0.47
388,,Filip Stevanović,0.57,0,0,0,0,0.29
389,,Matheus Pereira,1.11,0.56,0,0.67,0,0.5
390,,Gustavo Assunção,1,0.59,0,0.73,0,0.68
391,,Percy Liza,0.45,0,0,0.36,0,0.09
392,,Bruno Jordão,1.09,1.09,0.09,0.64,0,1.45
393,,João Graça,1.16,0.42,0,0.21,0,1.21
394,,Yan Eteki,1.29,0.35,0.06,0.53,0,0.71
395,,Ilija Vukotić,0.62,0.46,0,0.85,0,0.31
396,,Sidy Sarr,1.4,0.4,0,0.6,0,0.4
397,,Sotiris Alexandropoulos,1,0.33,0,0.17,0,0.5
398,,Fábio China,1.6,0.7,0,0.5,0,0.1
399,,Matheus Araújo,1.4,0.7,0,1.6,0.05,0.8
400,,Jô Batista,0.2,0.1,0,0.45,0,0.15
401,,Mohamed Aidara,0.5,0.33,0,1.17,0,0
402,,Friday Etim,0.32,0.21,0,0.11,0,0
403,,Bruno Gaspar,1.29,0.57,0,0.71,0,0.14
404,,Abbas Ibrahim,0.86,0.57,0,0.43,0,0.43
405,,Yusuf Lawal,0.56,0,0,0.22,0,0.22
