#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Otávio,0.26,0,54.72,56.2,3.04,1.63
2,,Matheus Nunes,0.5,0,50,61.9,1.5,1.5
3,,Enzo Fernández,0.18,0,39.13,50.34,0.94,1.06
4,,Alejandro Grimaldo,0.15,0,47.5,54.61,0.94,0.61
5,,Pedro Gonçalves,0.24,0,36.36,46.15,1,0.61
6,,Samuel,0.25,0,100,80,0,0
7,,Iuri Medeiros,0.17,0,31.25,48.21,0.83,0.53
8,,Ricardo Horta,0.13,0,43.75,46.85,1.43,0.67
9,,Mehdi Taremi,0.21,0,52.14,49.52,1.27,1
10,,Lucas Paes,0,0,100,33.33,0,0
11,,João Mário,0.12,0.03,39.39,46.56,1.58,1.36
12,,Pedro Porro,0.29,0.07,50,52.99,1.71,1.14
13,,João Batxi,0.25,0,0,60,2,0.25
14,,Nuno Santos,0.16,0,55.56,55.12,1,0.52
15,,Luis Felipe,1,0,0,100,1,0
16,,Willyan Rocha,0.25,0,81.82,75.51,2.25,1
17,,Andrew,0.04,0,100,78.95,0.08,0.04
18,,Ignacio de Arruabarrena,0.17,0,89.47,93.33,0.33,0
19,,Manuel Lopes,0,0,64.29,64,0.6,0.2
20,,Nicolás Otamendi,0.29,0.03,67.16,64.6,0.77,1.03
21,,Kevin Pina,0.2,0,50,53.57,0.6,1.6
22,,Mutassim Al Musrati,0.29,0,57.58,51.97,0.64,1.36
23,,Kosuke Nakamura,0.1,0,100,82.35,0.2,0.03
24,,Alexander Bah,0.04,0,53.62,56.3,1.39,1.18
25,,Fabiano Silva,0.42,0,23.81,57.02,1.42,1.5
26,,Wenderson Galeno,0.13,0,62.26,56.18,1.55,0.94
27,,Dylan Batubinsika,0.5,0,66.67,80,1,0.5
28,,Paulo Vítor,0.13,0,88.89,90.63,0.3,0
29,,Ricardo Batista,0.16,0,84.62,89.29,0.42,0
30,,António Silva,0.17,0,61.33,56.67,0.33,1.27
31,,Matouš Trmal,0,0,100,66.67,0,0
32,,Bruno Xadas,0.13,0,58.33,41.62,0.5,1.03
33,,Iván Marcano,0.36,0.04,67.39,56.6,0.28,1.04
34,,Yanis Hamache,0,0,33.33,37.5,1,1.5
35,,Gonçalo Ramos,0.07,0.03,49.24,45.94,1.43,1.67
36,,Stanislav Kritsyuk,0.18,0,80,87.5,0.18,0
37,,Bruma,0.19,0,14.29,50.67,0.75,0.56
38,,Marcus Edwards,0.12,0,11.76,45.89,1.48,0.45
39,,Mateus Uribe,0.19,0.03,67.42,55.87,0.74,1.74
40,,João Basso,0.13,0,61.9,64.78,0.91,0.59
41,,Iván Jaime,0.13,0,37.5,54.35,2.92,0.71
42,,Filipe Relvas,0.12,0,74.47,70.75,0.42,0.58
43,,Santiago Colombatto,0.27,0,32.61,47.46,1.79,1.76
44,,Tomás Araújo,0.23,0,60.56,57.38,0.36,1.05
45,,Florentino Luís,0.15,0,61.02,59.57,0.21,1
46,,Gonçalo Rodrigues,0.09,0.03,33.33,53.77,2.03,1.24
47,,Chiquinho,0.08,0,48,58.68,1.12,1.04
48,,Tiago Silva,0.39,0.07,42.11,50.84,1.43,1.86
49,,Matheus,0.13,0.03,100,88.89,0.38,0.03
50,,Steven Vitória,0.16,0.03,63.37,60.34,0.61,0.77
51,,Vítor Carvalho,0.32,0.03,57.02,53.39,1.16,2.03
52,,Jhonatan,0.09,0,80,84.21,0.34,0
53,,Manuel Ugarte,0.35,0,62.5,56.28,1.68,2.06
54,,Aderllan Santos,0.09,0.03,59.49,59.5,0.41,1.06
55,,Francisco Trincão,0.06,0,20,47.39,1.09,0.53
56,,Pepê,0.06,0,38.3,52.32,2.03,0.65
57,,David Neres,0.06,0,23.53,43.8,0.77,0.81
58,,Bruno Wilson,0.17,0,54.81,58.28,0.63,0.71
59,,Félix Correia,0.15,0,16.67,51.09,1,0.69
60,,Luiz Júnior,0.09,0,88.89,80.65,0.33,0
61,,Bruno Langa,0.24,0,48.78,62.5,2.07,0.86
62,,João Teixeira,0.22,0.03,53.13,45.63,1.63,1.28
63,,Pepe,0.17,0,63.16,66.08,0.83,0.46
64,,Paulo Estrela,0.19,0,60.87,50.77,0.46,1.04
65,,Alan Ruiz,0.32,0,50.69,50.54,2.35,2
66,,Bruno Varela,0.15,0,88.24,90,0.11,0
67,,Pedrão,0.41,0,77.46,60.83,0.69,1.41
68,,Vitinha,0.12,0,42.86,46.86,2,1.59
69,,Fredrik Aursnes,0.18,0,47.73,46.39,0.36,0.89
70,,Felipe Morato,0.22,0,65.52,58.18,0.33,1.11
71,,Simon Banza,0.1,0,50,48.16,1.4,1.4
72,,Gonçalo Inácio,0.12,0,60.19,58.82,0.36,0.73
73,,João Correia,0.04,0,37.04,52.11,0.92,0.46
74,,Samu,0.21,0,42.86,45.69,1.24,1.94
75,,Carlos Ponck,0.24,0,65.15,59.5,0.19,0.95
76,,Oday Dabbagh,0,0,30.65,39.6,0.64,0.36
77,,Chico Lamba,0,0,100,100,1,0
78,,Pastor,0,0,0,0,0,0
79,,João Vigário,0,0,0,100,0,0
80,,Julian Weigl,0.5,0,100,80,0.5,0.5
81,,Ibrahima Bamba,0.43,0.04,45.16,59.57,1.54,1.36
82,,Wendell,0.15,0,60,56.44,1.15,1.19
83,,Paulinho,0.14,0,56,51.27,0.82,1.14
84,,André Horta,0.13,0,0,44.03,0.44,0.72
85,,Stephen Eustaquio,0.07,0.03,48.84,51.37,0.41,1.03
86,,Yuki Soma,0.22,0.06,30.77,43.51,1.56,1.39
87,,Hidemasa Morita,0.14,0,60.53,49.78,0.86,1.59
88,,Nicolás Gaitán,0.11,0,42.86,46.15,1,0.63
89,,Vítor Tormena,0.22,0.04,73.03,62.09,0.19,0.85
90,,David Simão,0.23,0,57.69,50.84,1.1,1.55
91,,Nuno Sequeira,0.15,0,59.65,52.87,1.15,1.41
92,,Fábio Cardoso,0.24,0,69.57,59.74,0.29,0.59
93,,Ivo Rodrigues,0.27,0.03,43.75,51.62,3.17,1.87
94,,Vasco Fernandes,0.17,0,66,64.75,0.7,0.43
95,,Daniel Figueira,0.06,0.03,75,72.73,0.16,0.03
96,,Morlaye Sylla,0.09,0,41.3,45.11,0.7,1.36
97,,Miguel Maga,0.17,0,52.38,52.53,0.63,1.17
98,,Odysseas Vlachodimos,0.06,0,100,94.74,0.35,0
99,,Diego Lainez,0.5,0,100,53.85,1.17,0.5
100,,Costinha,0.15,0,46.67,50.44,1.58,1.48
101,,João Carvalho,0.21,0.03,40.91,50.68,1.07,1.1
102,,Cristian Tassano,0.31,0.08,50,54.44,0.69,1.38
103,,Kiki Afonso,0.36,0,56.25,56.96,1.32,1.46
