#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Otávio,0.48,0.26,54.56,81.53,18.07,61.54
2,,Matheus Nunes,0,0.5,49,89.8,14.5,70
3,,Enzo Fernández,0.53,0.29,95.82,87.85,21.94,73.85
4,,Alejandro Grimaldo,0.67,0.27,60.06,85.97,18.06,55.1
5,,Pedro Gonçalves,0.48,0.33,34.73,81.33,11.91,67.11
6,,Samuel,0,0,30.75,61.79,1.25,36.49
7,,Iuri Medeiros,0.63,0.2,28.17,82.01,10.43,75.76
8,,Ricardo Horta,0.27,0.27,37.13,84.38,15.1,60
9,,Mehdi Taremi,0.33,0.21,23.91,75.03,8.64,50
10,,Lucas Paes,0.5,0,28.5,56.14,1,29.41
11,,João Mário,0.33,0.21,43.27,87.61,19.73,64.15
12,,Pedro Porro,0.57,0.43,37.5,74.86,7.79,44.32
13,,João Batxi,0.25,0.25,19,73.68,6,50
14,,Nuno Santos,0.35,0.16,38.74,85.76,11.39,75.47
15,,Luis Felipe,0,0,19,52.63,1,30.77
16,,Willyan Rocha,0,0,61.75,76.52,6.5,45.1
17,,Andrew,0,0,31.38,75.83,0.58,44.3
18,,Ignacio de Arruabarrena,0.03,0.03,28.1,60.74,0.77,38.91
19,,Manuel Lopes,0,0,58.6,94.2,4.4,58.82
20,,Nicolás Otamendi,0,0,72.29,90.36,6.58,61.61
21,,Kevin Pina,0,0.4,26.2,85.5,3.8,64.71
22,,Mutassim Al Musrati,0.21,0.07,56.89,84.24,9.54,72.76
23,,Kosuke Nakamura,0,0,34.6,66.18,1.27,40.63
24,,Alexander Bah,0.39,0.14,44.68,81.53,11.86,47.5
25,,Fabiano Silva,0.08,0,35.58,78.69,6,49.12
26,,Wenderson Galeno,0.16,0.1,22.48,77.91,9.48,61.11
27,,Dylan Batubinsika,0,0,51.5,92.23,3.5,84.62
28,,Paulo Vítor,0,0,28,68.69,1.4,40.57
29,,Ricardo Batista,0,0,28.94,61.09,0.81,34.72
30,,António Silva,0,0,64.13,91.53,6.27,59.8
31,,Matouš Trmal,0,0,25.83,71.61,0.5,34.33
32,,Bruno Xadas,0.44,0.19,28.72,81.28,9.47,56.88
33,,Iván Marcano,0.04,0,62.76,89.93,4.16,65.73
34,,Yanis Hamache,0,0.5,38.5,75.32,7.5,0
35,,Gonçalo Ramos,0.13,0.07,14.7,72.56,4.63,66.67
36,,Stanislav Kritsyuk,0,0,28.64,80.32,0.73,54.89
37,,Bruma,0.25,0.38,27.31,80.32,11.63,65
38,,Marcus Edwards,0.45,0.15,25.91,81.99,12.03,83.33
39,,Mateus Uribe,0.06,0,54.84,85.35,11.03,65.61
40,,João Basso,0,0.03,49.53,87.07,3.38,48.21
41,,Iván Jaime,0.13,0.13,23.75,80.18,7.71,70.59
42,,Filipe Relvas,0.03,0.03,49.97,83.2,4.88,59.36
43,,Santiago Colombatto,0.09,0.18,37.76,88.2,6.3,62.04
44,,Tomás Araújo,0.14,0.09,59.23,85.88,5.59,52.38
45,,Florentino Luís,0.06,0.09,55.85,90.07,13.73,65.18
46,,Gonçalo Rodrigues,0.06,0.06,42.82,87.26,9.7,71.43
47,,Chiquinho,0.12,0,41.92,91.6,11.84,73.4
48,,Tiago Silva,0.14,0.04,44.39,85.52,9.82,69.74
49,,Matheus,0,0,33.31,74.02,1.16,45.77
50,,Steven Vitória,0.06,0,39.71,85.3,1.32,42.57
51,,Vítor Carvalho,0.06,0,57.55,85.54,10.29,63.16
52,,Jhonatan,0,0,26.13,67.22,0.69,38.39
53,,Manuel Ugarte,0.03,0,50.87,91.76,7.39,73.2
54,,Aderllan Santos,0,0,55.97,87.49,1.84,45.02
55,,Francisco Trincão,0.09,0.06,25,84.35,10.03,70.37
56,,Pepê,0.24,0.21,35.71,78.01,10.38,60.76
57,,David Neres,0.32,0.26,31.68,83.81,14.77,70.83
58,,Bruno Wilson,0.04,0.04,36.25,74.37,2.38,36.4
59,,Félix Correia,0.31,0.23,18.77,81.15,7.85,71.88
60,,Luiz Júnior,0,0,26.39,64.29,1.3,42.83
61,,Bruno Langa,0.21,0,35.48,73.08,6.93,42.54
62,,João Teixeira,0.09,0.13,41.75,83.38,12.28,72.66
63,,Pepe,0,0,60.46,87.87,5.83,61.31
64,,Paulo Estrela,0.04,0.04,29.92,81.88,5.31,62.04
