#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Otávio,0,0.3,0,0,0.52,0.07
2,,Matheus Nunes,0,0.5,0,0,1.5,0
3,,Enzo Fernández,0,0.35,0,0,0.65,0
4,,Alejandro Grimaldo,0,0.48,0,0,0.48,0.03
5,,Pedro Gonçalves,0,0.21,0,0,0.79,0.12
6,,Samuel,4,0.5,0,0,0.5,0
7,,Iuri Medeiros,0,0,0,0,0.53,0.03
8,,Ricardo Horta,0,0.37,0,0,0.7,0.03
9,,Mehdi Taremi,0,0.12,0,0,0.42,0.03
10,,Lucas Paes,7,0,0,0,3.5,0
11,,João Mário,0,0.27,0,0,0.52,0.03
12,,Pedro Porro,0,0.07,0,0,0.71,0.07
13,,João Batxi,0,0,0,0,0.5,0.25
14,,Nuno Santos,0,0.16,0,0,0.65,0.13
15,,Luis Felipe,5,0,0,0,1,0
16,,Willyan Rocha,0,0.5,0,0,0.5,0
17,,Andrew,4,0.25,0.08,0,1.04,0.04
18,,Ignacio de Arruabarrena,3.43,0.43,0.3,0.13,0.9,0.17
19,,Manuel Lopes,0,0,0,0,1.6,0
20,,Nicolás Otamendi,0,0.58,0,0,0.52,0.06
21,,Kevin Pina,0,0,0,0,0.6,0.2
22,,Mutassim Al Musrati,0,0.36,0,0,0.71,0.04
23,,Kosuke Nakamura,4.57,0.2,0.13,0.03,1.4,0.13
24,,Alexander Bah,0,0.29,0,0,0.32,0
25,,Fabiano Silva,0,0.5,0,0,0.58,0
26,,Wenderson Galeno,0,0.1,0,0,0.23,0.03
27,,Dylan Batubinsika,0,0,0,0,2.5,0
28,,Paulo Vítor,3.9,0.3,0.2,0,0.93,0.17
29,,Ricardo Batista,3.23,0.35,0.19,0.06,0.9,0.1
30,,António Silva,0,0.53,0,0,0.53,0.07
31,,Matouš Trmal,3.5,0.33,0.17,0,0.83,0
32,,Bruno Xadas,0,0.03,0,0,1.16,0.13
33,,Iván Marcano,0,0.52,0,0,0.52,0.08
34,,Yanis Hamache,0,0.5,0,0,0.5,0
35,,Gonçalo Ramos,0,0.1,0,0,0.47,0.03
36,,Stanislav Kritsyuk,3.64,0.09,0.09,0,1.36,0
37,,Bruma,0,0,0,0,0.56,0
38,,Marcus Edwards,0,0.06,0,0,0.58,0.06
39,,Mateus Uribe,0,0.32,0,0,0.48,0.03
40,,João Basso,0,0.44,0,0,0.94,0.16
41,,Iván Jaime,0,0.04,0,0,0.92,0.08
42,,Filipe Relvas,0,0.21,0,0,1.3,0.09
43,,Santiago Colombatto,0,0.18,0,0,1,0.15
44,,Tomás Araújo,0,0.18,0,0,1,0
45,,Florentino Luís,0,0.24,0,0,0.3,0.06
46,,Gonçalo Rodrigues,0,0.18,0,0,1.06,0.18
47,,Chiquinho,0,0.2,0,0,0.28,0.04
48,,Tiago Silva,0,0.21,0,0,0.61,0.11
49,,Matheus,2.53,0.5,0.16,0,0.81,0.06
50,,Steven Vitória,0,0.26,0,0,0.9,0.23
