#,Team,Name
1,,Samuel
2,,Lucas Paes
3,,Luis Felipe
4,,Andrew
5,,Ignacio de Arruabarrena
6,,Kosuke Nakamura
7,,Paulo Vítor
8,,Ricardo Batista
9,,Matouš Trmal
10,,Stanislav Kritsyuk
11,,Matheus
12,,Jhonatan
13,,Luiz Júnior
14,,Bruno Varela
15,,Daniel Figueira
16,,Odysseas Vlachodimos
17,,Diogo Costa
18,,Fabijan Buntić
19,,Thiago da Silva
20,,Marafona
21,,Antonio Adán
22,,Rafael Bracali
23,,Marcelo Carné
24,,Marco Pereira
25,,Jordi
26,,Gabriel Batista
27,,Cláudio Ramos
28,,Ivan Zlobin
29,,Pedro Silva
30,,Rodrigo Nascimento
31,,Emilijus Zubas
32,,João Gonçalves
33,,Miguel Silva
34,,Lukáš Horníček
35,,Tiago Sá
36,,Franco Israel
37,,Magrão
38,,Celton Biai
39,,César Dutra
40,,Pedro Rafael Oliveira
41,,João Victor
42,,Giorgi Makaridze
43,,Igor Vekić
44,,Ze Oliveira
45,,Brian Araújo
46,,Ricardo Fernandes
47,,Samuel Soares
48,,João Valido
49,,Gonçalo Filipe
