#,Team,Name
1,,Mehdi Taremi
2,,Nicolás Otamendi
3,,Paulo Vítor
4,,Ricardo Batista
5,,Iván Marcano
6,,Stanislav Kritsyuk
7,,Mateus Uribe
8,,Matheus
9,,Steven Vitória
10,,Jhonatan
11,,Aderllan Santos
12,,Pepe
13,,Paulinho
14,,Nicolás Gaitán
15,,David Simão
16,,Nuno Sequeira
17,,Vasco Fernandes
18,,Sebastián Coates
19,,Maurício
20,,Nino Galović
21,,Luís Neto
22,,Marafona
23,,Renê Santos
24,,Paulo Oliveira
25,,Afonso Taira
26,,Vitorino Antunes
27,,Fernando Varela
28,,Antonio Adán
29,,Zainadine Júnior
30,,Lucas Alves
31,,Rúben Fernandes
32,,Salvador Agra
33,,Rafael Bracali
34,,Marcelo Carné
35,,Josué Sá
36,,Pierre Sagna
37,,Pizzi
38,,Marco Pereira
39,,Claudemir
40,,Vincent Sasso
41,,Andreas Samaris
42,,Neto
43,,Joãozinho
44,,André André
45,,Ewerton
46,,Osama Rashid
47,,Rafael Martins
48,,Filipe Ferreira
49,,Rúben Lima
50,,André Castro
51,,Cláudio Ramos
52,,Sema Velázquez
53,,Luiz Carlos
54,,Vítor Gomes
55,,Cassiano
56,,Ukra
57,,Pedro Tiba
58,,Hernâni
59,,Nwankwo Obiora
60,,Anderson Carvalho
61,,Paulinho Mota
62,,Emilijus Zubas
63,,Fábio China
64,,André Simões
65,,Rui Fonte
66,,Carnejy Antoine
67,,Zé Manuel
68,,Costinha
69,,Pelé
70,,Rodrigo Pinho
71,,Edson Mexer
72,,Edgar Costa
73,,Uilton Silva
74,,Amine Oudrhiri
75,,Arsénio Nunes
76,,Cuca
77,,Jan Vertonghen
78,,Pedro Moreira
79,,César Dutra
80,,João Victor
81,,Giorgi Makaridze
