#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Ludek Nemecek,0,0,0,0,0,0
2,,Tomáš Fryšták,0,0,0,0,0,0
3,,Lukas Soukup,0,0,0,0,0,0
4,,Dávid Hancko,0,0,66.67,1,0,0
5,,Ladislav Krejčí,0.68,0.05,100,2,0.16,0
6,,Petr Ševčík,0,0,37.5,0.94,0,0
7,,Lukáš Kalvach,0.07,0,62.5,0.82,0,0
8,,Pavol Bajza,0,0,0,0,0,0
9,,Václav Jurečka,0.74,0.15,23.08,1.81,0,3.7
10,,Srđan Plavšić,0.21,0.04,54.39,1.83,0,0
11,,Casper Højer,0.05,0,71.43,1,0,0
12,,Eneo Bitri,0.17,0.08,100,0.83,0.08,0
13,,Kaan Kairinen,0.07,0,100,0.6,0,0
14,,Lukáš Haraslín,0.32,0.14,51.06,2.91,0,1.52
15,,Peter Olayinka,0.48,0.09,44.44,1.7,0.17,0
16,,Dávid Sípoš,0,0,100,0,0,0
17,,Luděk Pernica,0.05,0.05,0,0.33,0,0
18,,Tomáš Chorý,0.38,0.35,75,2.79,0.12,0
19,,Jan Kuchta,0.48,0.45,57.14,2.62,0.1,0
20,,Tomáš Ladra,0.22,0,50,2.13,0.03,0.78
21,,Lukáš Sadílek,0.09,0,64,0.82,0,0
22,,Igoh Ogbu,0.06,0,50,0.44,0.06,0
23,,Jan Chramosta,0.44,0.24,18.18,2.26,0.03,0.74
24,,Taras Kacharaba,0.05,0.16,0,0.84,0.05,0
25,,Roman Kvet,0.37,0.13,40,1.63,0,0.56
26,,Michal Frydrych,0.14,0,0,0.86,0.14,0
27,,Jiří Letáček,0,0,0,0,0,0
28,,Jindřich Staněk,0,0,0,0,0,0
29,,Maksym Talovierov,0.08,0,0,1,0.08,0
30,,Marek Matějovský,0.07,0.04,45,0.57,0,0
31,,Marek Havlík,0.03,0.03,55.56,1.03,0,0
32,,Stanislav Tecl,0.37,0.13,33.33,1.3,0.07,0
33,,Marián Tvrdoň,0,0,0,0,0,0
34,,Christos Zafeiris,0.07,0,50,1.33,0,0
35,,Ondrej Lingr,0.41,0.04,47.37,1.52,0.07,0
36,,Aleš Čermák,0.14,0,100,0.57,0,0
37,,Tomáš Čvančara,0.5,0.13,17.65,2.08,0.08,0
38,,Dominik Janošek,0.24,0,40,2.06,0,0.87
39,,Florin Niță,0,0,100,0,0,0
40,,Jakub Řezníček,0.54,0.2,26.67,2.71,0.06,0
41,,Ivan Schranz,0.23,0,46.15,1,0.05,0
42,,David Lischka,0.07,0,100,0.6,0,0
43,,Modou N'Diaye,0.09,0,100,0.64,0,0
44,,Petr Hronek,0.1,0.15,50,1.15,0.05,0
45,,Jiří Sláma,0.04,0.04,20,0.58,0,0
46,,Stanislav Hofmann,0.1,0.03,100,0.52,0.06,0
47,,Stanislav Dostal,0,0,0,0.09,0,0
48,,Ľubomír Tupta,0.35,0.24,30,2.12,0,0
49,,Ondrej Karafiat,0,0.03,100,0.83,0,0
50,,David Jurásek,0.06,0.06,38.1,0.81,0,0
51,,Jakub Rada,0.07,0,60,0.71,0,0
52,,Jan Sedlak,0.2,0,0,0.2,0,0
53,,Jaroslav Svozil,0,0,0,0,0,0
54,,Dominik Holec,0,0,0,0,0,0
55,,Lukáš Masopust,0.11,0,50,0.68,0,0
56,,Filip Čihák,0,0.07,25,0.43,0,0
57,,Jakub Považanec,0.14,0,63.64,1.41,0,0
58,,Vakhtang Chanturishvili,0.1,0.07,33.33,1.24,0,0
59,,Martin Králik,0.1,0,100,0.38,0.1,0
60,,Jakub Hora,0.07,0,62.5,0.85,0,1.85
61,,David Doudera,0.17,0,47.06,1.34,0.03,0
62,,Jakub Markovič,0,0,0,0,0,0
63,,Lukáš Červ,0.13,0.03,66.67,1.13,0,0
64,,Benjamin Čolić,0.05,0,66.67,0.35,0,0
65,,Mojmir Chytil,0.35,0.06,54.55,2.38,0,0
66,,Christian Frydek,0.16,0.06,20,1.39,0.06,0.81
67,,Filip Panák,0,0.07,83.33,0.8,0,0
68,,Asger Sørensen,0.16,0,33.33,0.72,0.13,0
69,,Tomáš Holeš,0,0.05,66.67,0.76,0,0
70,,Jan Seda,0,0,0,0,0,0
71,,Abdallah Gning,0.28,0.16,42.86,2.31,0.03,0
72,,Václav Jemelka,0.03,0,44.44,0.47,0,0
73,,Erik Prekop,0.17,0.1,55.56,1.38,0.03,0
74,,Jan Hanus,0,0,0,0,0,0
75,,Daniel Fila,0.24,0.06,45,1.18,0,0
76,,Victor Olatunji,0.44,0.44,42.86,2.28,0,0
77,,Tomáš Wiesner,0.11,0.11,41.18,1.04,0.04,0
78,,Robert Hrubý,0.1,0.03,56.25,1.41,0,0
79,,Ladislav Almási,0.29,0.24,60,2.19,0.1,0
80,,Aiham Ousou,0.05,0.11,33.33,0.63,0.05,0
81,,Jan Kliment,0.25,0,80,1.33,0.17,0
82,,Marcel Čermák,0.29,0.07,54.55,2.07,0,0
83,,Jan Juroska,0.06,0,58.33,0.61,0,0
84,,Pavel Bucha,0.09,0,66.67,1.12,0,0
85,,Rafiu Durosinmi,0.27,0.2,33.33,1.93,0.07,0
