#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Ludek Nemecek,0,0,0,4,0,0
2,,Tomáš Fryšták,0,0,0,3,0,0
3,,Lukas Soukup,0,0,0,1,0,0
4,,Dávid Hancko,1.33,1.67,0,3.67,0,0.33
5,,Ladislav Krejčí,0.58,1.26,0.05,1.79,0,0.21
6,,Petr Ševčík,1.44,0.61,0,0.56,0,0.5
7,,Lukáš Kalvach,1.5,1.43,0,0.75,0,0.36
8,,Pavol Bajza,0,0.09,0,0.45,0,0
9,,Václav Jurečka,0.22,0.11,0,0.37,0,0.15
10,,Srđan Plavšić,1.46,0.46,0,0.38,0,0.38
11,,Casper Højer,1.33,0.52,0,1.33,0,0.14
12,,Eneo Bitri,1.5,1.75,0,4.33,0,0.08
13,,Kaan Kairinen,1.4,0.8,0,0.6,0,0.47
14,,Lukáš Haraslín,0.64,0.41,0,0.05,0,0.09
15,,Peter Olayinka,1,0.17,0,0.43,0,0.09
16,,Dávid Sípoš,0.09,0,0,1.09,0.09,0
17,,Luděk Pernica,1.14,1.05,0,3.19,0,0.05
18,,Tomáš Chorý,0.41,0.21,0,0.88,0,0.21
19,,Jan Kuchta,0.48,0.07,0,0.03,0,0.21
20,,Tomáš Ladra,0.41,0.28,0,0.16,0,0.13
21,,Lukáš Sadílek,1.26,0.76,0,0.56,0,0.38
22,,Igoh Ogbu,1.5,1.69,0.06,1.75,0,0
23,,Jan Chramosta,0.32,0.26,0.03,0.24,0,0.09
24,,Taras Kacharaba,1.05,2.21,0,1.58,0,0.11
25,,Roman Kvet,0.77,0.53,0,0.67,0,0.3
26,,Michal Frydrych,0.79,1.14,0,4.5,0,0.14
27,,Jiří Letáček,0,0,0.11,0.44,0,0
28,,Jindřich Staněk,0.03,0.03,0,1.3,0,0
29,,Maksym Talovierov,1.15,2.62,0,4.08,0,0.08
30,,Marek Matějovský,0.89,0.54,0,0.32,0,0.32
31,,Marek Havlík,1.64,1.15,0,1.03,0,0.3
32,,Stanislav Tecl,0.23,0,0,0.07,0,0
33,,Marián Tvrdoň,0,0,0,1,0,0
34,,Christos Zafeiris,1,0.4,0,0.2,0,0.4
35,,Ondrej Lingr,0.56,0.37,0,0.3,0,0.15
36,,Aleš Čermák,1,0.5,0,0.29,0,0.36
37,,Tomáš Čvančara,0.38,0.25,0,0.38,0,0.08
38,,Dominik Janošek,0.52,0.48,0.03,1.24,0,0.27
39,,Florin Niță,0,0.06,0.06,0.71,0,0
40,,Jakub Řezníček,0.09,0.06,0,0.43,0,0.09
41,,Ivan Schranz,0.82,0.32,0,0.32,0,0.18
42,,David Lischka,0.8,1.13,0,2.93,0,0.13
43,,Modou N'Diaye,1.36,1.18,0,0.82,0,0
44,,Petr Hronek,1.1,0.15,0,0.05,0,0.3
45,,Jiří Sláma,0.96,0.83,0,0.96,0,0.21
46,,Stanislav Hofmann,0.84,1.35,0.03,3.61,0,0.13
47,,Stanislav Dostal,0,0,0,0.82,0,0
48,,Ľubomír Tupta,0.29,0.24,0,0.53,0,0.24
49,,Ondrej Karafiat,1.93,1.83,0,3.87,0,0.27
50,,David Jurásek,1.35,0.65,0,0.48,0,0.35
51,,Jakub Rada,0.82,0.54,0.04,0.46,0,0.25
52,,Jan Sedlak,1.6,0.6,0,0.2,0,0.2
53,,Jaroslav Svozil,0,2,0,5,0,0.5
54,,Dominik Holec,0,0,0,0.29,0,0
55,,Lukáš Masopust,1.05,1.16,0.05,0.58,0,0.11
56,,Filip Čihák,1.71,0.86,0.07,3.43,0,0.29
57,,Jakub Považanec,1.76,0.76,0,0.9,0,0.66
58,,Vakhtang Chanturishvili,1.41,1.21,0,1.03,0,0.24
59,,Martin Králik,1.17,2.17,0,3.76,0,0.28
60,,Jakub Hora,1.15,1.3,0,1.59,0,0.56
61,,David Doudera,0.72,0.66,0,0.48,0,0.14
62,,Jakub Markovič,0.13,0,0,2.47,0,0
63,,Lukáš Červ,1.53,1.47,0.03,1.13,0,0.5
64,,Benjamin Čolić,0.6,0.6,0,1.4,0,0.1
65,,Mojmir Chytil,0.24,0.06,0,0.29,0,0.03
66,,Christian Frydek,0.45,0.35,0,0.19,0,0.29
67,,Filip Panák,0.67,0.87,0,2.87,0,0.13
68,,Asger Sørensen,0.56,0.88,0,2.03,0,0.09
69,,Tomáš Holeš,1.19,0.67,0,1.29,0,0.1
70,,Jan Seda,0,0.11,0,0.79,0,0.05
71,,Abdallah Gning,0.69,0.19,0,0.72,0,0.06
72,,Václav Jemelka,1.28,1.47,0,2.22,0,0.34
73,,Erik Prekop,0.62,0.21,0,0.38,0,0.14
74,,Jan Hanus,0,0,0.03,0.69,0,0
75,,Daniel Fila,0.12,0.41,0,0.24,0,0.29
76,,Victor Olatunji,0.44,0.17,0,0.94,0,0.11
77,,Tomáš Wiesner,1.39,0.32,0,0.54,0,0.29
78,,Robert Hrubý,0.79,0.76,0,0.38,0,0.34
79,,Ladislav Almási,0.1,0.05,0,0.14,0,0
80,,Aiham Ousou,0.68,1.63,0,2.32,0,0.05
81,,Jan Kliment,0.42,0.17,0,0.25,0,0.08
82,,Marcel Čermák,0.86,0.29,0,0.43,0,0.36
83,,Jan Juroska,1.11,1.22,0,0.83,0,0.33
84,,Pavel Bucha,0.76,0.7,0,0.45,0,0.33
85,,Rafiu Durosinmi,0.27,0.2,0,0.73,0,0.33
86,,Michal Ševčík,0.85,0.56,0,0.44,0,0.26
87,,Mick van Buren,0.47,0.18,0,0.24,0,0.21
88,,David Pavelka,1.61,1.11,0,0.89,0,0.11
89,,Moses Usor,0.53,0.27,0,0.13,0,0
90,,Lukáš Hejda,0.79,1.07,0.07,2.72,0,0.14
91,,Jakub Hromada,1.63,1,0,0.74,0,0.26
92,,Cadu,1.26,0.41,0,0.81,0,0.3
93,,Adam Vlkanova,0.7,0.15,0,0.39,0,0.21
