#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Ludek Nemecek,0,0,0,0,0,0
2,,Tomáš Fryšták,0,0,0,100,1,0
3,,Lukas Soukup,0,0,0,0,0,0
4,,Dávid Hancko,0,0,60,69.57,1.67,0.33
5,,Ladislav Krejčí,0.26,0,61.7,57.52,1.26,1.21
6,,Petr Ševčík,0,0,42.86,61.86,1.56,0.39
7,,Lukáš Kalvach,0.18,0,66.67,58.99,1.57,1.25
8,,Pavol Bajza,0.18,0.09,0,50,0.09,0.09
9,,Václav Jurečka,0.04,0,37.93,30.97,0.56,1.19
10,,Srđan Plavšić,0.13,0,33.33,52.59,2.46,0.88
11,,Casper Højer,0.05,0,48,56.9,1.05,1.05
12,,Eneo Bitri,0.17,0,67.92,66.29,0.42,1
13,,Kaan Kairinen,0.33,0,69.23,51.19,0.8,1.4
14,,Lukáš Haraslín,0.14,0,25,54.3,1.82,0.64
15,,Peter Olayinka,0.09,0.04,40,46.41,1.09,0.87
16,,Dávid Sípoš,0,0,100,100,0.27,0
17,,Luděk Pernica,0.1,0,64.52,66.09,0.62,0.71
18,,Tomáš Chorý,0.12,0,54.6,48.72,1.21,1.44
19,,Jan Kuchta,0.14,0.03,28.57,46.06,1.34,0.83
20,,Tomáš Ladra,0.03,0,29.51,38.6,1.41,0.88
21,,Lukáš Sadílek,0.15,0,53.33,58.06,0.97,0.91
22,,Igoh Ogbu,0.19,0,74,65.38,0.38,1.19
23,,Jan Chramosta,0.06,0,25,45.11,1.15,0.71
24,,Taras Kacharaba,0.11,0,76.19,67.65,0.58,0.53
25,,Roman Kvet,0.1,0.03,43.33,44.52,0.87,0.93
26,,Michal Frydrych,0.21,0,75.86,63.08,0.57,1.14
27,,Jiří Letáček,0.11,0,0,50,0.22,0.22
28,,Jindřich Staněk,0.06,0,100,85.71,0.09,0.03
29,,Maksym Talovierov,0,0.08,39.13,48.28,0.31,0.85
30,,Marek Matějovský,0.29,0,45,53.3,1.96,1.25
31,,Marek Havlík,0.09,0,41.3,56.7,0.97,0.7
32,,Stanislav Tecl,0,0,39.29,41.67,0.6,0.37
33,,Marián Tvrdoň,0,0,100,100,0,0
34,,Christos Zafeiris,0.2,0,23.08,42.57,1.13,1.2
35,,Ondrej Lingr,0.07,0,25,47.26,1.52,0.89
36,,Aleš Čermák,0.14,0,55.56,57.33,1,0.93
37,,Tomáš Čvančara,0.25,0.04,45,40.18,1,1.08
38,,Dominik Janošek,0.12,0,48.48,45.65,1.12,0.73
39,,Florin Niță,0.18,0,80,84.62,0.41,0.06
40,,Jakub Řezníček,0.09,0,31.94,40.76,1.69,1.03
41,,Ivan Schranz,0.27,0,53.33,45.45,0.59,1.5
42,,David Lischka,0.33,0,73.53,60.53,0.4,1.13
43,,Modou N'Diaye,0.27,0,53.33,68.63,1.09,1
44,,Petr Hronek,0.2,0,40.74,44.85,1.25,1.25
45,,Jiří Sláma,0.13,0,53.33,61.64,0.54,0.25
46,,Stanislav Hofmann,0.06,0,61.4,66.67,0.9,0.52
47,,Stanislav Dostal,0.09,0,0,0,0,0
48,,Ľubomír Tupta,0,0,60,44.44,1.41,0.59
49,,Ondrej Karafiat,0.17,0,57.5,66.23,0.63,0.8
50,,David Jurásek,0,0,66.67,55.39,1.16,0.81
51,,Jakub Rada,0.14,0,41.67,50.49,0.79,0.93
52,,Jan Sedlak,0,0,100,66.67,0.2,0.4
53,,Jaroslav Svozil,0,0,80,57.14,0,0.5
54,,Dominik Holec,0,0,0,0,0,0
55,,Lukáš Masopust,0.16,0,0,46.32,1.11,1.63
56,,Filip Čihák,0.14,0,61.36,65.74,1.43,0.86
57,,Jakub Považanec,0.1,0.03,44.44,56.25,1.41,1.1
58,,Vakhtang Chanturishvili,0,0,48.15,48.19,0.72,1.03
59,,Martin Králik,0.1,0,62.75,63.93,0.28,0.48
60,,Jakub Hora,0.19,0.04,57.89,46.21,0.78,1.33
61,,David Doudera,0.1,0,46.15,50,1.07,0.76
62,,Jakub Markovič,0.07,0,100,100,0.33,0
63,,Lukáš Červ,0.19,0.03,47.73,60.54,2.47,0.91
64,,Benjamin Čolić,0.2,0,53.33,56.79,1.2,0.65
65,,Mojmir Chytil,0.15,0,31.96,37.58,1.71,1.03
66,,Christian Frydek,0.23,0,77.78,51.97,1.81,0.84
67,,Filip Panák,0,0,57.69,59.09,0.6,0.47
68,,Asger Sørensen,0.06,0,70.91,67.83,0.63,0.53
69,,Tomáš Holeš,0.1,0,65.71,64.6,1.1,0.86
70,,Jan Seda,0.11,0,50,25,0,0.05
71,,Abdallah Gning,0.22,0.03,50.98,46.54,1.78,1.72
72,,Václav Jemelka,0.16,0,53.7,56.36,0.59,0.91
73,,Erik Prekop,0.21,0.03,51.35,49.82,1.59,1.38
74,,Jan Hanus,0.03,0,100,84.21,0.28,0.03
75,,Daniel Fila,0,0,34.78,38.37,0.82,0.71
