#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Ludek Nemecek,0,0,32,50,4,36
2,,Tomáš Fryšták,0,0,36,36.11,1,24.14
3,,Lukas Soukup,0,0,25,32,3,29.17
4,,Dávid Hancko,0.33,0,70,77.62,7.67,35.9
5,,Ladislav Krejčí,0.05,0.11,51.05,76.08,6,45.71
6,,Petr Ševčík,0.33,0.33,47.17,84.69,16.06,68.85
7,,Lukáš Kalvach,0.21,0.21,50.5,79.42,11.46,50.85
8,,Pavol Bajza,0,0,27.45,54.3,0.91,35.71
9,,Václav Jurečka,0.22,0.15,14.81,76.5,5.44,66.67
10,,Srđan Plavšić,0.42,0.21,28.96,67.63,10.25,47.5
11,,Casper Højer,0.05,0.29,30.76,71.05,7.14,34.48
12,,Eneo Bitri,0,0,45.92,75.68,2.83,48.85
13,,Kaan Kairinen,0.27,0.27,38.6,83.25,8.4,43.66
14,,Lukáš Haraslín,0.09,0.23,16.95,76.14,6.05,56.25
15,,Peter Olayinka,0.13,0.17,18.83,68.59,7.43,41.67
16,,Dávid Sípoš,0,0,39.64,63.07,2.45,41.06
17,,Luděk Pernica,0.05,0.05,51.95,83.04,3.48,62.11
18,,Tomáš Chorý,0.12,0.12,18.82,62.03,6,38.46
19,,Jan Kuchta,0.14,0.14,14.45,70.64,4.76,81.25
20,,Tomáš Ladra,0.09,0.06,26.28,70.51,9.84,47.76
21,,Lukáš Sadílek,0.21,0.12,33.56,78.97,9.12,46.4
22,,Igoh Ogbu,0.06,0.06,60.56,84.52,7.31,66.87
23,,Jan Chramosta,0.29,0.18,18.41,73.16,5.53,50
24,,Taras Kacharaba,0.11,0,53.42,80.1,6.53,53.11
25,,Roman Kvet,0.03,0.07,25.13,75.33,7.63,53.25
26,,Michal Frydrych,0.14,0.14,53.21,77.32,4.5,50.3
27,,Jiří Letáček,0,0,31.67,64.91,0.56,35.1
28,,Jindřich Staněk,0,0,31.64,68.49,3.15,47.39
29,,Maksym Talovierov,0,0,47.85,81.83,2.23,52.43
30,,Marek Matějovský,0.11,0.32,35.86,72.21,11.32,49.03
31,,Marek Havlík,0.12,0.18,40.18,73.38,9.58,52.69
32,,Stanislav Tecl,0.3,0.23,11.13,71.56,4.73,66.67
33,,Marián Tvrdoň,0,0,24,61.11,2.33,41.67
34,,Christos Zafeiris,0.07,0.27,36.87,82.82,13.07,58.23
35,,Ondrej Lingr,0.11,0.15,18,79.84,7.96,62.5
36,,Aleš Čermák,0,0.07,24.14,75.44,7.93,38.64
37,,Tomáš Čvančara,0.08,0.13,14.96,64.9,4.21,45.16
38,,Dominik Janošek,0.03,0.03,34.18,73.05,10.03,58.6
39,,Florin Niță,0,0,32.41,65.15,1.65,42.06
40,,Jakub Řezníček,0.03,0.06,11.71,59.27,2.6,50
41,,Ivan Schranz,0.14,0.18,26.59,77.78,7.77,50
42,,David Lischka,0,0.07,44.93,81.31,3.07,55.04
43,,Modou N'Diaye,0.09,0.18,22.18,75.82,4.36,55.56
44,,Petr Hronek,0.1,0.15,15.2,64.47,4.65,36.36
45,,Jiří Sláma,0.13,0.17,19.83,60.92,4.33,34.71
46,,Stanislav Hofmann,0,0,48.61,79.63,4.52,55.62
47,,Stanislav Dostal,0,0,35.82,63.2,2.73,50.35
48,,Ľubomír Tupta,0.18,0.06,20.18,75.8,6.88,57.14
49,,Ondrej Karafiat,0.07,0,43.63,73.64,6,47.59
50,,David Jurásek,0.1,0.23,35.81,70.27,8.87,38.34
51,,Jakub Rada,0.07,0.04,30.43,76.29,8.79,59.5
52,,Jan Sedlak,0,0,8.4,76.19,2.4,75
53,,Jaroslav Svozil,0,0,40,87.5,3,42.86
54,,Dominik Holec,0,0,29.29,77.07,0.57,43.59
55,,Lukáš Masopust,0,0.26,37.47,77.11,10.79,46.23
56,,Filip Čihák,0.07,0.07,40.07,69.34,3.79,46.95
57,,Jakub Považanec,0.07,0.14,39.17,72.62,7.9,50.8
58,,Vakhtang Chanturishvili,0.1,0.14,27.93,70.86,6.62,43.08
59,,Martin Králik,0.03,0.03,49.41,76.34,4.66,47.37
60,,Jakub Hora,0.04,0.26,51.07,73.1,9.93,43.54
61,,David Doudera,0.17,0.07,33.93,74.09,10.55,42.86
62,,Jakub Markovič,0,0,31.53,58.35,2.13,38.87
63,,Lukáš Červ,0.09,0.03,36.47,74.04,6.53,48.03
64,,Benjamin Čolić,0.2,0.2,29.75,66.89,6.9,35.71
65,,Mojmir Chytil,0.09,0.06,17.88,66.61,5.68,54.55
66,,Christian Frydek,0.19,0.16,22.45,73.71,6.19,38.27
67,,Filip Panák,0.13,0.07,40.2,83.58,4.93,59.62
68,,Asger Sørensen,0,0.03,59.47,84.34,5.09,49.17
69,,Tomáš Holeš,0.14,0.14,49.24,77.95,7.9,52.06
70,,Jan Seda,0,0,28.58,56.91,1.95,38.13
71,,Abdallah Gning,0.09,0.09,16.72,63.74,5.28,39.13
72,,Václav Jemelka,0.09,0.09,41.69,77.36,7,49.36
73,,Erik Prekop,0.1,0.1,13.38,55.41,4.24,33.33
74,,Jan Hanus,0,0,26.09,62.04,1.09,38.31
75,,Daniel Fila,0.06,0.12,11.94,69.95,3.53,50
76,,Victor Olatunji,0.11,0.06,12.61,60.79,3.39,68.42
77,,Tomáš Wiesner,0.07,0.07,24.43,69.15,5.75,43.75
78,,Robert Hrubý,0.1,0.24,24,77.87,6.66,69.62
