#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Ludek Nemecek,6,1,0,0,0,0
2,,Tomáš Fryšták,7,0,0,0,1,0
3,,Lukas Soukup,4,1,0,0,0,0
4,,Dávid Hancko,0,0.67,0,0,0.33,0.33
5,,Ladislav Krejčí,0,0.37,0,0,0.79,0.11
6,,Petr Ševčík,0,0.06,0,0,0.44,0.39
7,,Lukáš Kalvach,0,0.25,0,0,1,0.07
8,,Pavol Bajza,4.27,0.09,0.27,0.09,0.91,0
9,,Václav Jurečka,0,0.07,0,0,0.41,0.26
10,,Srđan Plavšić,0,0.08,0,0,1.04,0.04
11,,Casper Højer,0,0.1,0,0,0.62,0.14
12,,Eneo Bitri,0,0.25,0,0,1,0
13,,Kaan Kairinen,0,0.07,0,0,0.8,0.07
14,,Lukáš Haraslín,0,0,0,0,0.77,0.14
15,,Peter Olayinka,0,0.3,0,0,0.26,0.26
16,,Dávid Sípoš,4.73,0.18,0,0,1.55,0.27
17,,Luděk Pernica,0,0.38,0,0,0.67,0.1
18,,Tomáš Chorý,0,0.03,0,0,0.85,0.09
19,,Jan Kuchta,0,0.17,0,0,0.76,0.17
20,,Tomáš Ladra,0,0.19,0,0,1.03,0.09
21,,Lukáš Sadílek,0,0.24,0,0,0.74,0.15
22,,Igoh Ogbu,0,0.38,0,0,0.56,0.31
23,,Jan Chramosta,0,0.03,0,0,1.09,0.21
24,,Taras Kacharaba,0,0.37,0,0,0.26,0.37
25,,Roman Kvet,0,0,0,0,0.93,0.23
26,,Michal Frydrych,0,0.21,0,0,1.36,0.14
27,,Jiří Letáček,3,0.33,0.22,0,0.78,0
28,,Jindřich Staněk,3,0.3,0.06,0,1,0.09
29,,Maksym Talovierov,0,0.23,0,0,0.77,0.46
30,,Marek Matějovský,0,0.07,0,0,0.71,0.04
31,,Marek Havlík,0,0.3,0,0,1.12,0.18
32,,Stanislav Tecl,0,0,0,0,0.23,0.23
33,,Marián Tvrdoň,2.67,0.33,0,0,0.67,0
34,,Christos Zafeiris,0,0.07,0,0,0.2,0.2
35,,Ondrej Lingr,0,0.04,0,0,0.26,0.22
36,,Aleš Čermák,0,0.14,0,0,0.57,0
37,,Tomáš Čvančara,0,0.04,0,0,0.58,0.08
38,,Dominik Janošek,0,0.03,0,0,1.45,0.21
39,,Florin Niță,3.29,0.18,0.35,0.18,1.06,0.12
40,,Jakub Řezníček,0,0.06,0,0,1.46,0.29
41,,Ivan Schranz,0,0.18,0,0,0.32,0.27
42,,David Lischka,0,0.27,0,0,0.87,0
43,,Modou N'Diaye,0,0,0,0,0.36,0
44,,Petr Hronek,0,0,0,0,0.95,0.2
45,,Jiří Sláma,0,0,0,0,0.42,0.25
46,,Stanislav Hofmann,0,0.29,0,0,1.1,0.16
47,,Stanislav Dostal,3.36,0.18,0.09,0.09,1.45,0.18
48,,Ľubomír Tupta,0,0,0,0,1.06,0.06
49,,Ondrej Karafiat,0,0.3,0,0,1.3,0.13
50,,David Jurásek,0,0.35,0,0,0.39,0.35
51,,Jakub Rada,0,0.07,0,0,0.71,0.04
52,,Jan Sedlak,0,0,0,0,0.4,0
53,,Jaroslav Svozil,0,0,0,0,1,0
54,,Dominik Holec,2,0.43,0,0,0.57,0.14
55,,Lukáš Masopust,0,0.16,0,0,0.32,0.37
56,,Filip Čihák,0,0.21,0,0,1.07,0.07
57,,Jakub Považanec,0,0.07,0,0,1.14,0.38
58,,Vakhtang Chanturishvili,0,0.14,0,0,1.48,0.17
59,,Martin Králik,0,0.14,0,0,1.69,0.1
60,,Jakub Hora,0,0.11,0,0,1.48,0.15
61,,David Doudera,0,0.17,0,0,0.41,0.31
62,,Jakub Markovič,3.4,0.07,0.13,0.07,1.67,0.33
63,,Lukáš Červ,0,0.13,0,0,1.03,0.22
64,,Benjamin Čolić,0,0.15,0,0,1.15,0.1
65,,Mojmir Chytil,0,0.12,0,0,1,0.24
66,,Christian Frydek,0,0.03,0,0,0.61,0.13
67,,Filip Panák,0,0.2,0,0,0.47,0.13
68,,Asger Sørensen,0,0.34,0,0,0.75,0.13
69,,Tomáš Holeš,0,0.24,0,0,0.52,0.29
70,,Jan Seda,3.16,0.32,0.16,0,1.16,0.11
71,,Abdallah Gning,0,0.03,0,0,1.38,0.16
72,,Václav Jemelka,0,0.28,0,0,0.81,0.06
73,,Erik Prekop,0,0.03,0,0,0.76,0.14
74,,Jan Hanus,3.78,0.16,0.16,0,1.41,0.28
75,,Daniel Fila,0,0,0,0,0.71,0
76,,Victor Olatunji,0,0.11,0,0,1,0
77,,Tomáš Wiesner,0,0.14,0,0,0.79,0.04
78,,Robert Hrubý,0,0.07,0,0,1.14,0.14
79,,Ladislav Almási,0,0.05,0,0,0.76,0.1
80,,Aiham Ousou,0,0.21,0,0,0.37,0.42
81,,Jan Kliment,0,0,0,0,0.5,0
82,,Marcel Čermák,0,0,0,0,0.93,0.21
83,,Jan Juroska,0,0.22,0,0,0.78,0.06
84,,Pavel Bucha,0,0.21,0,0,0.91,0.09
85,,Rafiu Durosinmi,0,0,0,0,0.73,0.07
86,,Michal Ševčík,0,0,0,0,1.32,0.29
87,,Mick van Buren,0,0.03,0,0,0.47,0.24
88,,David Pavelka,0,0.17,0,0,0.56,0.11
89,,Moses Usor,0,0,0,0,0.13,0.07
90,,Lukáš Hejda,0,0.28,0,0,0.9,0.1
91,,Jakub Hromada,0,0.11,0,0,0.37,0.16
92,,Cadu,0,0.07,0,0,0.85,0.04
93,,Adam Vlkanova,0,0.06,0,0,0.45,0
94,,Juraj Chvátal,0,0.19,0,0,1.08,0.08
95,,Patrik Hellebrand,0,0.06,0,0,1.39,0.13
96,,Ewerton,0,0,0,0,0.36,0.07
97,,Muhammed Sanneh,0,0,0,0,1.27,0.09
98,,Jan Bořil,0,0,0,0,0,0
99,,Milan Lexa,0,0,0,0,1,0
100,,Jan Krob,0,0.11,0,0,0.67,0.11
101,,Miloš Kratochvíl,0,0.11,0,0,1.39,0.39
102,,Theodor Gebre Selassie,0,0.19,0,0,0.88,0.25
