#,Team,Name
1,,Ludek Nemecek
2,,Tomáš Fryšták
3,,Lukas Soukup
4,,Pavol Bajza
5,,Dávid Sípoš
6,,Jiří Letáček
7,,Jindřich Staněk
8,,Marián Tvrdoň
9,,Florin Niță
10,,Stanislav Dostal
11,,Dominik Holec
12,,Jakub Markovič
13,,Jan Seda
14,,Jan Hanus
15,,Jan Laštůvka
16,,Olivier Vliegen
17,,Ondřej Kolář
18,,Petr Mikulec
19,,Michal Reichl
20,,Filip Nguyen
21,,Jakub Trefil
22,,Roman Vales
23,,Matej Kovar
24,,Martin Hruby
25,,Matúš Macík
26,,Martin Janáček
27,,Martin Jedlička
28,,Matej Rakovan
29,,Martin Berkovec
30,,Aleš Mandous
31,,Martin Polaček
32,,Filip Mucha
33,,Vlastimil Hruby
34,,Tomas Grigar
35,,Hugo Jan Bačkovský
36,,Jakub Šiman
37,,Viktor Budinský
38,,Patrik Vízek
39,,Tadeas Stoppen
40,,Jakub Surovčík
41,,Jiri Borek
