#,Team,Name,Appearances
1,,Andrei Vlad,3
2,,Florin Tănase,2
3,,Omar Govea,10
4,,Ionut Andres,5
5,,Nicușor Bancu,13
6,,Aymar Kevin Meleke,2
7,,Ciprian Deac,31
8,,Denis Alibec,31
9,,Adrian Șut,32
10,,Alexandru Păun,5
11,,Gustavo Vagenin,2
12,,Júnior Pius,9
13,,Gabriel Tamaş,13
14,,Dragoș Albu,22
15,,Florinel Coman,35
16,,Bogdan Vătăjelu,25
17,,Igor Armaș,38
18,,Cristian Bălgrădean,3
19,,Yuri Matias,34
20,,Darius Olaru,37
21,,Răzvan Ducan,9
22,,Raul Opruț,34
23,,Cătălin Straton,24
24,,Karlo Muhar,32
25,,Cristian Manea,30
26,,Vito Hammershøj-Mistrati,5
27,,Karlo Letica,25
28,,André Duarte,39
29,,Dan Nistor,32
30,,Nana Boateng,32
31,,Tudor Băluță,32
32,,Marko Dugandžić,38
33,,Octavian Popescu,36
34,,Ionuț Larie,39
35,,Valentin Crețu,17
36,,Seniko Doua,16
37,,Andrea Compagno,34
38,,Gabriel Mutombo,14
39,,Ionuț Stoica,31
40,,Rangelo Janga,30
41,,Vadim Rață,35
42,,Louis Munteanu,29
43,,Marius Ștefănescu,30
44,,Andrei Artean,40
45,,Paul Iacob,17
46,,Mihai Popescu,30
47,,Lorenzo Paramatti,20
48,,Mihai Aioani,39
49,,Malcom Edjouma,29
50,,Rúnar Már  Sigurjónsson,12
51,,Sota Mino,36
52,,Gjoko Zajkov,16
53,,Alexandru Chipciu,34
54,,Sebastian Mailat,36
55,,Alexandru Benga,38
56,,Félix Mathaus Lima Santos,25
57,,Alin Fica,7
58,,Mihai Popa,37
59,,Laurenţiu Popescu,17
60,,Nicolae Păun,36
61,,Dragoș Nedelcu,29
62,,Mario Zebić,11
63,,Patricio Matricardi,35
64,,George Cîmpanu,31
65,,Gabriel Enache,8
66,,Brendon Estevam,8
67,,Doru Popadiuc,34
68,,Octavian Vâlceanu,26
69,,Marian Huja,20
70,,Ricardinho,29
71,,Andrei Ivan,35
72,,Alin Şeroni,25
73,,Constantin Grameni,39
74,,Vlad Achim,29
75,,Raúl Silva,23
76,,Andrei Burcă,28
77,,Bart Meijers,38
78,,Horațiu Moldovan,39
79,,Risto Radunović,31
80,,Adnan Aganović,33
81,,Vladimir Screciu,36
82,,Paul Papp,29
83,,Daniel Paraschiv,39
84,,Lukáš Droppa,14
85,,Mihai Butean,35
86,,Ismaël Diomandé,4
87,,Karlo Bručić,3
88,,Ion Gurau,20
89,,Ermal Krasniqi,18
90,,Mamadou Thiam,27
91,,Idriz Batha,34
92,,Constantin Budescu,17
93,,Juan Bauza,29
94,,Kyriakos Papadopoulos,9
95,,Denis Ciobotariu,28
96,,Samuel Asamoah,28
97,,Bogdan Rusu,23
98,,Ștefan Baiaram,27
99,,Adrian Petre,3
100,,Guilherme Garutti,33
101,,Victor Dican,38
102,,Júnior Morais,36
103,,Alexandru Albu,32
104,,Danny,16
105,,Ovidiu Hoban,22
106,,Denis Ispas,28
107,,Joonas Tamm,35
108,,Alexi Pitu,20
109,,Bogdan Mitrea,24
110,,Adam Nemec,37
111,,Florin Iacob,22
112,,Paul Anton,27
113,,Charles Petro,9
114,,Daniel Popa,37
115,,William Baeten,31
116,,Ulrich Meleke,32
117,,Romário Pires,24
118,,Florin Ştefan,13
119,,Mike Cestor,16
120,,Gheorghe Grozav,38
121,,Mirko Pigliacelli,1
122,,Virgil Drăghia,1
123,,Dragoş Grigore,28
124,,Roger Junio Rodrigues Ferreira,31
125,,Cosmin Matei,35
126,,Gabriel Torje,16
127,,Cristian Săpunaru,39
128,,Sergiu Hanca,10
129,,Andrei Cordea,37
130,,Marius Briceag,19
131,,Andres Dumitrescu,30
132,,Jérémy Huyghebaert,30
133,,Adrian Scarlatache,28
134,,Mihai Bălașa,22
135,,Martin Remacle,29
136,,Esteban Orozco,27
137,,Valentin Țicu,38
138,,Yassine Bahassa,36
139,,Ely Fernandes,15
140,,Alexandru Țigănașu,32
141,,Roland Niczuly,36
142,,Mattias Käit,31
143,,Denis Kolinger,21
144,,Aurelian Chițu,33
145,,Kevin Luckassen,22
146,,Paolo Medina,11
147,,Andrei Ciobanu,13
148,,Baba Alhassan,30
149,,Cosmin Florin Achim,12
150,,Kévin Boli,25
151,,Joyskim Dawa,35
152,,Branislav Niňaj,34
153,,Desley Ubbink,33
154,,Funsho Bamgboye,12
155,,Mário Camora,29
156,,Basilio Ndong,15
157,,Alexandru Tudorie,36
158,,Cornel Ene,13
159,,Jair,34
160,,Deian Sorescu,18
161,,Ljuban Crepulja,20
162,,Naser Aliji,36
163,,Dejan Boldor,25
164,,Mario Rondon,40
165,,Jonathan Rodriguez,31
166,,Dorinel Oancea,36
167,,Marcelo Lopes,36
168,,Rassambek Akhmatov,29
169,,Antonio Sefer,37
170,,Vlad Muțiu,9
171,,Cătălin Căbuz,34
172,,Andrei Gorcea,25
173,,Alexandru Greab,21
174,,Ovidiu Bic,33
175,,Tony Njiké,34
176,,Ivan Martić,23
177,,Florin Bejan,27
178,,Bautista Cascini,32
179,,Emmanuel Yeboah,31
180,,Plamen Iliev,16
181,,Eduard Pap,30
182,,Lovro Cvek,30
183,,Daniel Marius Serbanica,13
184,,Marco Dulca,24
185,,Mihai Căpățînă,30
186,,Giedrius Arlauskis,7
187,,Andrei Chindriş,22
188,,Hervin Ongenda,4
189,,Răzvan Began,4
190,,Ștefan Vlădoiu,30
191,,Eduard Florescu,21
192,,Cephas Malele,18
193,,Răzvan Onea,33
194,,Andreas Leitner,11
195,,Marius Constantin,23
196,,Jefferson Junior,6
197,,Grigore Ioan Turda,20
198,,Cătălin Golofca,18
199,,Juan Pablo Passaglia,16
200,,Márk Tamás,18
201,,Iustin Popescu,17
202,,Silviu Balaure,39
203,,Pavol Šafranko,30
204,,Antonio Jakoliš,32
205,,Alexandru Ioniță,34
206,,Florentin Matei,12
207,,Virgiliu Postolachi,37
208,,Ștefan Pănoiu,37
209,,Ante Roguljić,27
210,,Radoslav Dimitrov,27
211,,Stefan Aškovski,1
212,,Ivan Mamut,2
213,,Alexandru Mățan,6
214,,Erjon Hoxhallari,26
215,,Blerim Krasniqi,23
216,,Amine Benchaib,15
217,,Claudiu Petrila,38
218,,Stefan Purtić,13
219,,Ioan Filip,37
220,,Mario Bratu,21
221,,Simone Scuffet,34
222,,Adrian Mazilu,19
223,,Paul Arnold Garita,36
224,,Ion Gheorghe,30
225,,Marquinhos Pedroso,12
226,,Marius Antoche,19
227,,David Meza Colli,34
228,,Francois Marquet,14
229,,Dragoş Balauru,9
230,,Gabriel Iancu,24
231,,Daniel Florea,32
232,,Andreas Calcan,35
233,,Alexandru Crețu,34
234,,Robert Popa,21
235,,Modestas Vorobjovas,33
236,,Alexandru Mateiu,33
237,,David Kiki,38
238,,Mihai Roman II,32
239,,Sekou Camara,33
240,,Daniel Celea,34
241,,Takayuki Seto,35
242,,Matheus Mascarenhas,15
243,,Mimito Biai,11
244,,Erico da Silva,13
245,,Cosmin Atanase,11
246,,Jovan Marković,37
247,,Călin Popescu,30
248,,Giovanni,10
249,,David Lazar,15
250,,Georgi Pashov,16
251,,Carlo Casap,29
252,,Vitalie Damașcan,32
253,,Costinel Tofan,34
254,,Alexandru Ișfan,37
255,,Ștefan Târnovanu,37
256,,Petrişor Petrescu,34
257,,Claudiu Keșerü,26
258,,Liviu Antal,30
259,,Gabriel Eugen David,2
260,,Rachid Bouhenna,4
261,,George Micle,8
262,,Daniel Bîrligea,31
263,,Elvir Koljić,25
264,,Alexandru Iacob,8
265,,Valentin Coșereanu,23
266,,Rareș Sebastian Ispas,20
267,,Marko Vukčević,29
268,,Bogdan Țîru,5
269,,Cristian Ignat,3
270,,Jayson Papeau,20
271,,Christopher Braun,30
272,,Marius Cioiu,27
273,,Mihai Roman,18
274,,Billel Omrani,22
275,,Terrence Tisdell,4
276,,Ovidiu Popescu,17
277,,Ayrton Mboko-Sambeya,8
278,,Facundo Rizzi,16
279,,Sebastian Mladen,4
280,,Vlad Morar,21
281,,Cosmin Tucaliuc,12
282,,Mihai Radut,22
283,,Boban Nikolov,11
284,,Antoni Ivanov,33
285,,Alexandru Buziuc,26
286,,Shaquill Sno,30
287,,Radu Boboc,6
288,,Andrei Miron,14
289,,Andrei Serban,30
290,,Cristian Costin,35
291,,Mihai Lixandru,30
292,,Dan Sirbu,30
293,,Roberto Romeo,8
294,,Danilo Kucher,8
295,,Sekou Sidibe,19
296,,Adrian Ionuț Bălan,28
297,,Alin Dobrosavlevici,20
298,,Roland Varga,12
299,,Rivaldinho,23
300,,Stefan Milošević,16
301,,Virgile Pinson,18
302,,Cristian Neguț,35
303,,David Miculescu,39
304,,Andrei Borza,33
305,,Ivan Goranov,8
306,,Vlad Mitrea,1
307,,Andrei Militaru,1
308,,Adrian Gîdea,4
309,,Rijad Sadiku,19
310,,Philip Otele,34
311,,Kevin Koubemba,14
312,,Cristi Bărbuț,25
313,,Alexandru Oroian,33
314,,Andrei Pițian,22
315,,Godberg Cooper,27
316,,Anass Achahbar,14
317,,Anton Maglica,10
318,,Nicolae Carnat,26
319,,Florin Purece,14
320,,Wesley Jobello,31
321,,Franco Mussis,12
322,,Ionuț Biceanu,38
323,,Vesel Limaj,15
324,,Dorian Bertrand,24
325,,Fábio Vianna,15
326,,Tiberiu Căpuşă,34
327,,Christian Irobiso,32
328,,Florin Borța,26
329,,Radu Negru,35
330,,Gabriel Simion,25
331,,Ionuț Şerban,18
332,,Xian Emmers,24
333,,Alexandru Pantea,17
334,,Hélder Tavares,34
335,,Junior Tallo,4
336,,Zorhan Bassong,8
337,,Andrei Burlacu,12
338,,Adrian Ionita,27
339,,Kevin Doukoure,27
340,,Jérémy Corinus,18
341,,Valerică Găman,15
342,,Benjamin van Durmen,25
343,,Dragoș Tescan,12
344,,Aly Abeid,21
345,,Juraj Badelj,7
346,,Enriko Papa,16
347,,Ionuț Balaur,25
348,,Iasmin Latovlevici,11
349,,Nasser Chamed,19
350,,Denis Haruț,9
351,,Iulian Cristea,14
352,,Andrei Patache,19
353,,Mihai Velisar,5
354,,Denis Constantin Dumitrascu,35
355,,Cornel Dinu,16
356,,Cristian Merloi,23
357,,Ionut Laurentiu Radescu,33
358,,Gustavo Marins,5
359,,Daniel Toma,22
360,,Cyril Zabou,22
361,,Alexandru Vlad,13
362,,Vlad Pop,29
363,,Andreas Mihaiu,11
364,,Willie,11
365,,George Ganea,28
366,,Dragoș Iancu,11
367,,Ricardo Grigore,13
368,,Florian Haita,16
369,,Damien Dussaut,1
370,,Constantin Dima,1
371,,Alexandru Buzbuchi,1
372,,Narcis Cosmin Ilas,1
373,,Alexandru Stan,2
374,,George Dragomir,2
375,,Rareș Bălan,2
376,,Răzvan Sava,3
377,,Alexandru Musi,3
378,,Robert Ion,3
379,,Patrick Pașcalău,4
380,,Cristian Cherchez,5
381,,Claudiu Balan,6
382,,Andrei Peteleu,7
383,,Brent Lepistu,8
384,,Simon Moise Măzărache,14
385,,Romario Benzar,15
386,,Yacouba Sylla,15
387,,Eugeniu Cebotaru,16
388,,Raul Steau,21
389,,Răzvan Trif,14
390,,Francisco Junior,21
391,,Remus Guțea,7
392,,George Claudiu Negoescu,6
393,,Andrei Dragu,35
394,,José Gomes,16
395,,Ionuț Vînă,5
396,,Claudiu Belu,5
397,,Gabriel Debeljuh,4
398,,David Sala,6
399,,Andrei  Dumiter,16
400,,Matko Babić,23
401,,Sergiu Buş,20
402,,Junior Kabananga,10
403,,Enes Sali,19
404,,Ioan Hora,2
405,,Sorin Șerban,2
406,,Emanuel Dat,2
407,,Alexandru Daniel Jipa,2
408,,Salvatore Marrone,6
409,,Mirko Ivanovski,14
410,,Damian Isac,11
411,,Răzvan Oaidă,22
412,,Alexandru Boiciuc,8
413,,Lucian Dumitriu,35
414,,Lóránd Fülöp,25
415,,Eduard Radaslavescu,15
416,,Rares Pop,25
417,,Segej Grubac,14
418,,Ionuț Cojocaru,3
419,,Roberto Voican,5
420,,Ovidiu Perianu,21
421,,Valentin Buhăcianu,16
422,,Stefan Blanaru,14
423,,Andrei Tîrcoveanu,19
424,,Elad Shahaf,12
425,,Cristian Dumitru,4
426,,Albert Hofman,4
427,,Valentin Sima,4
428,,Jakub Vojtuš,5
429,,Martin Raynov,8
430,,Ionuț Năstăsie,14
431,,Paul Pârvulescu,5
432,,Mihai Dobrescu,15
433,,Andrei Panait,26
434,,Valentin Costache,24
435,,Albert Stahl,23
436,,Jefté Betancor,7
437,,Adrian Cierpka,1
438,,Romario Moise,1
439,,Joseph Godwin,1
440,,Daniel Graovac,2
441,,Daniel Birzu,2
442,,Dylan Mboumbouni,5
443,,Orhan Ademi,8
444,,Ianis Stoica,16
445,,Ionut Burnea,19
446,,Mateus Santos,27
447,,Cristian Paz,10
448,,Mihai Bordeianu,13
449,,Boubacar Hanne,7
450,,Amadou Tidiane Diallo,12
451,,Geani Creţu,17
452,,Robert Moldoveanu,18
453,,Petar Petkovski,10
454,,Florin Ilie,24
455,,Laurențiu Brănescu,3
456,,Cătălin Hlistei,4
457,,Julio Donisa,9
458,,Dinu Moldovan,6
459,,Rolandas Baravykas,7
460,,Sebastian Micu,1
461,,Marian Danciu,2
462,,Raul Avram,2
463,,Iulian Costin Petrisor,2
464,,Andrei Căprescu,4
465,,Flavius Croitoru,5
466,,Yanis Pirvu,6
467,,Bryan Alceus,16
468,,Vladislav Blănuță,10
469,,Albert Voinea,2
470,,Luca Banu,2
471,,Seydou Issah,7
472,,Jibril Ibrahimi,4
473,,Luca Andronache,3
474,,Enzo Célestine,7
475,,Gino Stefan Oprescu,1
476,,Alexandru Munteanu,1
477,,Jesús Fernández,2
478,,Denis Benga,2
479,,Harisson Manzala,3
480,,Fabiano Cibi,1
481,,Nicolas Popescu,4
482,,Veres Szilard,3
483,,Kassim M'Dahoma,1
484,,Teodor Pestisor,1
485,,Ovidiu Horşia,7
486,,Laurentiu Bucur,1
487,,Alexandru Uțiu,0
488,,Alexandru Stoian,1
489,,Aly Ndom,1
490,,Alexandru Bota,1
491,,David Marian Croitoru,1
492,,Akos Nistor,1
493,,Mihnea Radulescu,1
494,,Mario Ilie,1
495,,Alexandru Crivac,1
496,,Bogdan Ungureanu,1
497,,Raul Bucur,1
498,,Mario Ionita,1
499,,Costel Avram,1
500,,Doru Andrei,2
501,,Alberto Olaru,2
502,,Robert Popescu,2
503,,Claudiu Moise,2
504,,Ionut Zanfir,2
