#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Andrei Vlad,0,0,0,0,0,0
2,,Florin Tănase,0.5,0,66.67,2,0,0
3,,Omar Govea,0.1,0,47.83,1.4,0,0
4,,Ionut Andres,0,0,100,0.4,0,0
5,,Nicușor Bancu,0,0.08,44.44,1,0,0
6,,Aymar Kevin Meleke,0.5,0,0,1.5,0,0
7,,Ciprian Deac,0.19,0.13,44.19,0.97,0,0
8,,Denis Alibec,0.45,0.35,52.38,3.23,0,0.19
9,,Adrian Șut,0.16,0,50,1.31,0.03,0
10,,Alexandru Păun,0,0.2,87.5,1.4,0,0
11,,Gustavo Vagenin,1,0,0,1.5,0.5,0
12,,Júnior Pius,0,0.11,87.5,1,0,0
13,,Gabriel Tamaş,0.15,0,50,0.92,0.15,0
14,,Dragoș Albu,0.14,0.05,73.68,1.95,0,0
15,,Florinel Coman,0.23,0.09,56.83,2.06,0,0.24
16,,Bogdan Vătăjelu,0.04,0.04,48.84,1.2,0,0
17,,Igor Armaș,0,0.03,66.67,0.45,0,0
18,,Cristian Bălgrădean,0,0,0,0,0,0
19,,Yuri Matias,0.12,0.03,100,1,0.03,0
20,,Darius Olaru,0.03,0.14,46.84,1.51,0,0
21,,Răzvan Ducan,0,0,0,0,0,0
22,,Raul Opruț,0.06,0,54.84,0.71,0,0
23,,Cătălin Straton,0,0,100,0,0,0
24,,Karlo Muhar,0.16,0.06,79.25,1.63,0.13,0
25,,Cristian Manea,0.17,0.03,42.86,1,0.03,0
26,,Vito Hammershøj-Mistrati,0.2,0.2,0,0.8,0,0
27,,Karlo Letica,0,0,0,0,0,0
28,,André Duarte,0,0.05,71.43,0.79,0,0
29,,Dan Nistor,0.16,0.06,64,1.25,0,0.63
30,,Nana Boateng,0.09,0.09,49.09,1.16,0.03,0
31,,Tudor Băluță,0.19,0,60,1.38,0.03,0
32,,Marko Dugandžić,0.58,0.34,51.16,2.18,0.05,0
33,,Octavian Popescu,0.11,0.06,52.17,1.61,0,0
34,,Ionuț Larie,0.08,0.03,63.64,0.49,0,0
35,,Valentin Crețu,0,0,43.75,0.06,0,0
36,,Seniko Doua,0.13,0,69.23,0.44,0,0
37,,Andrea Compagno,0.59,0.5,32,3.03,0.06,0
38,,Gabriel Mutombo,0.07,0,100,0.5,0.07,0
39,,Ionuț Stoica,0.06,0,50,0.45,0.06,0
40,,Rangelo Janga,0.33,0.07,37.5,1.3,0.13,0
41,,Vadim Rață,0.03,0.11,47.27,0.77,0.03,0
42,,Louis Munteanu,0.34,0.24,50,2.59,0,0
43,,Marius Ștefănescu,0.2,0.07,40.58,2.33,0,0
44,,Andrei Artean,0.08,0.13,52.63,1.05,0.03,0
45,,Paul Iacob,0.12,0.12,50,0.29,0,0
46,,Mihai Popescu,0.03,0,72.73,0.67,0,0
47,,Lorenzo Paramatti,0,0.05,57.14,0.4,0,0
48,,Mihai Aioani,0,0,0,0,0,0
49,,Malcom Edjouma,0.31,0.24,50,1.76,0.07,0
50,,Rúnar Már  Sigurjónsson,0.33,0.33,54.55,1.83,0,2.78
51,,Sota Mino,0,0,47.83,0.75,0,0
52,,Gjoko Zajkov,0,0,100,0.88,0,0
53,,Alexandru Chipciu,0.03,0.06,47.78,1.79,0,0
54,,Sebastian Mailat,0.44,0.06,51.4,2.11,0.03,0
55,,Alexandru Benga,0.05,0,66.67,0.34,0.03,0
56,,Félix Mathaus Lima Santos,0.08,0.04,66.67,0.4,0.04,0
57,,Alin Fica,0,0,69.23,0.86,0,0
58,,Mihai Popa,0,0,0,0,0,0
