#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Andrei Vlad,0,0,24.33,69.86,1,35.29
2,,Florin Tănase,0.5,0,46.5,73.12,15.5,55.56
3,,Omar Govea,0.2,0.1,53.7,87.52,15.3,76
4,,Ionut Andres,0,0,15.2,85.53,2.4,66.67
5,,Nicușor Bancu,0.54,0.15,50.62,78.27,14.08,51.25
6,,Aymar Kevin Meleke,0,0,8.5,64.71,2.5,100
7,,Ciprian Deac,0.45,0.35,30.19,77.14,10.84,60.32
8,,Denis Alibec,0.26,0.26,27.58,67.37,10.81,50
9,,Adrian Șut,0.03,0.06,43.5,79.89,7.41,62.26
10,,Alexandru Păun,0.2,0.2,14,82.86,4.6,80
11,,Gustavo Vagenin,0,0,7.5,60,1.5,0
12,,Júnior Pius,0,0,45.22,74.94,3,38.57
13,,Gabriel Tamaş,0,0,44.38,79.9,4.54,55.13
14,,Dragoș Albu,0.09,0.09,51.77,82.35,8.45,50.54
15,,Florinel Coman,0.43,0.26,21.31,74.13,7.63,65.91
16,,Bogdan Vătăjelu,0.16,0.08,43.44,75.69,10.28,54.22
17,,Igor Armaș,0,0,54.74,83.46,4.66,58.07
18,,Cristian Bălgrădean,0,0,27,49.38,2.33,42.25
19,,Yuri Matias,0.03,0,30.29,76.41,2.65,48.11
20,,Darius Olaru,0.51,0.19,47.46,74.6,14.35,64.55
21,,Răzvan Ducan,0,0,28.33,55.29,1.67,32.34
22,,Raul Opruț,0.09,0.06,45.74,73.7,7.32,33.33
23,,Cătălin Straton,0,0,32.04,53.84,1.96,37.96
24,,Karlo Muhar,0.03,0.03,38.25,78.76,8.56,64.79
25,,Cristian Manea,0.3,0.2,30.17,68.4,8.23,36.62
26,,Vito Hammershøj-Mistrati,0.2,0,5.6,85.71,1.6,33.33
27,,Karlo Letica,0,0,25.56,60.25,0.92,37.12
28,,André Duarte,0,0,50.1,81.32,2.95,41.67
29,,Dan Nistor,0.13,0.09,50,82.63,12.5,58.7
30,,Nana Boateng,0.13,0.03,46.53,77.97,11.59,52.86
31,,Tudor Băluță,0.25,0.16,41.09,75.06,7.75,58.57
32,,Marko Dugandžić,0.08,0.05,20.87,68.85,4.89,57.14
33,,Octavian Popescu,0.39,0.17,26.53,76.54,9.5,51.85
34,,Ionuț Larie,0,0,55.08,83.33,3.54,51.68
35,,Valentin Crețu,0.12,0.06,35.12,75.21,7.18,48.65
36,,Seniko Doua,0.06,0.13,33.25,71.43,6.44,40.74
37,,Andrea Compagno,0.03,0,19.94,70.8,4.56,81.82
38,,Gabriel Mutombo,0,0,36.29,83.07,2.21,38.18
39,,Ionuț Stoica,0,0.03,42.58,85.76,1.55,57.23
40,,Rangelo Janga,0.1,0.07,14.33,61.16,4.4,66.67
41,,Vadim Rață,0.26,0.06,45.2,81.86,12.49,57.3
42,,Louis Munteanu,0.24,0.17,22.59,67.48,7.07,47.06
43,,Marius Ștefănescu,0.2,0.2,24.73,69.95,6.93,36.76
44,,Andrei Artean,0.03,0.05,51.75,81.79,7.4,60.48
45,,Paul Iacob,0.12,0.06,42.29,84.98,2.47,46.36
46,,Mihai Popescu,0,0,49.47,77.63,3.43,46.03
47,,Lorenzo Paramatti,0.1,0,29.05,79,2.05,31.11
48,,Mihai Aioani,0,0,29.23,67.28,0.49,33.15
49,,Malcom Edjouma,0.17,0.1,29.41,75.62,6.52,55.91
50,,Rúnar Már  Sigurjónsson,0.33,0,35.67,82.48,8.92,54.35
51,,Sota Mino,0.03,0.06,49.61,82.75,6.11,52.38
52,,Gjoko Zajkov,0,0.06,57.69,89.17,3.5,65.56
53,,Alexandru Chipciu,0.12,0.06,39.88,67.63,10.56,32.48
54,,Sebastian Mailat,0.06,0.03,23.44,79.74,7.64,55.1
55,,Alexandru Benga,0,0,42.39,80.51,2.16,42.08
56,,Félix Mathaus Lima Santos,0,0.04,37.76,76.91,2.24,34.43
57,,Alin Fica,0.14,0,25,81.71,9.57,50
58,,Mihai Popa,0,0,25.46,67.83,1.22,48.52
59,,Laurenţiu Popescu,0,0,27.18,71,1.12,36.79
60,,Nicolae Păun,0.11,0.06,47.31,78.27,9.19,58.29
61,,Dragoș Nedelcu,0.1,0.03,41,80.49,4.76,55
62,,Mario Zebić,0.09,0,51,85.74,2.91,45.33
63,,Patricio Matricardi,0.03,0.03,44.4,81.66,1.37,44.65
64,,George Cîmpanu,0.16,0.1,18.87,77.61,6.48,60.47
65,,Gabriel Enache,0.38,0.13,37.13,81.14,9.5,43.48
66,,Brendon Estevam,0,0,38.88,72.99,2.13,36.21
67,,Doru Popadiuc,0.26,0.12,22.56,76.66,6.21,54.55
68,,Octavian Vâlceanu,0,0,24.81,60.93,0.92,40.48
69,,Marian Huja,0.1,0.1,43.45,80.44,4.45,42.14
70,,Ricardinho,0.07,0.07,44.97,77.68,8.31,42
71,,Andrei Ivan,0.09,0.11,20.66,72.2,7.51,51.11
72,,Alin Şeroni,0,0,28.12,74.4,1.56,34.55
73,,Constantin Grameni,0.18,0.1,35.46,77.44,8.69,53.57
74,,Vlad Achim,0.1,0.03,61.69,87.48,10.14,54.89
75,,Raúl Silva,0,0.04,58.74,88.45,5.96,55.81
76,,Andrei Burcă,0.04,0.04,34.18,72.2,4.07,45.61
77,,Bart Meijers,0,0.03,43.66,77.82,3.18,43.07
78,,Horațiu Moldovan,0,0,34.38,64.58,1.38,39.26
79,,Risto Radunović,0.19,0.13,46.87,75.09,9.52,39.11
80,,Adnan Aganović,0.21,0.21,38.42,81.47,9.76,62.62
81,,Vladimir Screciu,0.06,0,56.61,84,6.47,64.37
82,,Paul Papp,0,0.03,51.66,79.84,6.52,47.39
83,,Daniel Paraschiv,0.08,0.08,21.49,70.05,5.82,46.67
84,,Lukáš Droppa,0,0,40.14,86.48,5.5,57.38
85,,Mihai Butean,0.17,0.11,41.11,79.08,5.8,41.04
86,,Ismaël Diomandé,0,0,17.5,81.43,2.5,42.86
87,,Karlo Bručić,0,0,26.67,68.75,6.33,33.33
88,,Ion Gurau,0,0,23.8,54.83,0.8,34.57
89,,Ermal Krasniqi,0.11,0.11,20.83,67.73,7.94,33.33
90,,Mamadou Thiam,0.15,0.04,23.41,74.21,7.44,43.75
91,,Idriz Batha,0.06,0.06,45.68,76.82,7.47,47.49
92,,Constantin Budescu,0.29,0.35,17,70.93,5.71,60
93,,Juan Bauza,0.28,0.21,39.14,83.08,15.93,63.64
94,,Kyriakos Papadopoulos,0,0,43.44,83.89,4.56,31.71
95,,Denis Ciobotariu,0.04,0,41.96,82.98,3.82,47.52
96,,Samuel Asamoah,0.14,0.04,51.43,88.4,10.86,59.29
97,,Bogdan Rusu,0.09,0.04,21,57.97,5.35,45
98,,Ștefan Baiaram,0.19,0.11,17.78,74.79,6.78,50
99,,Adrian Petre,0,0,10.33,83.87,2,50
100,,Guilherme Garutti,0,0,40.27,75.02,3.24,45
101,,Victor Dican,0.13,0.13,47.71,77.44,5,43.82
102,,Júnior Morais,0.06,0.03,40.64,74.91,8.42,38.83
103,,Alexandru Albu,0.09,0.06,39.72,80.88,6.59,51.46
104,,Danny,0,0,50.69,80.39,3.44,36.07
105,,Ovidiu Hoban,0.09,0.05,6.55,65.97,1.82,33.33
106,,Denis Ispas,0.04,0,41.96,75.83,3.46,48.58
107,,Joonas Tamm,0,0,40.86,81.75,1.69,47.28
108,,Alexi Pitu,0.25,0.25,22.85,82.93,7.65,60
109,,Bogdan Mitrea,0,0.04,64.5,85.01,5.5,58.3
110,,Adam Nemec,0.11,0.08,22,64.99,5.16,43.33
111,,Florin Iacob,0.05,0.05,30.27,65.77,2,47.09
112,,Paul Anton,0.04,0.04,37.41,77.03,7.07,47.49
