#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Andrei Vlad,4.67,0.67,0,0,0.33,0
2,,Florin Tănase,0,0,0,0,1.5,0
3,,Omar Govea,0,0.1,0,0,0.5,0.3
4,,Ionut Andres,0,0,0,0,0,0.2
5,,Nicușor Bancu,0,0.23,0,0,0.77,0.31
6,,Aymar Kevin Meleke,0,0,0,0,0,1
7,,Ciprian Deac,0,0.03,0,0,0.77,0.06
8,,Denis Alibec,0,0.13,0,0,0.94,0
9,,Adrian Șut,0,0.22,0,0,0.94,0.13
10,,Alexandru Păun,0,0,0,0,0.6,0
11,,Gustavo Vagenin,0,0,0,0,0.5,0.5
12,,Júnior Pius,0,0.56,0,0,0.56,0
13,,Gabriel Tamaş,0,0.31,0,0,0.92,0.23
14,,Dragoș Albu,0,0.41,0,0,0.68,0.05
15,,Florinel Coman,0,0,0,0,1,0.09
16,,Bogdan Vătăjelu,0,0.32,0,0,0.76,0.16
17,,Igor Armaș,0,0.37,0,0,0.68,0.34
18,,Cristian Bălgrădean,2.67,0.67,0.33,0.33,1,0
19,,Yuri Matias,0,0.26,0,0,0.79,0.09
20,,Darius Olaru,0,0.14,0,0,0.92,0.14
21,,Răzvan Ducan,2.33,0.56,0.22,0.11,0.56,0
22,,Raul Opruț,0,0.35,0,0,0.82,0.12
23,,Cătălin Straton,3.67,0.33,0.29,0.04,1.04,0.04
24,,Karlo Muhar,0,0.19,0,0,0.81,0.09
25,,Cristian Manea,0,0.17,0,0,0.77,0.13
26,,Vito Hammershøj-Mistrati,0,0,0,0,0.6,0
27,,Karlo Letica,3.16,0.4,0.12,0.04,0.76,0.12
28,,André Duarte,0,0.31,0,0,0.9,0.13
29,,Dan Nistor,0,0.16,0,0,0.66,0.13
30,,Nana Boateng,0,0.22,0,0,0.81,0.13
31,,Tudor Băluță,0,0.16,0,0,0.72,0.09
32,,Marko Dugandžić,0,0.16,0,0,0.84,0.13
33,,Octavian Popescu,0,0.03,0,0,0.56,0.06
34,,Ionuț Larie,0,0.31,0,0,0.85,0.1
35,,Valentin Crețu,0,0.18,0,0,0.88,0.18
36,,Seniko Doua,0,0.19,0,0,0.88,0.13
37,,Andrea Compagno,0,0.06,0,0,0.97,0.18
38,,Gabriel Mutombo,0,0.29,0,0,0.86,0.07
39,,Ionuț Stoica,0,0.32,0,0,0.84,0.06
40,,Rangelo Janga,0,0,0,0,0.6,0.13
41,,Vadim Rață,0,0.2,0,0,0.8,0.29
42,,Louis Munteanu,0,0.03,0,0,0.69,0.07
43,,Marius Ștefănescu,0,0.1,0,0,0.9,0.17
44,,Andrei Artean,0,0.3,0,0,0.93,0.1
45,,Paul Iacob,0,0.29,0,0,0.59,0.06
46,,Mihai Popescu,0,0.33,0,0,0.67,0.1
47,,Lorenzo Paramatti,0,0.15,0,0,0.85,0.05
48,,Mihai Aioani,2.92,0.33,0.33,0.05,0.92,0.1
49,,Malcom Edjouma,0,0.03,0,0,0.59,0
50,,Rúnar Már  Sigurjónsson,0,0,0,0,0.92,0.5
51,,Sota Mino,0,0.33,0,0,0.64,0.11
52,,Gjoko Zajkov,0,0.19,0,0,1,0.06
53,,Alexandru Chipciu,0,0.38,0,0,0.82,0.12
54,,Sebastian Mailat,0,0.06,0,0,0.81,0.11
55,,Alexandru Benga,0,0.16,0,0,1.03,0.21
56,,Félix Mathaus Lima Santos,0,0.36,0,0,1.32,0.16
57,,Alin Fica,0,0,0,0,0.71,0.43
58,,Mihai Popa,3,0.35,0.11,0.03,0.78,0.35
59,,Laurenţiu Popescu,2.59,0.24,0.41,0.18,0.94,0.06
60,,Nicolae Păun,0,0.17,0,0,0.72,0.11
61,,Dragoș Nedelcu,0,0.1,0,0,0.66,0.03
62,,Mario Zebić,0,0.27,0,0,1,0.18
63,,Patricio Matricardi,0,0.31,0,0,0.69,0.34
64,,George Cîmpanu,0,0,0,0,0.39,0.1
65,,Gabriel Enache,0,0.13,0,0,0.63,0.25
66,,Brendon Estevam,0,0.13,0,0,1.13,0
67,,Doru Popadiuc,0,0.09,0,0,0.97,0.15
68,,Octavian Vâlceanu,2.81,0.38,0.15,0,1,0.12
69,,Marian Huja,0,0.35,0,0,0.9,0.2
70,,Ricardinho,0,0.28,0,0,0.79,0.24
