#,Team,Name
1,,Andrei Vlad
2,,Cristian Bălgrădean
3,,Răzvan Ducan
4,,Cătălin Straton
5,,Karlo Letica
6,,Mihai Aioani
7,,Mihai Popa
8,,Laurenţiu Popescu
9,,Octavian Vâlceanu
10,,Horațiu Moldovan
11,,Ion Gurau
12,,Florin Iacob
13,,Mirko Pigliacelli
14,,Virgil Drăghia
15,,Roland Niczuly
16,,Vlad Muțiu
17,,Cătălin Căbuz
18,,Andrei Gorcea
19,,Alexandru Greab
20,,Plamen Iliev
21,,Eduard Pap
22,,Giedrius Arlauskis
23,,Răzvan Began
24,,Andreas Leitner
25,,Iustin Popescu
26,,Simone Scuffet
27,,Dragoş Balauru
28,,Robert Popa
29,,David Lazar
30,,Ștefan Târnovanu
31,,George Micle
32,,Danilo Kucher
33,,Alexandru Buzbuchi
34,,Răzvan Sava
35,,Valentin Sima
36,,Laurențiu Brănescu
37,,Dinu Moldovan
38,,Sebastian Micu
39,,Raul Avram
40,,Flavius Croitoru
41,,Jesús Fernández
42,,Laurentiu Bucur
43,,Alexandru Uțiu
44,,Bogdan Ungureanu
