#,Team,Name,Appearances
1,,Malcom,27
2,,Quincy Promes,27
3,,Nikita Alekseev,1
4,,Maksim Kutovoi,1
5,,Guillermo Varela,1
6,,Artem Dzyuba,11
7,,Claudinho,24
8,,Douglas Santos,28
9,,Gabriel Florentín,20
10,,Eduard Spertsyan,28
11,,Maksim Osipenko,26
12,,Fedor Chalov,30
13,,Wendel,25
14,,Christian Noboa,26
15,,Jesús Medina,25
16,,Dejan Lovren,15
17,,Arsen Zakharyan,27
18,,Stanislav Agkatsev,3
19,,Daniil Utkin,27
20,,Konstantin Kuchaev,14
21,,Nikolay Komlichenko,26
22,,Evgeni Frolov,3
23,,Jorge Carrascal,26
24,,Daler Kuzyaev,26
25,,Willyan Rocha,22
26,,Kady Borges,7
27,,Jhon Córdoba,23
28,,Renato Gojković,24
29,,Nikolay Kalinskiy,21
30,,Nikola Moro,6
31,,Vladislav Torop,1
32,,Aleks Matsukatov,1
33,,Rizvan Tashaev,1
34,,Alexis Beka Beka,2
35,,Maksim Glushenkov,29
36,,Ilya Lantratov,27
37,,Wílmar Barrios,28
38,,Aleksandr Maksimenko,3
39,,Ivan Oblyakov,28
40,,Aleksandr Sobolev,26
41,,Junior Alonso,12
42,,Brian Mansilla,22
43,,Sergey Bozhin,21
44,,Rodrigão Prado,22
45,,Guilherme Marinato,3
46,,Bakhtiyar Zaynutdinov,21
47,,Egor Filipenko,13
48,,Fedor Smolov,24
49,,Lucas Vera,27
50,,Fernando Costanza,13
51,,Georgiy Harutyunyan,2
52,,Alexander Dovbnya,6
53,,Jimmy Marín,25
54,,Andrey Mostovoy,29
55,,Igor Diveev,20
56,,Artem Timofeev,26
57,,Germán Conti,3
58,,Nene Bi Junior Gbamble,5
59,,Darko Todorović,14
60,,Roman Akbashev,28
61,,Ivan Sergeev,26
62,,Damien Le Tallec,9
63,,Sergey Pinyaev,20
64,,Lazar Ranđelović,18
65,,Roman Zobnin,29
66,,Ruslan Litvinov,25
67,,Artem Karpukas,27
68,,Lucas Fasson,3
69,,Vladimir Pisarskiy,26
70,,Daniil Glebov,28
71,,Ivan Kuzmichev,20
72,,Dmitriy Barinov,27
73,,Vanja Drkušić,26
74,,Lechi Sadulaev,22
75,,Aleksey Evseev,1
76,,Nikita Krivtsov,20
77,,Cristian Ramírez,27
78,,Daniil Fomin,28
79,,Artur Yusupov,26
80,,Nikita Burmistrov,21
81,,Egor Baburin,20
82,,Danijel Miškić,27
83,,Kaio,20
84,,Mateo Cassierra,26
85,,Wilson Isidor,20
86,,Milson,16
87,,Georgi Gongadze,28
88,,Nikolay Zabolotnyi,5
89,,Aleksandr Chernikov,13
90,,Moisés,24
91,,Miloš Šatara,6
92,,Silvije Begić,15
93,,Anton Miranchuk,28
94,,Christopher Martins Pereira,18
95,,Aleksey Kashtanov,28
96,,Aslan Dashaev,6
97,,Anton Mitryushkin,9
98,,Sergey Pesyakov,30
99,,Olakunle Olusegun,24
100,,Joãozinho,23
101,,Dmitriy Vorobyev,22
102,,Matvey Safonov,27
103,,Roberto Fernández,19
104,,Kirill Kaplenko,20
105,,Sergey Borodin,10
106,,Matías Pérez,10
107,,Nikita Goylo,11
108,,Ivan Oleynikov,24
109,,Mihajlo Banjac,27
110,,Kirill Gotsuk,26
111,,Anton Zinkovskiy,28
112,,Saša Zdjelar,27
113,,Anton Shunin,24
114,,Benjamín Garré,13
115,,Keita Baldé,12
116,,Dzambolat Tsallagov,2
117,,Kirill Folmer,3
118,,Nail Umyarov,12
119,,Andrey Semenov,19
120,,Aleksey Ionov,27
121,,Robert Renan,9
122,,Aleksandr Selikhov,27
123,,Yuri Gorshkov,24
124,,Butta Magomedov,22
125,,Konstantin Tyukavin,28
126,,Gustavo Mantuan,22
127,,Glenn Bijl,28
128,,Bernard Berisha,20
129,,Ilya Stefanovich,12
130,,Vyacheslav Karavaev,24
131,,Igor Akinfeev,29
132,,Dmitri Skopintsev,29
133,,Ivan Bašić,15
134,,Daniil Denisov,29
135,,Sergey Parshivlyuk,19
136,,Danil Kapustyanskiy,6
137,,Aleksander Vasyutin,3
138,,Bruno Fuchs,4
139,,Dmitri Tikhiy,9
140,,Léo,12
141,,Dmitri Chistyakov,15
142,,Vladis-Emmerson Illoy-Ayyet,22
143,,Alexander Yushin,26
144,,Ilja Zhigulev,12
145,,Timur Suleymanov,27
146,,Danil Prutsev,27
147,,Georgiy Dzhikiya,22
148,,Nuraly Alip,8
149,,Anton Shvets,27
150,,Ibragim Tsallagov,18
151,,Arsen Adamov,9
152,,Egor Pogostnov,9
153,,Giorgi Shelia,29
154,,Daniil Zorin,2
155,,Vyacheslav Yakimov,17
156,,Nicolás Marichal,14
157,,Evgeniy Kharin,26
158,,Tomás Tavares,13
159,,Nair Tiknizyan,29
160,,Ivan Ignatiev,20
161,,João Batxi,14
162,,Ibrahima Cisse,17
163,,Aleksandar Ćirković,12
164,,Miroslav Bogosavac,25
165,,Aleksandr Kovalenko,23
166,,Artem Makarchuk,29
167,,Viktor Melekhin,24
168,,Denis Makarov,25
169,,Georgi Melkadze,24
170,,Mikhail Shchetinin,3
171,,Viktor Aleksandrov,17
172,,Mikhail Kerzhakov,24
173,,Anton Zabolotnyi,24
174,,Daniil Khlusevich,26
175,,Saba Sazonov,24
176,,Vitalii Botnar,4
177,,Aleksandr Silyanov,30
178,,Aleksandr Lomovitskiy,15
179,,Oleksandr Filin,11
180,,Kirill Shchetinin,30
181,,Aleksey Mironov,26
182,,Vyacheslav Podberezkin,13
183,,Mamadou Maiga,21
184,,Yuriy Zhuravlev,14
185,,Roman Evgenjev,29
186,,Mateo Barać,8
187,,Ivan Komarov,11
188,,Dmitri Poloz,25
189,,Eric Bicfalvi,26
190,,Amar Rahmanović,17
191,,Aleksandr Soldatenkov,25
192,,Milan Gajić,29
193,,Minkail Matsuev,1
194,,Sergey Bryzgalov,3
195,,Igor Leshchuk,6
196,,Milan Majstorović,9
197,,Yaroslav Mikhailov,21
198,,Nikita Chernov,24
199,,Danil Krugovoy,19
200,,Ilzat Akhmetov,27
201,,Tin Jedvaj,14
202,,Andrey Mendel,26
203,,Aleksey Sutormin,14
204,,Irakli Kvekveskiri,27
205,,Yaroslav Gladyshev,26
206,,Artem Sokolov,18
207,,Irakliy Chezhia,8
208,,Roman Ezhov,22
209,,Yuri Gazinskiy,14
210,,Luka Đorđević,13
211,,Kirill Ushatov,7
212,,Kirill Suslov,23
213,,Mingiyan Beveev,25
214,,Víctor Felipe Méndez,26
215,,Daniil Khudyakov,14
216,,Ilya Agapov,15
217,,Aleksandr Ektov,25
218,,Evgeni Morozov,25
219,,Dmitri Zhivoglyadov,16
220,,Timofey Margasov,26
221,,Aleksandr Erokhin,20
222,,Batraz Gurtsiev,8
223,,Victorien Angban,7
224,,Mohamed Konate,24
225,,Ilya Pomazun,29
226,,Khyzyr Appaev,28
227,,Kevin Pina,15
228,,Ivan Lomaev,22
229,,Nemanja Glavčić,17
230,,Igor Kalinin,15
231,,Sergey Petrov,19
232,,Ilya Bykovskiy,7
233,,Mario Ćurić,17
234,,Artem Mamin,9
235,,Maksim Vityugov,28
236,,Rai Vloet,15
237,,Stanislav Magkeev,19
238,,Ilnur Alshin,23
239,,Denis Yakuba,10
240,,Ivan Temnikov,4
241,,Cristian Tassano,6
242,,Igor Konovalov,6
243,,Bogdan Ovsyannikov,6
244,,Aleksandr Kutitskiy,22
245,,Vladislav Sarveli,26
