#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Malcom,0.85,0.26,57.33,3.89,0.04,0.37
2,,Quincy Promes,0.74,0.41,50,3.67,0.07,0
3,,Nikita Alekseev,0,0,0,0,0,0
4,,Maksim Kutovoi,1,0,0,1,0,0
5,,Guillermo Varela,0,0,100,0,0,0
6,,Artem Dzyuba,0.73,0.27,55.56,2.09,0.09,0
7,,Claudinho,0.21,0.08,49.21,2.29,0,0
8,,Douglas Santos,0,0,60,0.82,0,0
9,,Gabriel Florentín,0.1,0.1,72.09,1.65,0,0
10,,Eduard Spertsyan,0.36,0.07,55.26,2.46,0,0.45
11,,Maksim Osipenko,0.23,0.08,66.67,0.81,0,0
12,,Fedor Chalov,0.63,0.43,52.5,3.13,0.1,0
13,,Wendel,0.32,0.08,64.71,1.76,0,0
14,,Christian Noboa,0.42,0.15,70,1.81,0,0
15,,Jesús Medina,0.32,0.2,41.94,2.2,0.04,0
16,,Dejan Lovren,0.07,0.07,100,1.27,0,0
17,,Arsen Zakharyan,0.15,0,55.26,1.37,0,1.23
18,,Stanislav Agkatsev,0,0,0,0,0,0
19,,Daniil Utkin,0.11,0.07,72,1.93,0,0.41
20,,Konstantin Kuchaev,0.14,0.07,53.85,0.71,0.07,0
21,,Nikolay Komlichenko,0.38,0.15,62.5,1.58,0.12,0
22,,Evgeni Frolov,0,0,0,0,0,0
23,,Jorge Carrascal,0.23,0.12,58.49,2.27,0,0
24,,Daler Kuzyaev,0.19,0.12,61.54,1.08,0,0
25,,Willyan Rocha,0.14,0,77.78,0.95,0.09,0
26,,Kady Borges,0.43,0.14,42.86,1.57,0.14,0
27,,Jhon Córdoba,0.61,0.3,41.67,2.91,0.09,0
28,,Renato Gojković,0.04,0.08,100,0.79,0.04,0
29,,Nikolay Kalinskiy,0.19,0,66.67,1.71,0,0
30,,Nikola Moro,0,0.17,55.56,1.17,0,0
31,,Vladislav Torop,0,0,100,0,0,0
32,,Aleks Matsukatov,0,0,0,0,0,0
33,,Rizvan Tashaev,0,0,0,0,0,0
34,,Alexis Beka Beka,0,0,87.5,2,0,0
35,,Maksim Glushenkov,0.34,0.31,49.06,2.79,0,0
36,,Ilya Lantratov,0,0,0,0,0,0
37,,Wílmar Barrios,0.04,0,62.96,0.54,0,0
38,,Aleksandr Maksimenko,0,0,0,0,0,0
39,,Ivan Oblyakov,0.29,0.11,48.57,1.54,0,0
40,,Aleksandr Sobolev,0.5,0.35,31.25,3.27,0.15,0
41,,Junior Alonso,0.08,0,100,0.33,0.08,0
42,,Brian Mansilla,0.18,0.14,50,2.77,0.05,0
43,,Sergey Bozhin,0.1,0,50,0.43,0.1,0
44,,Rodrigão Prado,0.05,0,100,0.45,0,0
45,,Guilherme Marinato,0,0,0,0,0,0
46,,Bakhtiyar Zaynutdinov,0.05,0.14,80,0.86,0,0
47,,Egor Filipenko,0.08,0,100,0.46,0.08,0
48,,Fedor Smolov,0.42,0.17,45,2.5,0,0
49,,Lucas Vera,0.07,0.04,73.08,1.26,0,0
50,,Fernando Costanza,0.23,0,50,1.54,0.23,0
51,,Georgiy Harutyunyan,0,0,100,0,0,0
52,,Alexander Dovbnya,0,0,0,0,0,0
53,,Jimmy Marín,0.28,0.16,32.26,2.16,0.08,0
54,,Andrey Mostovoy,0.28,0.14,44.26,1.72,0,0
55,,Igor Diveev,0.1,0,62.5,0.8,0.1,0
56,,Artem Timofeev,0.31,0.04,64.29,1.62,0.12,0
57,,Germán Conti,0,0,0,0.33,0,0
58,,Nene Bi Junior Gbamble,0.2,0,60,1,0.2,0
59,,Darko Todorović,0.07,0,75,0.93,0,0
60,,Roman Akbashev,0.21,0.07,40,1.61,0.04,0
61,,Ivan Sergeev,0.38,0.15,33.33,1.42,0.08,0
62,,Damien Le Tallec,0,0,100,0,0,0
63,,Sergey Pinyaev,0.25,0.15,57.45,2.7,0,0
64,,Lazar Ranđelović,0.17,0.22,50,1.39,0,0
65,,Roman Zobnin,0.1,0.14,55.93,1.83,0,0
66,,Ruslan Litvinov,0.12,0.08,20,1.24,0.04,0
67,,Artem Karpukas,0.07,0.04,56.25,0.48,0,0
68,,Lucas Fasson,0,0.33,100,1.33,0,0
69,,Vladimir Pisarskiy,0.54,0.19,40.43,2.88,0.12,0
70,,Daniil Glebov,0.14,0,63.64,0.71,0,0
71,,Ivan Kuzmichev,0,0,83.33,0.2,0,0
72,,Dmitriy Barinov,0.07,0,50,0.78,0.04,0
73,,Vanja Drkušić,0.04,0.04,0,0.96,0.04,0
74,,Lechi Sadulaev,0.09,0,53.62,1.32,0,0
75,,Aleksey Evseev,0,0,0,1,0,0
76,,Nikita Krivtsov,0.3,0.15,70,1.35,0.1,0
77,,Cristian Ramírez,0.07,0.04,54.55,1.41,0,0
78,,Daniil Fomin,0.18,0.07,50,1.68,0,0
79,,Artur Yusupov,0.12,0.08,62.5,1.12,0,0
80,,Nikita Burmistrov,0,0.05,56.52,1.29,0,0
81,,Egor Baburin,0,0,0,0,0,0
82,,Danijel Miškić,0.11,0.04,78.57,1.81,0.07,0
83,,Kaio,0,0,66.67,0.25,0,0
84,,Mateo Cassierra,0.08,0.08,68.75,1.81,0.04,0
85,,Wilson Isidor,0.4,0.2,46.43,1.95,0.05,0
86,,Milson,0.13,0,59.38,0.94,0.06,0
87,,Georgi Gongadze,0.32,0.07,33.33,2,0.04,0
88,,Nikolay Zabolotnyi,0,0,0,0,0,0
89,,Aleksandr Chernikov,0,0,66.67,0.62,0,0
90,,Moisés,0,0,67.27,0.79,0,0
91,,Miloš Šatara,0,0,0,0.67,0,0
92,,Silvije Begić,0,0.07,100,0.67,0,0
93,,Anton Miranchuk,0.29,0.07,52.94,1.68,0,0
94,,Christopher Martins Pereira,0.11,0,57.14,1.56,0,0
95,,Aleksey Kashtanov,0.18,0.18,37.04,1.75,0,0
96,,Aslan Dashaev,0.33,0,50,0.5,0.17,0
97,,Anton Mitryushkin,0,0,0,0,0,0
98,,Sergey Pesyakov,0,0,0,0.03,0,0
99,,Olakunle Olusegun,0.21,0.08,61.04,1.38,0.04,0
