#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Malcom,0.67,0.19,0,0.56,0,0.3
2,,Quincy Promes,0.33,0.07,0,0.11,0,0.15
3,,Nikita Alekseev,1,0,1,1,0,0
4,,Maksim Kutovoi,0,0,0,0,0,0
5,,Guillermo Varela,2,1,0,9,0,0
6,,Artem Dzyuba,0.45,0,0.09,2.09,0,0.27
7,,Claudinho,1.67,1,0,0.29,0,0.75
8,,Douglas Santos,2.21,1.36,0,0.93,0,0.57
9,,Gabriel Florentín,1.75,0.75,0.05,0.45,0,0.65
10,,Eduard Spertsyan,1.07,0.46,0.04,0.57,0,0.71
11,,Maksim Osipenko,1.5,2.46,0,4.85,0,0.12
12,,Fedor Chalov,0.73,0.17,0,0.4,0,0.5
13,,Wendel,1.32,0.84,0,0.4,0.04,0.68
14,,Christian Noboa,1.46,0.96,0,0.85,0,0.69
15,,Jesús Medina,1.08,0.44,0.04,0.44,0,0.76
16,,Dejan Lovren,0.87,1.33,0,2.87,0,0.13
17,,Arsen Zakharyan,1.41,0.7,0,0.7,0,0.7
18,,Stanislav Agkatsev,0,0,0,0,0,0.33
19,,Daniil Utkin,1.19,0.78,0,0.81,0.04,0.41
20,,Konstantin Kuchaev,1.29,1.36,0,0.71,0,0.5
21,,Nikolay Komlichenko,0.5,0.15,0,0.85,0,0.08
22,,Evgeni Frolov,0,0,0,1,0,0.33
23,,Jorge Carrascal,1.08,0.35,0,0.04,0,0.62
24,,Daler Kuzyaev,2.04,1.08,0,0.35,0,0.38
25,,Willyan Rocha,2.14,1.77,0,4.27,0,0.68
26,,Kady Borges,1.14,0.43,0,0.29,0,0.57
27,,Jhon Córdoba,0.26,0.17,0,0.65,0,0.04
28,,Renato Gojković,1.83,2.21,0,4.67,0,0.17
29,,Nikolay Kalinskiy,0.62,1,0,0.38,0,0.71
30,,Nikola Moro,1.33,1.83,0,1.5,0,0.5
31,,Vladislav Torop,0,0,0,0,0,0
32,,Aleks Matsukatov,2,0,0,0,0,0
33,,Rizvan Tashaev,0,0,0,0,0,0
34,,Alexis Beka Beka,4,1,0,0,0,0
35,,Maksim Glushenkov,0.66,0.31,0,0.55,0,0.31
36,,Ilya Lantratov,0,0.04,0,0.85,0.04,0.07
37,,Wílmar Barrios,2.21,1.57,0,1.07,0,0.46
38,,Aleksandr Maksimenko,0,0,0,1.67,0,0
39,,Ivan Oblyakov,0.89,0.43,0.04,0.86,0,0.5
40,,Aleksandr Sobolev,0.38,0.19,0,0.62,0,0.04
41,,Junior Alonso,1.42,1.25,0,4.33,0,0.42
42,,Brian Mansilla,1.59,0.77,0,0.36,0,0.64
43,,Sergey Bozhin,1.33,2.48,0,5.57,0.05,0.33
44,,Rodrigão Prado,1.45,0.91,0.05,1.95,0,0.32
45,,Guilherme Marinato,0,0,0,0.33,0,0
46,,Bakhtiyar Zaynutdinov,1.62,1.71,0.05,2.67,0,0.19
47,,Egor Filipenko,1.62,2,0.15,4.15,0,0.31
48,,Fedor Smolov,0.75,0.08,0,0.75,0,0.25
49,,Lucas Vera,1.04,0.59,0,0.26,0,0.56
50,,Fernando Costanza,2.54,1.08,0.08,1.77,0,0.54
51,,Georgiy Harutyunyan,2,0.5,0,2,0,0
52,,Alexander Dovbnya,0.17,0,0,0.5,0.17,0
53,,Jimmy Marín,0.48,0.08,0,0.08,0,0.24
54,,Andrey Mostovoy,0.45,0.45,0,0.1,0,0.38
55,,Igor Diveev,0.75,1,0,3.4,0,0.35
56,,Artem Timofeev,2.12,1.73,0,1.15,0,1.62
57,,Germán Conti,1.33,2,0,6,0,1
58,,Nene Bi Junior Gbamble,1.8,0.4,0,0,0,0.2
59,,Darko Todorović,1.79,2,0,1.79,0,0.93
60,,Roman Akbashev,0.96,0.71,0,0.39,0,0.75
61,,Ivan Sergeev,0.19,0,0,0.08,0,0.15
62,,Damien Le Tallec,1.33,2.89,0,3.33,0,0.22
63,,Sergey Pinyaev,0.85,0.5,0,0.15,0,0.25
64,,Lazar Ranđelović,0.39,0.44,0,0,0,0.72
65,,Roman Zobnin,1.48,1.24,0,1.21,0,0.69
66,,Ruslan Litvinov,1.44,1.24,0,1.76,0,0.4
67,,Artem Karpukas,3.93,1.44,0,1.19,0.04,1.52
68,,Lucas Fasson,1,0.33,0,1.33,0,0
69,,Vladimir Pisarskiy,0.35,0.08,0,0.81,0,0.19
70,,Daniil Glebov,1.46,1.75,0,1.96,0,0.39
71,,Ivan Kuzmichev,1.25,1.8,0,3.4,0,0.1
72,,Dmitriy Barinov,1.56,1.63,0.07,2.04,0,0.52
73,,Vanja Drkušić,1.19,1.85,0,3.96,0,0.19
74,,Lechi Sadulaev,1.32,0.95,0,0.5,0,0.64
75,,Aleksey Evseev,1,0,0,0,0,0
76,,Nikita Krivtsov,1.05,1.05,0.05,0.5,0,1.4
77,,Cristian Ramírez,1.7,1.22,0.07,1.96,0,0.37
78,,Daniil Fomin,1.93,1.21,0,0.82,0,0.46
79,,Artur Yusupov,1.27,0.65,0,0.46,0.04,0.88
80,,Nikita Burmistrov,0.95,0.67,0,0.24,0,0.24
81,,Egor Baburin,0,0,0.05,0.8,0,0.05
82,,Danijel Miškić,1.07,1.11,0,1.04,0.04,0.78
83,,Kaio,1.45,1.45,0.1,3.5,0,0.15
