#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Malcom,0.04,0,32.35,50.18,2.11,0.67
2,,Quincy Promes,0.22,0,40,43.11,0.74,0.3
3,,Nikita Alekseev,0,0,0,50,0,1
4,,Maksim Kutovoi,0,0,100,100,0,0
5,,Guillermo Varela,0,0,50,63.64,2,0
6,,Artem Dzyuba,0.18,0,53.25,44.7,0.73,0.91
7,,Claudinho,0.13,0,43.75,52.8,1.46,1
8,,Douglas Santos,0.07,0,56.52,62.56,0.68,0.5
9,,Gabriel Florentín,0.2,0,63.64,57.46,1.2,1.05
10,,Eduard Spertsyan,0.21,0,52.17,51.95,1.75,1.18
11,,Maksim Osipenko,0.08,0,71.09,72.6,0.65,0.46
12,,Fedor Chalov,0.07,0,32.38,39.7,0.97,0.63
13,,Wendel,0.12,0,25,56.12,1.68,0.6
14,,Christian Noboa,0.19,0,58.33,53.06,0.92,0.81
15,,Jesús Medina,0.08,0,26.32,40.86,0.72,0.64
16,,Dejan Lovren,0.07,0,73.91,68.29,0.53,0.6
17,,Arsen Zakharyan,0.19,0.04,26.53,45.22,1.22,1.07
18,,Stanislav Agkatsev,0,0,0,50,0.33,0
19,,Daniil Utkin,0.15,0,58.62,62.68,1.74,0.48
20,,Konstantin Kuchaev,0.14,0,43.75,51.85,0.71,0.71
21,,Nikolay Komlichenko,0.15,0,51.63,50.64,2.38,2
22,,Evgeni Frolov,0.33,0,0,0,0,0
23,,Jorge Carrascal,0.23,0,43.75,52.75,1.54,0.81
24,,Daler Kuzyaev,0.12,0,48.72,59.24,0.81,0.65
25,,Willyan Rocha,0.14,0.05,71.76,68.02,0.91,0.91
26,,Kady Borges,0.14,0,36.36,43.1,1,1.57
27,,Jhon Córdoba,0.3,0,45.68,43.58,2.35,1.57
28,,Renato Gojković,0.21,0,71.07,71.15,0.54,0.79
29,,Nikolay Kalinskiy,0.14,0,38.46,44.87,0.48,0.38
30,,Nikola Moro,0,0.17,57.14,55,0.83,0.5
31,,Vladislav Torop,0,0,0,100,0,0
32,,Aleks Matsukatov,0,0,0,100,0,0
33,,Rizvan Tashaev,0,0,0,0,0,0
34,,Alexis Beka Beka,0.5,0.5,0,68.18,0,2
35,,Maksim Glushenkov,0.21,0,33.33,41.75,1.14,0.97
36,,Ilya Lantratov,0.04,0,50,62.5,0.15,0
37,,Wílmar Barrios,0.11,0,51.52,66.34,1.43,0.61
38,,Aleksandr Maksimenko,0.33,0,0,100,0,0
39,,Ivan Oblyakov,0.07,0.04,46.88,46.63,0.93,0.96
40,,Aleksandr Sobolev,0.35,0.04,63.16,45.68,1.65,1.73
41,,Junior Alonso,0,0,66.67,64.71,0.17,0.67
42,,Brian Mansilla,0.23,0.05,34.29,42.33,0.91,1.55
43,,Sergey Bozhin,0.24,0,65,67.79,0.9,0.57
44,,Rodrigão Prado,0.14,0,63.16,63.85,0.41,0.55
45,,Guilherme Marinato,0,0,0,100,0.67,0
46,,Bakhtiyar Zaynutdinov,0.14,0,79.45,69.44,1,1.19
47,,Egor Filipenko,0.15,0,63.64,66.32,0.46,0.69
48,,Fedor Smolov,0.13,0,35.38,42.03,0.79,1.13
49,,Lucas Vera,0.11,0,22.22,53.61,0.7,0.41
50,,Fernando Costanza,0.15,0,50,61.24,2.08,0.77
51,,Georgiy Harutyunyan,0.5,0,62.5,62.5,0,1.5
52,,Alexander Dovbnya,0,0,0,100,0.33,0
53,,Jimmy Marín,0.04,0,30,37.96,0.64,0.36
54,,Andrey Mostovoy,0,0,42.86,50.84,1.45,0.45
55,,Igor Diveev,0.05,0,68.6,63.7,0.35,0.6
56,,Artem Timofeev,0.19,0.04,51.72,53.92,0.92,0.5
57,,Germán Conti,0,0,61.9,60,0.33,0.33
58,,Nene Bi Junior Gbamble,0,0,0,52.17,0.6,1.2
59,,Darko Todorović,0.29,0,63.64,58.33,0.29,0.5
60,,Roman Akbashev,0.25,0,46.51,41.62,0.57,1
61,,Ivan Sergeev,0,0,44.44,39.44,0.23,0.19
62,,Damien Le Tallec,0.22,0,50,56,0.22,0.67
63,,Sergey Pinyaev,0.1,0,53.33,50.82,0.5,0.3
64,,Lazar Ranđelović,0.17,0,17.39,26.88,0.56,0.61
65,,Roman Zobnin,0.1,0,40.91,51.2,1.9,0.9
66,,Ruslan Litvinov,0.2,0.04,49.18,47.62,0.56,1.32
67,,Artem Karpukas,0.19,0,52,60,1.44,0.89
68,,Lucas Fasson,0,0,72.73,68.42,0.33,1
69,,Vladimir Pisarskiy,0.12,0.04,32.74,35.23,1.58,1.31
70,,Daniil Glebov,0.14,0.04,35.09,56.71,0.93,0.39
71,,Ivan Kuzmichev,0.1,0,69.23,66.87,0.35,0.8
72,,Dmitriy Barinov,0.3,0.04,59.57,57.06,0.74,1.07
73,,Vanja Drkušić,0.19,0.04,73.2,68.78,0.77,1.08
74,,Lechi Sadulaev,0.18,0.05,50.91,50.19,1.59,1.18
75,,Aleksey Evseev,0,0,0,100,0,0
76,,Nikita Krivtsov,0.25,0,44.44,45.22,0.85,0.95
77,,Cristian Ramírez,0.15,0.04,64.29,59.59,0.89,0.96
78,,Daniil Fomin,0.18,0,54.1,49.53,0.46,1.57
79,,Artur Yusupov,0.15,0,44.12,38.6,0.12,1.12
80,,Nikita Burmistrov,0.05,0,47.22,44.53,0.33,0.67
81,,Egor Baburin,0.1,0,71.43,69.23,0.2,0.05
82,,Danijel Miškić,0.3,0,58.82,48.84,0.52,1.15
83,,Kaio,0.2,0.05,80.3,72.99,0.6,0.6
84,,Mateo Cassierra,0,0,47.95,48.48,0.5,0.35
85,,Wilson Isidor,0.1,0,33.33,45.26,1.5,0.8
86,,Milson,0.25,0,0,50.33,2.94,1.13
87,,Georgi Gongadze,0.14,0,37,45.74,1.21,0.57
88,,Nikolay Zabolotnyi,0,0,100,100,0.2,0
89,,Aleksandr Chernikov,0.08,0.08,68.42,64.38,0.85,0.69
90,,Moisés,0.21,0,51.02,57.14,0.79,0.75
91,,Miloš Šatara,0,0,67.57,61.4,0.67,0.67
92,,Silvije Begić,0.07,0,53.85,59.14,0.13,0.27
93,,Anton Miranchuk,0.18,0,41.67,45.54,0.93,0.75
94,,Christopher Martins Pereira,0.06,0.06,68.42,57.14,1.22,1.06
95,,Aleksey Kashtanov,0.14,0,49.69,45.39,1.21,1.18
96,,Aslan Dashaev,0,0,64.71,55.88,0,0.83
97,,Anton Mitryushkin,0,0,100,100,0.11,0
98,,Sergey Pesyakov,0.1,0,100,71.43,0.03,0.03
99,,Olakunle Olusegun,0.08,0,50,47.37,0.54,1.08
100,,Joãozinho,0.04,0,24.14,38.37,0.43,0.17
101,,Dmitriy Vorobyev,0.18,0,38.64,30.73,0.68,1.05
102,,Matvey Safonov,0.07,0,100,83.33,0.22,0.04
103,,Roberto Fernández,0.21,0.11,61.45,56.74,0.16,1.05
104,,Kirill Kaplenko,0.1,0,65.38,63.21,0.3,0.5
105,,Sergey Borodin,0.2,0,68.57,59.32,0.3,1.2
106,,Matías Pérez,0.4,0,62.5,56.41,0.7,1.4
107,,Nikita Goylo,0,0,100,66.67,0,0
108,,Ivan Oleynikov,0.08,0,28,47.06,1.17,0.71
