#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Malcom,0.22,0.26,42.11,83.55,19.89,83.33
2,,Quincy Promes,0.48,0.26,38.78,83.29,18.85,64.29
3,,Nikita Alekseev,0,0,22,81.82,0,72.73
4,,Maksim Kutovoi,0,0,2,0,0,0
5,,Guillermo Varela,0,0,28,75,5,66.67
6,,Artem Dzyuba,0.45,0.45,23.64,54.62,6.27,40
7,,Claudinho,0.21,0.38,53.21,86.22,20.63,72.58
8,,Douglas Santos,0.11,0.11,70.68,85.5,21.61,51.53
9,,Gabriel Florentín,0.15,0.2,49.7,83.6,16.05,72.22
10,,Eduard Spertsyan,0.29,0.39,44.39,85.04,13.64,59.26
11,,Maksim Osipenko,0.12,0.08,64.19,78.67,6.92,49.73
12,,Fedor Chalov,0.27,0.17,24.03,73.93,7.27,54.84
13,,Wendel,0.2,0.12,65.6,91.71,23.36,74.68
14,,Christian Noboa,0.15,0.08,56,76.1,15.73,61.67
15,,Jesús Medina,0.16,0.28,30.12,76.63,10,62.34
16,,Dejan Lovren,0.07,0.07,61.27,87.16,6.4,59.57
17,,Arsen Zakharyan,0.19,0.26,40.33,77.69,12.48,60.75
18,,Stanislav Agkatsev,0,0,43.67,61.07,1,39.76
19,,Daniil Utkin,0.26,0.22,42.07,77.55,8.19,52.21
20,,Konstantin Kuchaev,0.5,0.29,26.29,81.79,6.57,61.76
21,,Nikolay Komlichenko,0.19,0.23,18.85,67.35,5.19,59.09
22,,Evgeni Frolov,0,0,21,68.25,1,47.37
23,,Jorge Carrascal,0.23,0.08,27.23,73.16,10.19,61.29
24,,Daler Kuzyaev,0.12,0.15,44.04,86.9,13.35,68.25
25,,Willyan Rocha,0,0,40.59,73.46,4.86,48.48
26,,Kady Borges,0.14,0.14,32.43,80.18,13.14,72.73
27,,Jhon Córdoba,0.22,0.22,15.39,78.25,4.65,69.23
28,,Renato Gojković,0.08,0.08,38.13,78.36,1.88,45.28
29,,Nikolay Kalinskiy,0.24,0.19,29.62,77.81,7.57,40.43
30,,Nikola Moro,0.17,0.33,43.83,80.61,6.83,69.09
31,,Vladislav Torop,0,0,22,63.64,0,27.27
32,,Aleks Matsukatov,0,0,9,100,5,100
33,,Rizvan Tashaev,0,0,20,60,3,55.56
34,,Alexis Beka Beka,0,0,28.5,82.46,7.5,33.33
35,,Maksim Glushenkov,0.34,0.31,22.86,73.76,7.66,54.9
36,,Ilya Lantratov,0.04,0,32.7,59.91,2.26,40.52
37,,Wílmar Barrios,0.07,0.07,60.89,85.4,13.11,55.56
38,,Aleksandr Maksimenko,0,0,25.33,73.68,0.33,40.63
39,,Ivan Oblyakov,0.29,0.14,28.82,72.37,8.43,52.94
40,,Aleksandr Sobolev,0.23,0.23,24.12,66.35,6.58,55
41,,Junior Alonso,0,0,75.67,86.12,11.58,58.87
42,,Brian Mansilla,0.36,0.23,17,74.33,5.55,64.71
43,,Sergey Bozhin,0,0.05,31.67,71.28,2.52,42.78
44,,Rodrigão Prado,0,0,62.18,83.85,6.95,44
45,,Guilherme Marinato,0,0,37,61.26,0.33,41.67
46,,Bakhtiyar Zaynutdinov,0.1,0.1,39.71,79.74,5.95,40
47,,Egor Filipenko,0.08,0.08,41.15,82.43,2.92,52.38
48,,Fedor Smolov,0.08,0.08,25.33,72.37,8.21,63.16
49,,Lucas Vera,0.37,0.26,45.52,80.39,13.78,56.83
50,,Fernando Costanza,0,0,31,78.41,7.08,56.36
51,,Georgiy Harutyunyan,0,0,78.5,89.17,1,57.14
52,,Alexander Dovbnya,0,0,23.5,42.55,0.83,34.19
53,,Jimmy Marín,0.12,0.12,13.2,82.12,5.88,81.82
54,,Andrey Mostovoy,0.14,0.17,26.03,84.5,12.9,81.58
55,,Igor Diveev,0.1,0.05,41.65,77.91,3.55,55.95
56,,Artem Timofeev,0.04,0.04,30.88,71.61,7.38,35.79
57,,Germán Conti,0,0,36,73.15,1.33,11.76
58,,Nene Bi Junior Gbamble,0.2,0,13,73.85,5.6,66.67
59,,Darko Todorović,0.21,0.29,24.36,68.62,4.71,20
60,,Roman Akbashev,0.11,0.14,21.71,73.85,6.5,45.59
61,,Ivan Sergeev,0.15,0.15,9.46,68.29,3.08,66.67
62,,Damien Le Tallec,0,0,26.22,70.76,2.89,39.02
63,,Sergey Pinyaev,0.05,0.05,19.6,70.66,6.3,54.05
64,,Lazar Ranđelović,0.33,0.22,18.94,68.91,6.22,41.38
65,,Roman Zobnin,0.07,0.03,40.62,82.85,13.66,65.82
66,,Ruslan Litvinov,0.04,0.04,59.44,85.4,10.64,63.52
67,,Artem Karpukas,0.04,0.04,43.93,81.2,7.56,37.1
68,,Lucas Fasson,0,0,44.33,88.72,9.33,75
69,,Vladimir Pisarskiy,0.15,0.08,13.54,71.02,4.12,60
70,,Daniil Glebov,0.04,0.11,45.11,80.84,6.68,51.24
71,,Ivan Kuzmichev,0,0,43.5,82.41,2.1,47.33
72,,Dmitriy Barinov,0.22,0.15,47.74,81.77,7.04,49.67
73,,Vanja Drkušić,0.04,0.04,45.62,78.33,2.19,52.55
74,,Lechi Sadulaev,0.14,0.14,14.64,67.08,4.82,34.62
75,,Aleksey Evseev,0,0,8,87.5,3,100
