#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Malcom,0,0.22,0,0,0.52,0.07
2,,Quincy Promes,0,0.19,0,0,0.96,0.26
3,,Nikita Alekseev,2,1,1,1,0,0
4,,Maksim Kutovoi,0,0,0,0,0,0
5,,Guillermo Varela,0,0,0,0,1,0
6,,Artem Dzyuba,0,0,0,0,0.82,0.09
7,,Claudinho,0,0.08,0,0,0.58,0.08
8,,Douglas Santos,0,0.46,0,0,0.57,0.11
9,,Gabriel Florentín,0,0,0,0,1.3,0.25
10,,Eduard Spertsyan,0,0.25,0,0,1.29,0.14
11,,Maksim Osipenko,0,0.19,0,0,1.31,0.08
12,,Fedor Chalov,0,0.07,0,0,0.63,0.13
13,,Wendel,0,0.2,0,0,0.48,0.08
14,,Christian Noboa,0,0.12,0,0,1.42,0.38
15,,Jesús Medina,0,0.2,0,0,0.56,0.2
16,,Dejan Lovren,0,0.6,0,0,0.4,0
17,,Arsen Zakharyan,0,0.15,0,0,1.15,0
18,,Stanislav Agkatsev,3,0.67,0.33,0.33,1,0
19,,Daniil Utkin,0,0.15,0,0,1.22,0.07
20,,Konstantin Kuchaev,0,0.07,0,0,0.36,0.07
21,,Nikolay Komlichenko,0,0.04,0,0,1,0.12
22,,Evgeni Frolov,3,0.33,0.33,0.33,0.67,0
23,,Jorge Carrascal,0,0.04,0,0,0.69,0.15
24,,Daler Kuzyaev,0,0.19,0,0,0.42,0.08
25,,Willyan Rocha,0,0.23,0,0,0.77,0.09
26,,Kady Borges,0,0,0,0,0.86,0
27,,Jhon Córdoba,0,0.04,0,0,1.26,0.22
28,,Renato Gojković,0,0.21,0,0,1.38,0.17
29,,Nikolay Kalinskiy,0,0.1,0,0,1.05,0.1
30,,Nikola Moro,0,0.33,0,0,0.67,0
31,,Vladislav Torop,1,1,0,0,0,0
32,,Aleks Matsukatov,0,0,0,0,0,0
33,,Rizvan Tashaev,5,0,0,0,1,0
34,,Alexis Beka Beka,0,0,0,0,1,0
35,,Maksim Glushenkov,0,0,0,0,0.86,0.03
36,,Ilya Lantratov,4.22,0.26,0.3,0.07,1.33,0.04
