#,Team,Name
1,,Nikita Alekseev
2,,Stanislav Agkatsev
3,,Evgeni Frolov
4,,Vladislav Torop
5,,Rizvan Tashaev
6,,Ilya Lantratov
7,,Aleksandr Maksimenko
8,,Guilherme Marinato
9,,Alexander Dovbnya
10,,Egor Baburin
11,,Nikolay Zabolotnyi
12,,Anton Mitryushkin
13,,Sergey Pesyakov
14,,Matvey Safonov
15,,Nikita Goylo
16,,Anton Shunin
17,,Aleksandr Selikhov
18,,Igor Akinfeev
19,,Aleksander Vasyutin
20,,Giorgi Shelia
21,,Mikhail Kerzhakov
22,,Vitalii Botnar
23,,Igor Leshchuk
24,,Daniil Khudyakov
25,,Ilya Pomazun
26,,Ivan Lomaev
27,,Bogdan Ovsyannikov
28,,Denis Adamov
29,,Evgeny Goshev
30,,Artur Nigmatullin
31,,Nikolay Sysuev
32,,Ilya Svinov
33,,Daniil Odoevski
34,,Alexey Keniaykin
35,,Vitaliy Gudiev
36,,Aleksey Gorodovoy
37,,Soslan Dzhanaev
38,,Mikhail Oparin
