#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Guélor Kanga,0.33,0,80,2.1,0,0
2,,Milan Pavkov,1.25,0.25,0,2.75,0.5,0
3,,Mihajlo Banjac,1,0,50,1,0,100
4,,Bibars Natcho,0.33,0.11,53.85,1.61,0,0
5,,Aleksandar Katai,0.49,0.46,50,4.43,0.03,0.41
6,,Luka Ilić,0.24,0.12,63.79,1.96,0,0
7,,Darko Stanojević,0,0,0,0.2,0,0
8,,Milan Bojović,0.58,0.26,50,3.63,0.05,0
9,,Saša Zdjelar,0,0,100,0.67,0,0
10,,Vukašin Đurđević,1,0,0,1,0,0
11,,Mirko Ivanić,0.28,0.41,54.55,2.79,0.03,0
12,,Marko Docić,0.35,0.06,75,1.42,0,0.4
13,,El Fardou Ben,0.18,0.18,30,1.09,0,0
14,,Kings Kangwa,0.25,0.06,61.54,1.59,0.03,0
15,,Luka Stojanović,0.56,0,33.33,1.22,0.22,0
16,,Saša Stamenković,0,0,0,0,0,0
17,,Osman Bukari,0.41,0.1,55.2,1.93,0,0
18,,Strahinja Manojlović,0,0,0,0,0,0
19,,Edin Rustemović,0.05,0,58.54,0.86,0,0
20,,Martin Mirčevski,0.39,0.11,66.67,1.67,0,0
21,,Kristijan Belić,0.05,0,62.16,0.68,0,0
22,,Nenad Filipović,0,0,0,0,0,0
23,,Andrija Katić,0,0,0,0,0,0
24,,Marko Živković,0.05,0,50,0.42,0.05,0
25,,Nikola Petrić,0,0,0,0,0,0
26,,Petar Ratkov,0.36,0.14,46.67,2.11,0.06,0.93
27,,Saša Jovanović,0.29,0.15,33.33,1.79,0.03,0
28,,Kalifa Coulibaly,0.25,0,0,1,0,0
29,,Sadick Abubakar,0.05,0.11,80,0.47,0,0
30,,Miloš Cvetković,0.06,0,53.85,0.72,0,0
31,,Nikola Čumić,0.45,0.24,50.96,2.21,0.07,0.86
32,,Ohi Omoijuanfo,0.5,0,0,2.5,0,0
33,,Ifet Đakovac,0.29,0.06,62.5,2.09,0,0
34,,Nemanja Stojić,0.03,0.11,68,0.92,0.03,0
35,,Marko Gobeljić,0.13,0.07,58.33,0.8,0,0
36,,Aleksandar Pešić,0.39,0.43,47.22,2.71,0.18,0
37,,Milan Rodić,0.04,0,58.33,0.62,0.04,0
38,,Milan Borjan,0,0,100,0,0,0
39,,Aleksandar Pejović,0.12,0.06,56.52,1.64,0,0
40,,Saša Marjanović,0.14,0,61.54,1.52,0.07,0
41,,Nikola Štulić,0.53,0.26,44.44,2.11,0.05,0
42,,Zoran Popović,0,0,0,0,0,0
43,,Aleksandar Filipović,0.1,0,35.71,1.05,0.05,0
44,,Alex Vigo,0.15,0,33.33,0.62,0,0
45,,Strahinja Eraković,0,0.03,69.57,0.7,0,0
46,,Nemanja Petrović,0.13,0.03,52.5,0.78,0.03,0
47,,Vladimir Savić,0,0,0,0,0,0
48,,Lazar Carević,0,0,0,0,0,0
49,,Milutin Vidosavljević,0.24,0.03,52.78,1.45,0,0
50,,Nemanja Tošić,0.1,0.03,15.38,0.61,0,1.61
51,,Ricardo Gomes,0.54,0.49,32.08,3,0.11,0
52,,Miloš Filipović,0.08,0.04,41.67,1.81,0,0
53,,Aleksandar Dragović,0,0.06,0,0.31,0,0
54,,Uroš Spajić,0.33,0,0,0.67,0,0
55,,Filip Dujmović,0,0,0,0,0,0
56,,Igor Vujačić,0.06,0,85.71,0.73,0.03,0
57,,Srđan Mijailović,0,0.03,53.85,1,0,0
58,,Slobodan Rubežić,0.06,0.06,65.38,0.77,0.06,0
59,,Nemanja Krstić,0.09,0,24,0.71,0,0.29
60,,Mirko Topić,0,0,68.75,0.77,0,0
61,,Viktor Rogan,0.05,0,57.14,0.55,0.05,0
62,,Radomir Milosavljević,0.08,0,66.67,0.42,0,0
63,,Miloš Krunić,0,0,0,0,0,0
64,,Aleksandar Lutovac,0.1,0.1,83.33,0.9,0,0
65,,Slobodan Urošević,0.11,0.09,48.89,1.6,0.03,0.71
66,,Stefan Đorđević,0,0,60,0.42,0,0
67,,Marko Rakonjac,0.31,0.46,55.56,2,0.15,0
68,,Nemanja Milunović,0,0.05,60,0.75,0,0
69,,Yves Baraye,0.15,0.06,53.85,1.38,0.03,0.59
70,,Danilo Pantić,0.06,0,68.42,0.67,0,2.78
71,,Nemanja Belić,0,0,100,0,0,0
72,,Luka Gojković,0.18,0.09,52.53,1.32,0.03,0
73,,Goran Antonić,0.07,0,100,0.26,0.04,0
74,,Muhammed Badammosi,0.31,0.33,42.11,2.22,0.11,0
75,,Marko Obradović,0.12,0.06,28.57,1.29,0.12,0
76,,Marko Bugarin,0,0,100,0.25,0,0
77,,Nemanja Tomić,0.16,0.04,54.17,0.84,0,1.33
78,,Dejan Kerkez,0.03,0.03,100,0.48,0.03,0
79,,Radovan Pankov,0.06,0,50,0.06,0.06,0
80,,Vladimir Lučić,0.1,0.13,51.92,1.23,0.03,0
81,,Josip Ćalušić,0.06,0.06,66.67,0.45,0.03,0
82,,Marko Mirić,0.12,0.15,40.91,1.76,0.06,0
83,,Jovan Mijatović,0.08,0,62.5,1,0,0
84,,Uroš Nikolić,0.33,0.17,52.78,1.67,0,0.6
85,,Siniša Babić,0,0,66.67,0.36,0,0
86,,Filip Damjanović,0,0.06,93.33,0.43,0,0
87,,Veljko Ilić,0,0,0,0,0,0
88,,Miloš Mijić,0.16,0.09,53.13,1.31,0,0
89,,Miloš Spasić,0.26,0.16,48.65,2.74,0,0
90,,Dušan Cvetinović,0,0.04,83.33,0.29,0,0
91,,Stefan Purtić,0,0,50,0.82,0,0
92,,Vasilije Bakić,0,0.03,75,0.45,0,0
93,,Nikola Vujadinović,0.05,0.05,50,0.62,0.05,0
94,,Marko Putinčanin,0.11,0,45.45,1.19,0.11,0
95,,Nikola Srećković,0.18,0.03,43.3,1.74,0.03,0.27
96,,Filip Kljajić,0,0,100,0,0,0
97,,Andrija Majdevac,0.4,0.27,57.14,2.07,0.07,0
98,,Milan Mirosavljev,0.2,0,62.5,1,0,0
99,,Stojan Leković,0,0,0,0,0,0
100,,Nikola Jojić,0.19,0.22,53.33,1.3,0.03,0
101,,Dejan Zukić,0.09,0.09,63.64,1.09,0.03,0
102,,Mihailo Oreščanin,0.06,0.06,68.57,0.53,0,0
103,,Mamadou Traoré,0.03,0.06,80,0.52,0,0
104,,Matija Stojanović,0,0,0,2,0,0
105,,Vladan Vidaković,0,0,0,0.5,0,0
106,,Almin Kahrimanović,0,0,0,0,0,0
107,,Nikola Vujanac,0,0,0,0,0,0
108,,Dragan Rosić,0,0,0,0,0,0
109,,Uroš Drezgić,0.07,0.04,62.5,0.33,0.07,0
110,,Stefan Čolović,0.08,0.04,49.33,1.19,0,0
111,,Marko Bjeković,0,0.11,62.5,0.21,0,0
112,,Irakli Azarovi,0,0.05,62.5,0.5,0,0
113,,Milan Lazarević,0.03,0,47.06,0.24,0,0
114,,Hamidou Traoré,0,0,44.44,0.5,0,0
115,,Marko Mijailović,0.03,0,54.9,1.27,0,0
116,,Nemanja Nikolić,0.13,0.23,59.09,1.32,0,0
117,,Nemanja Miletić,0,0,62.5,0.27,0,0
118,,Andres Colorado,0.07,0,50,0.57,0,0
119,,Marko Knežević,0,0,0,0,0,0
120,,Boubacari Doucoure,0.07,0.03,65.22,0.69,0.03,0
121,,Miloš Vidović,0.14,0.03,61.54,0.97,0.03,0
122,,Andrej Todoroski,0.17,0,51.79,1.83,0,0
123,,Miloš Ostojić,0,0,0,0,0,0
124,,Petar Stanić,0.1,0,48.15,1.43,0,0
125,,Miloš Milović,0.06,0,0,0.56,0.06,0
126,,Stefan Hajdin,0.11,0.11,47.83,1.16,0.05,0
127,,Veljko Nikolić,0.11,0,72.73,1.11,0,0
128,,Aranđel Stojković,0.03,0.07,59.26,0.79,0,0
129,,Nemanja Milić,0.18,0.18,50,1.41,0.12,0
130,,Fousseni Diabaté,0.06,0.16,55.86,1.25,0,0
131,,Vasilije Đurić,0.14,0.07,68.97,1,0,0
132,,Lazar Nikolić,0.08,0,35.71,0.38,0,0
133,,Veljko Simić,0.21,0.26,56.36,1.5,0.03,0
134,,Nemanja Đeković,0.07,0.07,100,0.46,0.04,0
135,,Balsa Popovic,0,0,0,0,0,0
136,,Stefan Lončar,0.06,0.17,42.11,1.94,0,0
137,,Nemanja Belaković,0.13,0,52.94,0.94,0,0
138,,Nikola Stanković,0,0,58.62,0.86,0,0
139,,Miloš Milisavljević,0,0,0,0,0,0
140,,Nenad Krstičić,0,0,100,0.75,0,0
141,,Dejan Stanivuković,0,0,0,0,0,0
142,,Noboru Shimura,0.06,0.06,33.33,0.87,0.03,0
143,,Ibrahima Mame Ndiaye,0.18,0,11.11,0.59,0,0
144,,Zeljko Samčović,0,0,0,0,0,0
145,,Samuel Owusu,0.03,0.03,55,1.41,0,0
146,,Filip Manojlović,0,0,0,0,0,0
147,,Taras Bondarenko,0.12,0,0,0.76,0,0
148,,Stefan Ranđelović,0,0,50,0,0,0
149,,Janko Tumbasević,0.06,0.09,58.33,0.88,0,0
150,,Stefan Jovanović,0.03,0.03,45.65,0.55,0,0
151,,Saša Marković,0.06,0,25,1.56,0,0
152,,Stefan Tomović,0.2,0.04,50,0.88,0,0
153,,Nikola Kuveljić,0,0,70.59,0.79,0,0
154,,Igor Jeličić,0,0,41.67,0.21,0,0
155,,Aleksandar Busnić,0.09,0,55.56,0.45,0.05,0
156,,Miljan Škrbić,0.33,0.22,65.22,1.39,0.11,0
157,,Siniša Saničanin,0.06,0,75,0.82,0,0
158,,Igor Maksimović,0,0,0,1,0,0
159,,Emmanuel Hackman,0,0,100,0.47,0,0
160,,Miljan Momčilović,0.04,0,73.53,0.41,0,0
161,,Uroš Đuranović,0.27,0.13,31.82,1.73,0.13,0
162,,Petar Mićin,0.03,0.13,60,1.81,0,0
163,,Aleksandar Tanasin,0.03,0,70.59,0.3,0,0
164,,Đorđe Ivanović,0.26,0.2,51.16,2.11,0.03,0
165,,Andrija Radulović,0.26,0.17,43.24,2.57,0,0
166,,Bojan Kovačević,0.06,0,0,0.47,0.06,0
167,,Numan Kurdić,0,0,87.5,0.41,0,0
168,,Nemanja Milojević,0.09,0.06,54.9,1,0,1.47
169,,Lazar Jovanović,0.2,0.2,33.33,1.6,0,0
