#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Guélor Kanga,1.13,0.5,0,0.03,0,1.07
2,,Milan Pavkov,0.5,0.25,0,0.5,0,0.25
3,,Mihajlo Banjac,0,0,0,0,0,1
4,,Bibars Natcho,1.17,0.42,0,0.19,0,0.78
5,,Aleksandar Katai,0.66,0.17,0,0.54,0,0.34
6,,Luka Ilić,1.28,0.64,0,0.48,0,0.8
7,,Darko Stanojević,1,1.2,0,2.8,0,0
8,,Milan Bojović,0.37,0.16,0,1.58,0,0.16
9,,Saša Zdjelar,1.67,2.67,0,1,0,0
10,,Vukašin Đurđević,0,0,0,5,0,0
11,,Mirko Ivanić,0.86,0.45,0,0.31,0,0.52
12,,Marko Docić,1.06,0.58,0,0.97,0,0.87
13,,El Fardou Ben,0.73,0.27,0,0,0,0
14,,Kings Kangwa,1.53,0.63,0,0.09,0,0.81
15,,Luka Stojanović,0.22,0.22,0,0.44,0,0
16,,Saša Stamenković,0,0,0,0.44,0,0
17,,Osman Bukari,0.93,0.28,0,0.21,0,0.34
18,,Strahinja Manojlović,0,0,0,0.78,0.11,0.06
19,,Edin Rustemović,2,1.14,0,1.14,0,0.73
20,,Martin Mirčevski,0.44,0.33,0,0.06,0,0.44
21,,Kristijan Belić,3.77,0.95,0.05,0.73,0,1.09
22,,Nenad Filipović,0,0,0,1.5,0,0
23,,Andrija Katić,0,0.07,0,1.29,0.07,0
24,,Marko Živković,3,1.26,0,1.26,0,0.95
25,,Nikola Petrić,0,0,0,0.68,0,0
26,,Petar Ratkov,0.56,0.33,0,0.5,0,0.31
27,,Saša Jovanović,0.56,0.26,0,0.18,0,0.41
28,,Kalifa Coulibaly,0,0,0,0,0,0.25
29,,Sadick Abubakar,3.74,2.21,0.05,5,0,0.95
30,,Miloš Cvetković,0.63,0.84,0,1.94,0,0.41
31,,Nikola Čumić,1.03,0.38,0,0.28,0,0.9
32,,Ohi Omoijuanfo,0.5,0,0,0,0,0
33,,Ifet Đakovac,1.91,1,0.03,0.29,0,1.06
34,,Nemanja Stojić,0.83,1.28,0,3.69,0,0.36
35,,Marko Gobeljić,0.87,1.07,0,0.87,0,0.13
36,,Aleksandar Pešić,0.14,0,0,0.43,0,0.14
37,,Milan Rodić,1.23,1.31,0.04,1.46,0,0.27
38,,Milan Borjan,0.03,0.03,0.03,0.7,0,0
39,,Aleksandar Pejović,2.36,0.94,0,0.67,0.03,1.76
40,,Saša Marjanović,1,0.38,0,0.52,0,0.41
41,,Nikola Štulić,0.89,0.21,0,0.53,0,0.37
42,,Zoran Popović,0.2,0,0,0,0,0
43,,Aleksandar Filipović,2.3,1.95,0,2.3,0,0.7
44,,Alex Vigo,2.08,0.92,0,1.46,0,1.15
45,,Strahinja Eraković,1.27,1.18,0,1.36,0,0.3
46,,Nemanja Petrović,1.75,1.06,0,1.5,0,0.53
47,,Vladimir Savić,0.17,0,0,0.67,0,0
48,,Lazar Carević,0,0.03,0,1.03,0,0
49,,Milutin Vidosavljević,0.9,0.31,0,0.24,0,0.59
50,,Nemanja Tošić,1.35,1.45,0,2.81,0.03,0.65
51,,Ricardo Gomes,0.11,0.14,0,0.57,0,0.09
52,,Miloš Filipović,1.04,0.38,0,0.31,0,0.73
53,,Aleksandar Dragović,0.59,0.94,0.03,2.66,0,0.25
54,,Uroš Spajić,1,0.67,0,0.67,0,0.33
55,,Filip Dujmović,0,0,0,0,0,0
56,,Igor Vujačić,0.64,1.06,0,4.27,0,0.15
57,,Srđan Mijailović,1.91,0.85,0.03,0.48,0,1
58,,Slobodan Rubežić,1.29,1.77,0,6.43,0,0.54
59,,Nemanja Krstić,1.38,0.79,0,0.65,0,0.97
60,,Mirko Topić,2.26,1.71,0,1.6,0,0.74
61,,Viktor Rogan,1.73,0.73,0.05,1.18,0,0.41
62,,Radomir Milosavljević,1.15,1,0,0.73,0,0.15
63,,Miloš Krunić,0.04,0,0,1.42,0.04,0.08
64,,Aleksandar Lutovac,0.6,0.1,0,0.5,0,0.2
65,,Slobodan Urošević,1.77,0.83,0,1.31,0,0.54
66,,Stefan Đorđević,1.42,1.08,0,2.29,0,0.21
67,,Marko Rakonjac,0.15,0,0,0.08,0,0.15
68,,Nemanja Milunović,0.7,1.2,0,2.35,0,0.25
69,,Yves Baraye,0.94,0.09,0,0.18,0,0.32
70,,Danilo Pantić,0.83,0.61,0,0.22,0,0.61
71,,Nemanja Belić,0.05,0,0,0.63,0,0
72,,Luka Gojković,1.09,0.91,0,0.26,0,0.85
73,,Goran Antonić,1.3,1.22,0,2.89,0,0.44
74,,Muhammed Badammosi,0.28,0.08,0.03,0.78,0,0.22
75,,Marko Obradović,0.35,0.06,0,1.06,0,0.12
76,,Marko Bugarin,1.67,1.58,0,4.17,0,0.25
77,,Nemanja Tomić,0.56,0.08,0,0.32,0,0.28
78,,Dejan Kerkez,1,1,0.03,5,0,0.32
79,,Radovan Pankov,0.89,1.22,0,2.89,0,0.11
