#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Guélor Kanga,0.27,0,53.33,68.88,4.47,0.8
2,,Milan Pavkov,0,0,50,42.86,0.5,1.25
3,,Mihajlo Banjac,1,0,75,52.94,5,2
4,,Bibars Natcho,0.08,0,35,53.51,1.25,0.33
5,,Aleksandar Katai,0.09,0,54.79,44.8,0.66,1.09
6,,Luka Ilić,0.16,0,43.33,52.05,1.28,0.92
7,,Darko Stanojević,0.2,0,80,73.68,0.2,0.6
8,,Milan Bojović,0.16,0,48.88,52.59,2.42,1.21
9,,Saša Zdjelar,0.33,0,50,69.23,3.33,2
10,,Vukašin Đurđević,0,0,50,50,0,0
11,,Mirko Ivanić,0.07,0,33.33,46.99,0.62,0.59
12,,Marko Docić,0.29,0,45.24,48.61,1.35,1.1
13,,El Fardou Ben,0.09,0,41.94,55.71,1.36,0.45
14,,Kings Kangwa,0.13,0,51.35,54.58,0.97,0.94
15,,Luka Stojanović,0,0,42.86,47.83,0.56,0.33
16,,Saša Stamenković,0.33,0,0,75,0.33,0
17,,Osman Bukari,0.1,0,45.83,50.57,0.9,0.86
18,,Strahinja Manojlović,0.06,0,85.71,77.78,0.17,0
19,,Edin Rustemović,0.09,0,65.12,63.6,2.23,1.09
20,,Martin Mirčevski,0.22,0,16.67,36.11,0.56,0.83
21,,Kristijan Belić,0.5,0,38.3,53.19,1.18,2.27
22,,Nenad Filipović,0,0,50,66.67,0.5,0
23,,Andrija Katić,0.14,0,100,100,0.21,0
24,,Marko Živković,0.16,0,47.83,58.18,0.68,0.95
25,,Nikola Petrić,0.06,0,100,100,0.06,0
26,,Petar Ratkov,0.14,0,57.79,53.18,1.67,1.61
27,,Saša Jovanović,0.21,0,27.27,38.4,1.5,1.76
28,,Kalifa Coulibaly,0,0,82.35,66.67,0,0.25
29,,Sadick Abubakar,0.32,0,63.64,64.56,1.37,1.63
30,,Miloš Cvetković,0.28,0,28.57,44.68,0.81,0.88
31,,Nikola Čumić,0.1,0,42.86,46.6,1.34,0.62
32,,Ohi Omoijuanfo,0,0,33.33,55.56,1.5,0.5
33,,Ifet Đakovac,0.15,0,27.59,47.73,1.32,1.41
34,,Nemanja Stojić,0.19,0,64.34,61.13,1.56,1.11
35,,Marko Gobeljić,0.27,0,83.33,63.41,1.13,0.87
36,,Aleksandar Pešić,0.14,0,45.21,43.15,1.11,1.07
37,,Milan Rodić,0.12,0,64.29,53.18,0.31,1.31
38,,Milan Borjan,0.03,0,100,93.75,0.18,0.03
39,,Aleksandar Pejović,0.27,0.06,51.28,48.78,1.09,1.48
40,,Saša Marjanović,0.07,0,44.68,59.06,1.48,0.59
41,,Nikola Štulić,0,0,33.33,40.47,1.58,1.68
42,,Zoran Popović,0.2,0,100,100,0.4,0
43,,Aleksandar Filipović,0.25,0,56.92,54.21,0.8,1.65
44,,Alex Vigo,0.23,0,56.25,48.78,1.38,1.62
45,,Strahinja Eraković,0.15,0,58.43,59.19,0.67,0.97
46,,Nemanja Petrović,0.25,0,52.83,51.93,1.34,1.81
47,,Vladimir Savić,0.17,0,100,100,0.17,0
48,,Lazar Carević,0.03,0,83.33,91.67,0.17,0
49,,Milutin Vidosavljević,0.14,0,17.54,42.09,1.76,1.03
50,,Nemanja Tošić,0.32,0,59.3,49.58,0.81,1.39
51,,Ricardo Gomes,0.09,0.03,35.51,37.58,1.46,1
52,,Miloš Filipović,0.12,0,34.38,51.5,1.92,0.62
53,,Aleksandar Dragović,0.13,0,65.38,51.59,0.34,1.31
54,,Uroš Spajić,0,0,100,72.73,0.67,0.33
55,,Filip Dujmović,0,0,0,0,0,0
56,,Igor Vujačić,0.18,0,67.26,63.97,1.67,1.12
57,,Srđan Mijailović,0.33,0.03,48.57,44.96,0.64,2.15
58,,Slobodan Rubežić,0.26,0,71.27,58.42,0.89,2.06
59,,Nemanja Krstić,0.12,0,50,44.63,0.91,1.18
60,,Mirko Topić,0.06,0,60.27,54.37,0.66,1.66
61,,Viktor Rogan,0.05,0,36.11,52.05,0.77,1.32
62,,Radomir Milosavljević,0.15,0,62.86,59.15,1.08,1.19
63,,Miloš Krunić,0.13,0,100,81.82,0.21,0
64,,Aleksandar Lutovac,0.1,0,28.57,54.76,1,0.8
65,,Slobodan Urošević,0.23,0,61.11,51.87,1.17,1.51
66,,Stefan Đorđević,0.13,0,57.69,60.98,0.58,0.75
67,,Marko Rakonjac,0,0,48.15,48.44,0.85,0.46
68,,Nemanja Milunović,0.2,0,66.18,55.07,0.7,1.55
69,,Yves Baraye,0.09,0,30.19,50.85,1.5,0.71
70,,Danilo Pantić,0.17,0,69.23,52.1,1.39,1.28
71,,Nemanja Belić,0.05,0,100,100,0.05,0
72,,Luka Gojković,0.15,0,27.42,49.1,2.5,1.18
73,,Goran Antonić,0.15,0.04,49.02,52.6,0.52,0.93
74,,Muhammed Badammosi,0.11,0,60.1,47.45,1.53,1.92
75,,Marko Obradović,0.24,0,43.24,42.94,1.76,1.76
76,,Marko Bugarin,0,0.17,71.43,69.01,0.67,0.83
77,,Nemanja Tomić,0.04,0,52.63,53.73,1.44,0.72
78,,Dejan Kerkez,0.06,0.03,65.47,62.01,0.52,0.94
79,,Radovan Pankov,0.22,0,61.22,56.07,0.67,1.33
80,,Vladimir Lučić,0.1,0,41.94,51.78,1.47,0.67
81,,Josip Ćalušić,0.19,0.03,63.64,56.25,0.35,0.81
82,,Marko Mirić,0.21,0,57.14,52.52,2.12,1.79
83,,Jovan Mijatović,0,0,47.06,47.69,0.75,0.83
84,,Uroš Nikolić,0.04,0.04,41.67,43.38,0.63,0.63
85,,Siniša Babić,0.07,0,14.29,55.74,1.36,0.21
86,,Filip Damjanović,0.23,0.03,69.83,61.62,1,1.37
87,,Veljko Ilić,0.14,0,90,86.36,0.23,0.03
88,,Miloš Mijić,0.13,0,30.56,48.1,1.53,0.59
89,,Miloš Spasić,0.05,0,49.59,47.91,1.05,1.16
90,,Dušan Cvetinović,0.25,0,62.71,59.17,0.42,0.88
91,,Stefan Purtić,0.29,0,59.26,45.6,0.65,2.41
92,,Vasilije Bakić,0.21,0.03,66.67,63.59,0.62,1.14
93,,Nikola Vujadinović,0.05,0,76.04,65.84,0.9,1.1
94,,Marko Putinčanin,0.26,0.04,65.43,55.51,0.89,1.78
95,,Nikola Srećković,0.12,0,49.12,51.32,2.56,1.06
96,,Filip Kljajić,0,0,100,88.89,0.15,0.04
97,,Andrija Majdevac,0.13,0,34.83,39.39,1.67,1.2
98,,Milan Mirosavljev,0,0,39.13,40.71,2.1,1.8
99,,Stojan Leković,0.09,0,0,100,0.09,0
100,,Nikola Jojić,0.05,0,37.96,50.14,2,0.7
101,,Dejan Zukić,0.16,0,50,53.26,1.13,0.69
102,,Mihailo Oreščanin,0.31,0,66.06,63.44,1.75,1.38
103,,Mamadou Traoré,0.13,0,59.52,57.27,0.45,0.81
104,,Matija Stojanović,0,0,0,0,0,0
105,,Vladan Vidaković,0.5,0,66.67,50,0.5,1.5
106,,Almin Kahrimanović,0,0,0,0,0,0
107,,Nikola Vujanac,0,0,50,75,0.33,0
108,,Dragan Rosić,0.16,0,50,57.14,0.11,0.05
109,,Uroš Drezgić,0.11,0,72.73,55.04,0.33,1.15
110,,Stefan Čolović,0.04,0,25.81,43.42,0.81,0.69
111,,Marko Bjeković,0.16,0,46.15,64.8,1.42,0.84
112,,Irakli Azarovi,0.1,0,41.18,54.08,0.3,0.65
113,,Milan Lazarević,0.07,0,61.54,57.77,1.59,1.07
114,,Hamidou Traoré,0.14,0,51.72,51.75,0.64,1
115,,Marko Mijailović,0.3,0,56,53.79,1.09,1.39
116,,Nemanja Nikolić,0.13,0,38.41,44.07,1.58,0.97
117,,Nemanja Miletić,0.13,0,55,58.27,1.4,0.67
118,,Andres Colorado,0.14,0,57.89,51.43,0.79,1.71
119,,Marko Knežević,0,0,100,80,0.25,0
120,,Boubacari Doucoure,0.17,0.03,51.47,53.51,0.97,1.76
121,,Miloš Vidović,0.38,0,68.64,58.59,1.55,1.76
122,,Andrej Todoroski,0,0,16.67,46.69,1.97,0.9
123,,Miloš Ostojić,0.25,0,100,100,0.5,0
124,,Petar Stanić,0.2,0,42.22,55.23,2.37,0.83
125,,Miloš Milović,0,0.06,45.24,46.38,0.25,0.63
126,,Stefan Hajdin,0.16,0,56.67,51.43,1,1.37
127,,Veljko Nikolić,0.11,0,0,43.48,0.44,0.44
128,,Aranđel Stojković,0.34,0,47.5,49.53,1.03,1.31
129,,Nemanja Milić,0.18,0,38.5,40.31,1.88,1.94
130,,Fousseni Diabaté,0,0,50,52.37,1.75,0.53
131,,Vasilije Đurić,0.07,0,36.36,59.52,1.21,0.5
132,,Lazar Nikolić,0.08,0,50,57.76,1.38,0.88
133,,Veljko Simić,0.06,0.03,27.27,53.74,1.32,1.03
134,,Nemanja Đeković,0.07,0.04,57.98,57.55,0.75,0.96
135,,Balsa Popovic,0.13,0,100,87.5,0.38,0.13
136,,Stefan Lončar,0.39,0,55,45.22,0.83,1.17
137,,Nemanja Belaković,0.06,0,60.71,55.66,1.19,0.88
138,,Nikola Stanković,0.19,0,60.53,58.24,1.29,0.86
