#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Guélor Kanga,0.5,0.33,78.8,87.69,25.87,75.85
2,,Milan Pavkov,0.5,0.25,9.75,66.67,3.25,0
3,,Mihajlo Banjac,1,1,33,51.52,6,0
4,,Bibars Natcho,0.36,0.25,45.92,77.43,13.86,55.12
5,,Aleksandar Katai,0.31,0.26,29.06,80.14,11.89,73.13
6,,Luka Ilić,0.32,0.28,44.48,87.32,15.24,72.09
7,,Darko Stanojević,0,0,25.8,81.4,1,38.46
8,,Milan Bojović,0.11,0.16,25.32,61.54,5.89,31.58
9,,Saša Zdjelar,0,0,66.33,84.42,12.67,60.71
10,,Vukašin Đurđević,0,0,10,70,3,66.67
11,,Mirko Ivanić,0.34,0.38,37,81.36,14.79,67.27
12,,Marko Docić,0.26,0.32,49.71,80.27,13.74,50.49
13,,El Fardou Ben,0.18,0.18,20.64,73.57,7.82,37.5
14,,Kings Kangwa,0.13,0.09,44.41,88.88,13.94,67.65
15,,Luka Stojanović,0.22,0,11.11,84,2.67,81.82
16,,Saša Stamenković,0,0,21.22,57.07,1.33,41.84
17,,Osman Bukari,0.21,0.1,24.38,77.79,10.79,53.57
18,,Strahinja Manojlović,0,0,26.44,54.41,1.11,35.44
19,,Edin Rustemović,0.14,0.05,43.27,71.43,7.73,41.63
20,,Martin Mirčevski,0.17,0.11,12.44,79.46,4.61,81.25
21,,Kristijan Belić,0.09,0.05,48.05,86.66,10.73,66.67
22,,Nenad Filipović,0,0,26,76.92,1,60
23,,Andrija Katić,0,0,37.71,67.42,0.64,41.48
24,,Marko Živković,0.21,0.16,40.37,79.14,8.42,34.15
25,,Nikola Petrić,0,0,23.1,46.79,1.35,37.91
26,,Petar Ratkov,0.14,0.08,15.83,64.21,4.67,55
27,,Saša Jovanović,0.32,0.32,20.09,72.77,8.06,34.88
28,,Kalifa Coulibaly,0,0,7.75,48.39,2,0
29,,Sadick Abubakar,0.05,0,28.47,63.77,2.16,31.25
30,,Miloš Cvetković,0.13,0.06,42.31,80.35,12.84,40.61
31,,Nikola Čumić,0.21,0.17,18.66,63.22,6,51.28
32,,Ohi Omoijuanfo,0,0,6.5,84.62,3,0
33,,Ifet Đakovac,0.24,0.06,43.74,81.51,10.09,64.86
34,,Nemanja Stojić,0.06,0.03,55.33,80.62,5.06,45.69
35,,Marko Gobeljić,0.2,0.07,32.2,82.82,8.4,45.28
36,,Aleksandar Pešić,0.39,0.21,10.46,71.33,4.11,76.92
37,,Milan Rodić,0.19,0.04,37.77,80.14,7.96,51.69
38,,Milan Borjan,0,0,25.85,76.2,0.97,48.03
39,,Aleksandar Pejović,0.21,0.09,67.45,77.54,18.33,49.24
40,,Saša Marjanović,0.14,0.03,32.97,80.13,9.93,48.7
41,,Nikola Štulić,0,0,16.68,72.24,4.79,37.5
42,,Zoran Popović,0,0,19.4,68.04,1,52.38
43,,Aleksandar Filipović,0.05,0.1,34.75,74.96,7.2,30.67
44,,Alex Vigo,0.15,0.08,44.77,89.69,14.54,42.31
45,,Strahinja Eraković,0,0.06,52.67,89.59,7.73,63.08
46,,Nemanja Petrović,0.09,0.06,42.38,82.52,9.97,50.39
47,,Vladimir Savić,0,0,16.83,56.44,0,38.89
48,,Lazar Carević,0,0,22.69,60.08,0.74,42.51
49,,Milutin Vidosavljević,0.28,0.14,19.69,74.96,7.28,56.9
50,,Nemanja Tošić,0.13,0.13,36.35,72.14,8,32.8
51,,Ricardo Gomes,0.03,0.09,14.14,68.28,5.03,50
52,,Miloš Filipović,0.23,0.19,15.12,70.48,5.42,31.37
53,,Aleksandar Dragović,0.03,0,56.63,90.51,5.69,62.03
54,,Uroš Spajić,0,0,29.33,94.32,2.67,75
55,,Filip Dujmović,0,0,16,56.25,0,33.33
56,,Igor Vujačić,0,0,57.91,82.57,4.79,47.85
57,,Srđan Mijailović,0.06,0.09,51.36,82.3,12,54.87
58,,Slobodan Rubežić,0.06,0,33.34,71.55,2.26,35.96
59,,Nemanja Krstić,0.15,0.15,30.15,72.88,7,50
