#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Guélor Kanga,0,0.33,0,0,0.37,0.03
2,,Milan Pavkov,0,0,0,0,0,0
3,,Mihajlo Banjac,0,0,0,0,1,0
4,,Bibars Natcho,0,0.14,0,0,0.69,0.11
5,,Aleksandar Katai,0,0.09,0,0,0.49,0.03
6,,Luka Ilić,0,0.08,0,0,0.76,0.16
7,,Darko Stanojević,0,0.4,0,0,0.2,0
8,,Milan Bojović,0,0.11,0,0,1.63,0.37
9,,Saša Zdjelar,0,0.67,0,0,1,0
10,,Vukašin Đurđević,0,0,0,0,1,0
11,,Mirko Ivanić,0,0.24,0,0,0.31,0.03
12,,Marko Docić,0,0.19,0,0,0.74,0.03
13,,El Fardou Ben,0,0.18,0,0,0.27,0
14,,Kings Kangwa,0,0.13,0,0,0.31,0
15,,Luka Stojanović,0,0,0,0,0.22,0
16,,Saša Stamenković,3.33,0.56,0,0,0.44,0.11
17,,Osman Bukari,0,0.17,0,0,0.28,0.03
18,,Strahinja Manojlović,3.72,0.44,0.11,0,0.67,0.28
19,,Edin Rustemović,0,0.41,0,0,0.55,0.14
20,,Martin Mirčevski,0,0.06,0,0,0.22,0.11
21,,Kristijan Belić,0,0.23,0,0,0.5,0.14
22,,Nenad Filipović,2,0.5,0,0,0.5,0
23,,Andrija Katić,4.14,0.29,0.14,0,1.21,0.07
24,,Marko Živković,0,0.21,0,0,0.79,0.11
25,,Nikola Petrić,3.48,0.45,0.06,0,0.87,0.1
26,,Petar Ratkov,0,0.11,0,0,0.5,0.06
27,,Saša Jovanović,0,0.09,0,0,0.59,0.12
28,,Kalifa Coulibaly,0,0,0,0,0,0
29,,Sadick Abubakar,0,0.11,0,0,0.84,0.16
30,,Miloš Cvetković,0,0.38,0,0,0.63,0.13
31,,Nikola Čumić,0,0.1,0,0,0.72,0.07
32,,Ohi Omoijuanfo,0,0,0,0,0.5,0
33,,Ifet Đakovac,0,0.32,0,0,0.76,0.15
34,,Nemanja Stojić,0,0.44,0,0,0.72,0.14
35,,Marko Gobeljić,0,0.2,0,0,0.4,0
