#,Team,Name
1,,Saša Stamenković
2,,Strahinja Manojlović
3,,Nenad Filipović
4,,Andrija Katić
5,,Nikola Petrić
6,,Milan Borjan
7,,Zoran Popović
8,,Vladimir Savić
9,,Lazar Carević
10,,Filip Dujmović
11,,Miloš Krunić
12,,Nemanja Belić
13,,Veljko Ilić
14,,Filip Kljajić
15,,Stojan Leković
16,,Almin Kahrimanović
17,,Nikola Vujanac
18,,Dragan Rosić
19,,Marko Knežević
20,,Miloš Ostojić
21,,Balsa Popovic
22,,Dejan Stanivuković
23,,Zeljko Samčović
24,,Filip Manojlović
25,,Stefan Ranđelović
26,,Ognjen Lukić
27,,David Bjelica
28,,Aleksandar Popović
29,,Novak Mićović
30,,Nemanja Stevanović
31,,Aleksa Milojević
32,,Lazar Raičević
33,,Nikola Vasiljević
34,,Nikola Simić
35,,Aleksandar Vulić
36,,Boris Velimirović
37,,Miloš Mladenović
38,,Dimitrije Stevanović
39,,Mišo Dubljanić
40,,Lazar Slavković
41,,Luka Savić
42,,Marko Drobnjak
43,,Nemanja Jorgić
44,,Goran Vukliš
45,,Stefan Vukasinovic
