Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Guélor Kanga,0.33,0,80,2.1,0,0,1.13,0.5,0,0.03,0,1.07,0.5,0.33,78.8,87.69,25.87,75.85,0,0.33,0,0,0.37,0.03,0.27,0,53.33,68.88,4.47,0.8,30
Milan Pavkov,1.25,0.25,0,2.75,0.5,0,0.5,0.25,0,0.5,0,0.25,0.5,0.25,9.75,66.67,3.25,0,0,0,0,0,0,0,0,0,50,42.86,0.5,1.25,4
Mihajlo Banjac,1,0,50,1,0,100,0,0,0,0,0,1,1,1,33,51.52,6,0,0,0,0,0,1,0,1,0,75,52.94,5,2,1
Bibars Natcho,0.33,0.11,53.85,1.61,0,0,1.17,0.42,0,0.19,0,0.78,0.36,0.25,45.92,77.43,13.86,55.12,0,0.14,0,0,0.69,0.11,0.08,0,35,53.51,1.25,0.33,36
Aleksandar Katai,0.49,0.46,50,4.43,0.03,0.41,0.66,0.17,0,0.54,0,0.34,0.31,0.26,29.06,80.14,11.89,73.13,0,0.09,0,0,0.49,0.03,0.09,0,54.79,44.8,0.66,1.09,35
Luka Ilić,0.24,0.12,63.79,1.96,0,0,1.28,0.64,0,0.48,0,0.8,0.32,0.28,44.48,87.32,15.24,72.09,0,0.08,0,0,0.76,0.16,0.16,0,43.33,52.05,1.28,0.92,25
Darko Stanojević,0,0,0,0.2,0,0,1,1.2,0,2.8,0,0,0,0,25.8,81.4,1,38.46,0,0.4,0,0,0.2,0,0.2,0,80,73.68,0.2,0.6,5
Milan Bojović,0.58,0.26,50,3.63,0.05,0,0.37,0.16,0,1.58,0,0.16,0.11,0.16,25.32,61.54,5.89,31.58,0,0.11,0,0,1.63,0.37,0.16,0,48.88,52.59,2.42,1.21,19
Saša Zdjelar,0,0,100,0.67,0,0,1.67,2.67,0,1,0,0,0,0,66.33,84.42,12.67,60.71,0,0.67,0,0,1,0,0.33,0,50,69.23,3.33,2,3
Vukašin Đurđević,1,0,0,1,0,0,0,0,0,5,0,0,0,0,10,70,3,66.67,0,0,0,0,1,0,0,0,50,50,0,0,1
Mirko Ivanić,0.28,0.41,54.55,2.79,0.03,0,0.86,0.45,0,0.31,0,0.52,0.34,0.38,37,81.36,14.79,67.27,0,0.24,0,0,0.31,0.03,0.07,0,33.33,46.99,0.62,0.59,29
Marko Docić,0.35,0.06,75,1.42,0,0.4,1.06,0.58,0,0.97,0,0.87,0.26,0.32,49.71,80.27,13.74,50.49,0,0.19,0,0,0.74,0.03,0.29,0,45.24,48.61,1.35,1.1,31
El Fardou Ben,0.18,0.18,30,1.09,0,0,0.73,0.27,0,0,0,0,0.18,0.18,20.64,73.57,7.82,37.5,0,0.18,0,0,0.27,0,0.09,0,41.94,55.71,1.36,0.45,11
Kings Kangwa,0.25,0.06,61.54,1.59,0.03,0,1.53,0.63,0,0.09,0,0.81,0.13,0.09,44.41,88.88,13.94,67.65,0,0.13,0,0,0.31,0,0.13,0,51.35,54.58,0.97,0.94,32
Luka Stojanović,0.56,0,33.33,1.22,0.22,0,0.22,0.22,0,0.44,0,0,0.22,0,11.11,84,2.67,81.82,0,0,0,0,0.22,0,0,0,42.86,47.83,0.56,0.33,9
Saša Stamenković,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,21.22,57.07,1.33,41.84,3.33,0.56,0,0,0.44,0.11,0.33,0,0,75,0.33,0,9
Osman Bukari,0.41,0.1,55.2,1.93,0,0,0.93,0.28,0,0.21,0,0.34,0.21,0.1,24.38,77.79,10.79,53.57,0,0.17,0,0,0.28,0.03,0.1,0,45.83,50.57,0.9,0.86,29
Strahinja Manojlović,0,0,0,0,0,0,0,0,0,0.78,0.11,0.06,0,0,26.44,54.41,1.11,35.44,3.72,0.44,0.11,0,0.67,0.28,0.06,0,85.71,77.78,0.17,0,18
Edin Rustemović,0.05,0,58.54,0.86,0,0,2,1.14,0,1.14,0,0.73,0.14,0.05,43.27,71.43,7.73,41.63,0,0.41,0,0,0.55,0.14,0.09,0,65.12,63.6,2.23,1.09,22
Martin Mirčevski,0.39,0.11,66.67,1.67,0,0,0.44,0.33,0,0.06,0,0.44,0.17,0.11,12.44,79.46,4.61,81.25,0,0.06,0,0,0.22,0.11,0.22,0,16.67,36.11,0.56,0.83,18
Kristijan Belić,0.05,0,62.16,0.68,0,0,3.77,0.95,0.05,0.73,0,1.09,0.09,0.05,48.05,86.66,10.73,66.67,0,0.23,0,0,0.5,0.14,0.5,0,38.3,53.19,1.18,2.27,22
Nenad Filipović,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,26,76.92,1,60,2,0.5,0,0,0.5,0,0,0,50,66.67,0.5,0,2
Andrija Katić,0,0,0,0,0,0,0,0.07,0,1.29,0.07,0,0,0,37.71,67.42,0.64,41.48,4.14,0.29,0.14,0,1.21,0.07,0.14,0,100,100,0.21,0,14
Marko Živković,0.05,0,50,0.42,0.05,0,3,1.26,0,1.26,0,0.95,0.21,0.16,40.37,79.14,8.42,34.15,0,0.21,0,0,0.79,0.11,0.16,0,47.83,58.18,0.68,0.95,19
Nikola Petrić,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,23.1,46.79,1.35,37.91,3.48,0.45,0.06,0,0.87,0.1,0.06,0,100,100,0.06,0,31
Petar Ratkov,0.36,0.14,46.67,2.11,0.06,0.93,0.56,0.33,0,0.5,0,0.31,0.14,0.08,15.83,64.21,4.67,55,0,0.11,0,0,0.5,0.06,0.14,0,57.79,53.18,1.67,1.61,36
Saša Jovanović,0.29,0.15,33.33,1.79,0.03,0,0.56,0.26,0,0.18,0,0.41,0.32,0.32,20.09,72.77,8.06,34.88,0,0.09,0,0,0.59,0.12,0.21,0,27.27,38.4,1.5,1.76,34
Kalifa Coulibaly,0.25,0,0,1,0,0,0,0,0,0,0,0.25,0,0,7.75,48.39,2,0,0,0,0,0,0,0,0,0,82.35,66.67,0,0.25,4
Sadick Abubakar,0.05,0.11,80,0.47,0,0,3.74,2.21,0.05,5,0,0.95,0.05,0,28.47,63.77,2.16,31.25,0,0.11,0,0,0.84,0.16,0.32,0,63.64,64.56,1.37,1.63,19
Miloš Cvetković,0.06,0,53.85,0.72,0,0,0.63,0.84,0,1.94,0,0.41,0.13,0.06,42.31,80.35,12.84,40.61,0,0.38,0,0,0.63,0.13,0.28,0,28.57,44.68,0.81,0.88,32
Nikola Čumić,0.45,0.24,50.96,2.21,0.07,0.86,1.03,0.38,0,0.28,0,0.9,0.21,0.17,18.66,63.22,6,51.28,0,0.1,0,0,0.72,0.07,0.1,0,42.86,46.6,1.34,0.62,29
Ohi Omoijuanfo,0.5,0,0,2.5,0,0,0.5,0,0,0,0,0,0,0,6.5,84.62,3,0,0,0,0,0,0.5,0,0,0,33.33,55.56,1.5,0.5,2
Ifet Đakovac,0.29,0.06,62.5,2.09,0,0,1.91,1,0.03,0.29,0,1.06,0.24,0.06,43.74,81.51,10.09,64.86,0,0.32,0,0,0.76,0.15,0.15,0,27.59,47.73,1.32,1.41,34
Nemanja Stojić,0.03,0.11,68,0.92,0.03,0,0.83,1.28,0,3.69,0,0.36,0.06,0.03,55.33,80.62,5.06,45.69,0,0.44,0,0,0.72,0.14,0.19,0,64.34,61.13,1.56,1.11,36
Marko Gobeljić,0.13,0.07,58.33,0.8,0,0,0.87,1.07,0,0.87,0,0.13,0.2,0.07,32.2,82.82,8.4,45.28,0,0.2,0,0,0.4,0,0.27,0,83.33,63.41,1.13,0.87,15
Aleksandar Pešić,0.39,0.43,47.22,2.71,0.18,0,0.14,0,0,0.43,0,0.14,0.39,0.21,10.46,71.33,4.11,76.92,0,0.14,0,0,0.39,0,0.14,0,45.21,43.15,1.11,1.07,28
Milan Rodić,0.04,0,58.33,0.62,0.04,0,1.23,1.31,0.04,1.46,0,0.27,0.19,0.04,37.77,80.14,7.96,51.69,0,0.27,0,0,0.35,0,0.12,0,64.29,53.18,0.31,1.31,26
Milan Borjan,0,0,100,0,0,0,0.03,0.03,0.03,0.7,0,0,0,0,25.85,76.2,0.97,48.03,1.88,0.58,0.09,0,0.42,0.03,0.03,0,100,93.75,0.18,0.03,33
Aleksandar Pejović,0.12,0.06,56.52,1.64,0,0,2.36,0.94,0,0.67,0.03,1.76,0.21,0.09,67.45,77.54,18.33,49.24,0,0.15,0,0,1.33,0.15,0.27,0.06,51.28,48.78,1.09,1.48,33
Saša Marjanović,0.14,0,61.54,1.52,0.07,0,1,0.38,0,0.52,0,0.41,0.14,0.03,32.97,80.13,9.93,48.7,0,0,0,0,0.79,0.17,0.07,0,44.68,59.06,1.48,0.59,29
