#,Team,Name,Appearances
1,,Nahir Besara,29
2,,Jacob Ondrejka,12
3,,Anton Saletros,16
4,,Lars Olden Larsen,12
5,,Arnór Sigurðsson,10
6,,Sebastian Nanasi,29
7,,Anders Christiansen,8
8,,Mikkel Rygaard Jensen,29
9,,Simon Skrabb,30
10,,Even Hovland,27
11,,Samuel Gustafson,29
12,,Maudo Jarjué,1
13,,Marcus Danielson,29
14,,Benie Traore,14
15,,Zeidane Inoussa,10
16,,Busanello,26
17,,Sergio Peña,29
18,,Adam Ingi Benediktsson,7
19,,Ioannis Pittas,13
20,,Daniel Stensson,27
21,,Samuel Leach Holm,27
22,,Arbnor Mucolli,17
23,,Hugo Larsson,12
24,,Johan Larsson,29
25,,Jeppe Okkels,30
26,,Marcus Mathisen,12
27,,Amor Layouni,14
28,,Rasmus Schüller,23
29,,Ismet Lushaku,25
30,,Arnór Traustason,28
31,,Viktor Đukanović,25
32,,Carl Gustafsson,4
33,,Simon Gustafson,11
34,,Oscar Johansson,30
35,,Samuel Dahl,13
36,,Johan Hammar,13
37,,Wessam Abou Ali,16
38,,Gustaf Lagerbielke,16
39,,Derek Cornelius,25
40,,Tom Pettersson,24
41,,Alexander Milošević,24
42,,Isaac Kiese Thelin,28
43,,Aiham Ousou,7
44,,Pontus Jansson,15
45,,Stefano Vecchia,23
46,,Oscar Pettersson,30
47,,André Rømer,16
48,,Eliton Júnior,16
49,,Tobias Carlsson,11
50,,Ismael Diawara,1
51,,Diego Campos,27
52,,Kristoffer Lund,19
53,,Tashreeq Matthews,30
54,,Sebastian Holmén,29
55,,Taha  Ali,30
56,,Andri Fannar Baldursson,11
57,,Magnus Eriksson,29
58,,Jamie Roche,14
59,,Henrik Castegren,17
60,,Jonathan Rasheed,22
61,,Momodou Sonko,23
62,,Robert Gojani,23
63,,Elias Andersson,16
64,,Sotirios Papagiannopoulos,26
65,,Elias Kristoffersen Hagen,15
66,,Oliver Berg,25
67,,Joakim Persson,26
68,,Lars Saetra,29
69,,Oscar Jansson,30
70,,Adam Stahl,29
71,,Lasse Berg Johnsen,13
72,,Douglas Bergqvist,10
73,,Alexander Bernhardsson,18
74,,Emmanuel Boateng,22
75,,Gustav Engvall,26
76,,Alexander Lundin,4
77,,Lasse Nielsen,17
78,,Ludvig Fritzson,28
79,,Niklas Moisander,10
80,,Tesfaldet Tekie,16
81,,Martin Olsson,20
82,,Amir Al Ammari,29
83,,Hákon Rafn Valdimarsson,29
84,,Bilal Hussein,19
85,,Kevin Ackermann,28
86,,Shaquille Pinas,24
87,,Noah Persson,10
88,,Joseph Baffo,21
89,,Alexander Jensen,30
90,,Erick Otieno,26
