#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Nahir Besara,0.31,0.1,54.84,2.83,0,0.57
2,,Jacob Ondrejka,0.5,0.5,63.04,2.83,0.17,0
3,,Anton Saletros,0.06,0,60,1.31,0,1.56
4,,Lars Olden Larsen,0.42,0.25,62.5,3.58,0.08,0
5,,Arnór Sigurðsson,0.5,0,60.78,1.7,0,2
6,,Sebastian Nanasi,0.38,0.07,56.18,2.38,0,0
7,,Anders Christiansen,0.13,0.13,50,3.13,0,0
8,,Mikkel Rygaard Jensen,0.24,0.14,51.85,2.21,0,0
9,,Simon Skrabb,0.3,0.07,41.67,1.77,0,0
10,,Even Hovland,0.22,0.11,100,0.96,0.15,0
11,,Samuel Gustafson,0.03,0.07,44.44,0.48,0,0
12,,Maudo Jarjué,0,0,0,1,0,0
13,,Marcus Danielson,0.17,0.17,86.67,0.83,0.07,0
14,,Benie Traore,0.86,0.43,35.71,3,0,0
15,,Zeidane Inoussa,0.5,0,53.06,1.2,0.1,0
16,,Busanello,0.04,0.04,69.23,0.77,0,0
17,,Sergio Peña,0.03,0,61.9,1.45,0,0
18,,Adam Ingi Benediktsson,0,0,0,0,0,0
19,,Ioannis Pittas,0.69,0.46,40,3.23,0,0
20,,Daniel Stensson,0.07,0.07,66.67,1.26,0,0
21,,Samuel Leach Holm,0.04,0.07,50,1.26,0,0
22,,Arbnor Mucolli,0.35,0.12,45.71,2.53,0,0
23,,Hugo Larsson,0.17,0.08,53.85,1.25,0,0
24,,Johan Larsson,0.17,0.17,61.54,0.83,0.03,0
25,,Jeppe Okkels,0.37,0.1,57.78,1.93,0,0
26,,Marcus Mathisen,0.08,0,57.14,1.58,0,0
27,,Amor Layouni,0.36,0.14,48.72,2.14,0,0
28,,Rasmus Schüller,0.04,0,80,0.91,0,0
29,,Ismet Lushaku,0,0.04,64,1.68,0,0
30,,Arnór Traustason,0.32,0.14,46.67,2.04,0.04,0
31,,Viktor Đukanović,0.44,0.08,55,3.12,0,0
32,,Carl Gustafsson,0,0,100,0,0,0
33,,Simon Gustafson,0,0.36,25,1.18,0,0
34,,Oscar Johansson,0.17,0.07,68,1.8,0,0
35,,Samuel Dahl,0,0,47.83,0.46,0,0
36,,Johan Hammar,0,0.15,100,0.46,0,0
37,,Wessam Abou Ali,0.63,0.5,29.41,3.44,0.25,0
38,,Gustaf Lagerbielke,0.13,0.06,0,0.69,0.13,0
39,,Derek Cornelius,0.12,0.16,72.73,1.08,0.08,0
40,,Tom Pettersson,0.13,0.17,60,0.96,0.04,0
41,,Alexander Milošević,0.04,0.04,60,0.75,0.04,0
42,,Isaac Kiese Thelin,0.57,0.43,27.27,2.82,0.11,0
43,,Aiham Ousou,0,0.14,100,1.14,0,0
44,,Pontus Jansson,0.07,0.07,75,0.47,0.07,0
45,,Stefano Vecchia,0.35,0.09,63.27,2,0,1.45
46,,Oscar Pettersson,0.3,0.2,55.56,2.4,0,0
47,,André Rømer,0.06,0,72.73,1.13,0,0
48,,Eliton Júnior,0.19,0.13,59.09,1.94,0,0
49,,Tobias Carlsson,0.09,0,40,0.36,0,0
50,,Ismael Diawara,0,0,0,0,0,0
51,,Diego Campos,0.22,0.07,50,2.11,0,0
52,,Kristoffer Lund,0,0.05,53.85,0.58,0,0
53,,Tashreeq Matthews,0.33,0.37,38.2,2.2,0.03,0
54,,Sebastian Holmén,0.03,0.03,66.67,0.38,0.03,0
55,,Taha  Ali,0.2,0.13,55.97,1.3,0,0
56,,Andri Fannar Baldursson,0,0,44.44,0.82,0,0
57,,Magnus Eriksson,0.03,0,35.71,1.31,0,0
58,,Jamie Roche,0.14,0,66.67,1.07,0,0
59,,Henrik Castegren,0.06,0.06,0,0.41,0.06,0
60,,Jonathan Rasheed,0,0,0,0,0,0
61,,Momodou Sonko,0.3,0.09,53.23,2,0,0
62,,Robert Gojani,0,0,78.57,0.43,0,0
63,,Elias Andersson,0,0,61.54,0.81,0,0
64,,Sotirios Papagiannopoulos,0.04,0,70,0.46,0,0
65,,Elias Kristoffersen Hagen,0.07,0.13,83.33,1.27,0,0
66,,Oliver Berg,0.2,0.2,38.46,2.04,0,0
67,,Joakim Persson,0.38,0.38,51.61,2.15,0.04,0
68,,Lars Saetra,0.1,0.03,100,0.48,0.1,0
69,,Oscar Jansson,0,0,0,0,0,0
70,,Adam Stahl,0.1,0.03,50,1.07,0.03,0
71,,Lasse Berg Johnsen,0,0,80,0.31,0,0
72,,Douglas Bergqvist,0,0,100,0,0,0
73,,Alexander Bernhardsson,0.33,0.22,47.27,2.22,0,0
74,,Emmanuel Boateng,0.05,0,73.68,1.36,0,0
75,,Gustav Engvall,0.42,0.15,51.24,1.65,0,0
76,,Alexander Lundin,0,0,33.33,0,0,0
77,,Lasse Nielsen,0,0,100,0.24,0,0
78,,Ludvig Fritzson,0.18,0.04,55.56,1.54,0.07,0
79,,Niklas Moisander,0,0,100,0.2,0,0
80,,Tesfaldet Tekie,0.13,0.06,64.29,1.56,0,0
81,,Martin Olsson,0.05,0.05,66.67,0.5,0,0
82,,Amir Al Ammari,0.03,0,55,1.14,0.03,0
83,,Hákon Rafn Valdimarsson,0,0,0,0,0,0
84,,Bilal Hussein,0.05,0,37.5,1.47,0,0
85,,Kevin Ackermann,0.11,0,63.64,0.64,0,0
86,,Shaquille Pinas,0,0,78.57,0.67,0,0
87,,Noah Persson,0,0,61.54,0.5,0,0
88,,Joseph Baffo,0,0,0,0.1,0,0
89,,Alexander Jensen,0.07,0,57.58,1.03,0,0
90,,Erick Otieno,0.04,0.04,71.79,0.85,0.04,0
91,,Edward Chilufya,0.63,0.5,58.33,2.25,0,0
92,,Thomas Santos,0.06,0.06,38.89,1.12,0,0
93,,Rui Modesto,0.21,0.28,48.28,1.76,0.03,0
94,,Emin Grozdanic,0,0.03,50,0.69,0,0
95,,Oscar Wendt,0.04,0.04,63.64,0.32,0,0
96,,Adam Carlén,0.14,0.04,62.5,0.96,0,0
97,,Kolbeinn Thordarson,0,0.1,64.71,1.2,0,0
98,,Victor Eriksson,0,0.07,100,0.38,0,0
99,,Anton Tinnerholm,0,0,50,0,0,0
100,,Benjamin Hansen,0,0,100,0.2,0,0
101,,Gustav Henriksson,0,0,100,0.6,0,0
102,,Oliver Dovin,0,0,0,0,0,0
103,,Dennis Widgren,0.04,0.04,60.71,0.25,0,0
104,,Gustav Svensson,0.04,0.04,83.33,0.62,0.04,0
105,,Sebastian Ohlsson,0.27,0.13,61.54,0.87,0,0
106,,Timothy Ouma,0,0,100,0.25,0,0
107,,Valgeir Lunddal,0,0,65.91,0.73,0,0
108,,Gustav Granath,0.08,0.08,72.22,0.64,0,0
109,,Marco Bustos,0.17,0.06,41.18,0.83,0,0
110,,Ricardo Friedrich,0,0,100,0,0,0
111,,Hampus Finndell,0.21,0,50,1.38,0,0
112,,Mads Thychosen,0.19,0,53.33,0.88,0,0
113,,Michael Baidoo,0.18,0.07,56.9,1.64,0,0
114,,Mileta Rajović,0.35,0.35,35.71,2.3,0.1,0
115,,Luke Le Roux,0.12,0.06,68.42,0.94,0.06,0
116,,Niklas Hult,0.03,0,48.57,0.34,0,0
117,,Marc Llinares,0,0.09,40,0.27,0,0
118,,Seid Korac,0.04,0.08,66.67,0.24,0,0
119,,Pilip Vaitsiakhovich,0,0,0,0,0,0
