#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Nahir Besara,0.83,0.38,0,0.38,0,0.72
2,,Jacob Ondrejka,0.5,0.42,0,0.42,0,0.83
3,,Anton Saletros,1.69,1.25,0,1.13,0,1.63
4,,Lars Olden Larsen,1.25,0.42,0,0.67,0,1.08
5,,Arnór Sigurðsson,1,0.2,0,0.5,0,1.2
6,,Sebastian Nanasi,1.17,0.52,0,0.52,0,0.55
7,,Anders Christiansen,1,0.63,0,0.38,0,0.63
8,,Mikkel Rygaard Jensen,1.1,0.45,0,0.79,0,1.31
9,,Simon Skrabb,2.17,0.9,0,0.67,0,1.13
10,,Even Hovland,0.81,1.15,0,3.19,0.04,0.26
11,,Samuel Gustafson,0.93,1.03,0,0.83,0,1.17
12,,Maudo Jarjué,0,2,0,0,0,0
13,,Marcus Danielson,1,2.07,0.03,3.52,0,0.21
14,,Benie Traore,0.5,0.29,0,0.14,0,1.07
15,,Zeidane Inoussa,1.5,1.1,0,0.5,0,0.3
16,,Busanello,2.04,1.77,0,0.69,0,0.73
17,,Sergio Peña,2.93,1.38,0,0.66,0,1.34
18,,Adam Ingi Benediktsson,0,0,0,0.71,0,0
19,,Ioannis Pittas,0.85,0.38,0,0.08,0,0.62
20,,Daniel Stensson,2.19,1.04,0,0.67,0,1.15
21,,Samuel Leach Holm,1.67,1.52,0,1.15,0,1.04
22,,Arbnor Mucolli,1.29,0.71,0,0.41,0,0.71
23,,Hugo Larsson,1.08,2.25,0,0.92,0,0.67
24,,Johan Larsson,0.97,1.1,0,1.72,0,1.14
25,,Jeppe Okkels,1.03,0.53,0,0.33,0,0.93
26,,Marcus Mathisen,1.42,1.58,0,5.42,0.08,0.25
27,,Amor Layouni,0.86,0.21,0,0.07,0,0.64
28,,Rasmus Schüller,3.35,1.61,0.04,0.61,0,1.74
29,,Ismet Lushaku,1.8,0.8,0,0.4,0,0.88
30,,Arnór Traustason,1.46,2.04,0,1.96,0,0.89
31,,Viktor Đukanović,0.6,0.4,0,0.36,0,0.52
32,,Carl Gustafsson,1.25,1.5,0,3.75,0,0.5
