#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Nahir Besara,0.1,0,35.29,54.43,1.34,0.28
2,,Jacob Ondrejka,0.17,0,68.18,42.97,0.42,1.58
3,,Anton Saletros,0.13,0,42.86,46.51,0.75,0.94
4,,Lars Olden Larsen,0,0,33.33,40.22,0.58,1.33
5,,Arnór Sigurðsson,0.3,0,60,56.83,3.5,1.6
6,,Sebastian Nanasi,0,0,45,52.3,1.14,0.72
7,,Anders Christiansen,0.25,0,66.67,50.68,2.63,2.13
8,,Mikkel Rygaard Jensen,0.1,0,44.44,41.37,1.34,1.21
9,,Simon Skrabb,0.07,0,35.82,47.94,1.97,1.63
10,,Even Hovland,0.07,0,66.96,65.54,0.44,0.56
11,,Samuel Gustafson,0.07,0.03,65.71,55.5,1.66,0.69
12,,Maudo Jarjué,0,0,100,66.67,0,1
13,,Marcus Danielson,0.07,0,72.99,69.47,0.52,0.69
14,,Benie Traore,0,0,30.43,33.33,1.29,1.43
15,,Zeidane Inoussa,0.1,0,55.56,51.91,1.7,2
16,,Busanello,0.31,0,40,54.55,1.62,1.35
17,,Sergio Peña,0.21,0,62.86,55.86,1.45,1.45
18,,Adam Ingi Benediktsson,0,0,100,100,0.29,0
19,,Ioannis Pittas,0.08,0,33.96,42.47,1.92,0.92
20,,Daniel Stensson,0.3,0.04,43.08,47.73,1.63,2.26
21,,Samuel Leach Holm,0.15,0,52.94,53.63,1.15,0.78
22,,Arbnor Mucolli,0.06,0,22.58,42.54,2.12,1.82
23,,Hugo Larsson,0.17,0,30.77,44.44,0.33,0.5
24,,Johan Larsson,0.03,0,56.14,45.35,0.38,0.97
25,,Jeppe Okkels,0.07,0,37.5,45.05,0.53,0.93
26,,Marcus Mathisen,0.08,0,75.93,65,0.25,1.42
27,,Amor Layouni,0.07,0,29.41,45.79,0.93,0.64
28,,Rasmus Schüller,0.39,0,40.82,53.33,0.65,1.3
29,,Ismet Lushaku,0.28,0,57.14,57.02,1.32,1.16
30,,Arnór Traustason,0.25,0,57.32,51.11,1.29,1.14
31,,Viktor Đukanović,0.08,0,44.83,50.92,1.56,0.56
32,,Carl Gustafsson,0,0,57.14,67.65,2.75,1
33,,Simon Gustafson,0.09,0,57.14,53.41,2.09,0.64
34,,Oscar Johansson,0,0,32.26,48.34,0.93,0.73
35,,Samuel Dahl,0.15,0,35.29,58.56,0.85,0.62
36,,Johan Hammar,0.08,0,83.72,74.29,0.23,0.62
37,,Wessam Abou Ali,0.13,0,40.74,43.39,1.81,1.5
38,,Gustaf Lagerbielke,0.25,0,63.54,59.35,0.75,0.88
39,,Derek Cornelius,0.16,0,59.05,59.31,1.48,1.16
40,,Tom Pettersson,0.04,0,57.27,60.32,1.33,0.83
41,,Alexander Milošević,0.25,0,67.82,69.33,0.88,0.58
42,,Isaac Kiese Thelin,0.07,0,49.63,41.2,0.5,1.21
43,,Aiham Ousou,0.14,0.14,74.19,64.91,1.14,1.14
44,,Pontus Jansson,0.2,0,68.75,65.74,0.53,0.87
45,,Stefano Vecchia,0.04,0,14.29,57.64,1.7,0.65
46,,Oscar Pettersson,0.03,0,20,39.73,0.27,0.27
47,,André Rømer,0.25,0,50,55.12,1.88,1
48,,Eliton Júnior,0.25,0,44.44,41.15,1.13,1.81
49,,Tobias Carlsson,0.09,0,76,63.08,0.55,1
50,,Ismael Diawara,0,0,0,0,0,0
51,,Diego Campos,0.11,0,35.29,56.25,2.07,0.48
