#,Team,Name
1,,Adam Ingi Benediktsson
2,,Ismael Diawara
3,,Jonathan Rasheed
4,,Oscar Jansson
5,,Alexander Lundin
6,,Hákon Rafn Valdimarsson
7,,Oliver Dovin
8,,Ricardo Friedrich
9,,Pilip Vaitsiakhovich
10,,Peter Abrahamsson
11,,David Olsson
12,,Marko Johansson
13,,Pontus Dahlberg
14,,Malkolm Nilsson
15,,Noel Tornqvist
16,,Sondre Rossbach
17,,Jacob Widell Zetterström
18,,Filip Sidklev
19,,Davor Blažević
20,,Johan Dahlin
21,,Kristoffer Nordfeldt
22,,Jakob Tånnander
23,,David Mitov Nilsson
24,,Stojan Lukić
25,,Jonas Olsson
26,,Tim Rönning
27,,Malte Pahlsson
28,,Tommi Vaiho
29,,Jakob Kindberg
30,,Lukas Hägg Johansson
31,,Andre Picornell
32,,Fredrik Andersson
33,,Oscar Linnér
