#,Team,Name
1,,Nahir Besara
2,,Anders Christiansen
3,,Mikkel Rygaard Jensen
4,,Even Hovland
5,,Marcus Danielson
6,,Johan Larsson
7,,Amor Layouni
8,,Rasmus Schüller
9,,Tom Pettersson
10,,Alexander Milošević
11,,Isaac Kiese Thelin
12,,Pontus Jansson
13,,Sebastian Holmén
14,,Magnus Eriksson
15,,Jonathan Rasheed
16,,Robert Gojani
17,,Sotirios Papagiannopoulos
18,,Lars Saetra
19,,Oscar Jansson
20,,Alexander Lundin
21,,Lasse Nielsen
22,,Niklas Moisander
23,,Martin Olsson
24,,Joseph Baffo
25,,Oscar Wendt
26,,Anton Tinnerholm
27,,Gustav Svensson
28,,Niklas Hult
29,,Pilip Vaitsiakhovich
30,,Christoffer Nyman
31,,Mads Fenger
32,,Peter Abrahamsson
33,,Vito Hammershøj-Mistrati
34,,Jimmy Durmaz
35,,Romarinho
36,,Marcus Berg
37,,David Löfquist
38,,Loret Sadiku
39,,Andreas Johansson
40,,Emil Salomonsson
41,,Phil Ofosu-Ayeh
42,,Joel Allansson
43,,Haris Radetinac
44,,Johan Martensson
45,,Niklas Gunnarsson
46,,Rasmus Sjöstedt
47,,Simon Thern
48,,Joeri de Kamps
49,,Johan Dahlin
50,,André Calisir
51,,Kristoffer Nordfeldt
52,,Nikola Vasic
53,,Per Frick
54,,Leonard Žuta
55,,Marcus Olsson
56,,Maic Sema
57,,Joakim Lindner
58,,Rebin Sulaka
59,,David Mitov Nilsson
60,,Joseph-Claude Gyau
61,,Stojan Lukić
62,,Tobias Sana
63,,Sebastian Eriksson
64,,Søren Rieks
65,,Viktor Agardius
66,,John Guidetti
67,,Freddy Winst
68,,Ola Kamara
69,,Oscar Lewicki
70,,Tommi Vaiho
71,,Oskar Sverrisson
72,,Gustav Sandberg Magnusson
73,,Ari Freyr Skúlason
74,,Fredrik Andersson
75,,Pierre Bengtsson
