#,Team,Name,Appearances
1,,Wilfried Kanga,2
2,,Jordan Lefort,2
3,,Serif Berbić,1
4,,Miroslav Stevanović,34
5,,Noah De Queiroz,1
6,,Edin Omeragić,1
7,,Lukas Watkowiak,4
8,,Max Meyer,28
9,,David von Ballmoos,15
10,,Renato Steffen,28
11,,Jordi Quintillà,35
12,,Tosin Aiyegun,27
13,,Fabian Rieder,33
14,,Martin Frýdek,28
15,,Cédric Itten,31
16,,Jean-Pierre Nsame,33
17,,Lukas Görtler,30
18,,Blerim Džemaili,21
19,,Jérémy Guillemenot,32
20,,Arnau Comas,13
21,,Chris Bedia,22
22,,Zeki Amdouni,32
23,,Živko Kostadinović,2
24,,Emmanuel Latte Lath,31
25,,Marco Burch,25
26,,Žan Celar,30
27,,Cheick Oumar Conde,30
28,,Fabian Lustenberger,26
29,,Anto Grgić,31
30,,Hayao Kawabe,33
31,,Vincent Sierro,15
32,,Patrick Pflücke,35
33,,Fabian Schubert,8
34,,Timothé Cognat,33
35,,Kastriot Imeri,27
36,,Ismajl Beka,21
37,,Anthony Baron,17
38,,Daouda Guindo,15
39,,Fabian Frei,23
40,,Ousmane Doumbia,35
41,,Cedric Zesiger,31
42,,Nicky Medja Beloko,29
43,,Kasim Adams,28
44,,Ignacio Aliseda,23
45,,Mario Balotelli,18
46,,Dejan Sorgić,22
47,,David Douline,18
48,,Pius Dorn,33
49,,Tsiy William Ndenge,27
50,,Denis Will Poha,30
51,,Christian Fassnacht,29
52,,Mohamed Camara,12
53,,Ardon Jashari,33
54,,Cheikh Niasse,26
55,,Riccardo Calafiori,23
56,,Steve Rouiller,22
57,,Gaël Clichy,26
58,,Ibrahima Ndiaye,3
59,,Reto Ziegler,25
60,,Guilherme Schettine,19
61,,Filip Ugrinić,29
62,,Anthony Racioppi,19
63,,Aurele Amenda,16
64,,Milton Valenzuela,30
65,,Tomás Ribeiro,27
66,,Ulisses Garcia,27
67,,André Moreira,28
68,,Ole Selnaes,16
69,,Dominik Schmid,34
70,,Jonathan Sabbatini,35
71,,Christian Gentner,10
72,,Luuk Breedijk,6
73,,Pascal Loretz,7
74,,Marius Müller,25
75,,Nikola Boranijašević,33
76,,Chadrac Akolo,32
77,,Yoan Severin,27
78,,Mohamed El Amine Amoura,31
79,,Nicolas Vouilloz,30
80,,Sandro Lauper,20
81,,Kreshnik Hajrizi,19
82,,Pascal Schürpf,29
83,,Mattia Bottani,26
84,,Michael Kempter,10
85,,Nikola Katić,22
86,,Mirlind Kryeziu,14
87,,Jonathan Okita,29
88,,Roman Macek,29
89,,Sergio López,21
90,,Ronny Rodelin,24
91,,Isaac Schmidt,29
92,,Matteo Di Giusto,35
93,,Bogdan Viunnyk,7
94,,Matej Maglica,31
95,,Lars Lukas Mai,19
96,,Moussa Diallo,15
97,,Andi Zeqiri,30
98,,Darian Maleš,28
99,,Wouter Burger,30
100,,Amir Saipi,28
101,,Lawrence Ati,33
102,,Jeremy Frick,34
103,,Dan Ndoye,32
104,,Renat Dadaşov,34
105,,Albian Hajdari,18
106,,Bendegúz Bolla,33
107,,Marvin Keller,3
108,,Noah Katterbach,6
109,,Roko Šimić,16
110,,Adrian Gantenbein,23
111,,Meschack Elia,31
112,,Ylyas Chouaref,32
113,,Theo Valls,25
114,,Loris Benito,19
115,,Francis Momoh,11
116,,Julian Von Moos,21
117,,Lewin Blum,31
118,,Joaquín Ardaiz,31
119,,Giovanni Sio,27
120,,Quentin Maceiras,7
121,,Francisco Jose Rodriguez,23
122,,Kevin Mbabu,15
123,,Marwin Hitz,32
124,,Adrián Guerrero,28
125,,Christián Herc,32
126,,Ifeanyi Mathew,13
127,,Jhon Espinoza,16
128,,Nasser Djiga,1
129,,Gezim Pepsi,1
130,,Issa Kaloga,1
131,,Victor Ruiz,2
132,,Emmanuel Essiam,4
133,,Filip Stojilković,18
134,,Markus Kuster,20
135,,Musa Araz,31
136,,Enzo Crivelli,18
137,,Nathanaël Saintini,27
138,,Hussayn Touati,10
139,,Samba Diba,14
140,,Denis Simani,22
141,,Georg Margreitter,17
142,,Samir Ramizi,25
143,,Dereck Kutesa,28
144,,Yanick Brecher,34
145,,Bradley Fink,25
146,,Vaso Vasić,3
147,,Antonio Marchesano,33
148,,Itaitinga,28
149,,Basil Stillhart,26
150,,Jakub Kadák,10
151,,Giotto Morandi,32
152,,Moritz Bauer,10
153,,Sofyan Chader,21
154,,Liam Millar,26
155,,Lindrit Kamberi,32
156,,Noah Loosli,30
157,,Joel Schmied,24
158,,Chinwendu Johan Nkama,3
159,,Maren Haile-Selassie,15
160,,Fidan Aliti,29
161,,Andy Pelmard,34
162,,Asumah Abubakar,28
163,,Shkelqim Demhasaj,13
164,,Justin Hammel,9
165,,Karol Mets,13
166,,Roy Gelmi,23
167,,Petar Pušić,34
168,,Dimitri Cavaré,24
169,,Taulant Xhaka,20
170,,Kevin Rüegg,10
171,,Hicham Mahou,18
172,,Christian Witzig,32
173,,Lorik Emini,6
174,,Nicolas Moumie Ngamaleu,7
175,,Leonidas Stergiou,35
176,,Meritan Shabani,26
177,,Noe Holenstein,8
178,,Stefano Guidotti,9
179,,Michael Lang,27
180,,Uran Bislimi,30
181,,Mauricio Willimann,1
182,,Valton Behrami,1
183,,Diogo Monteiro,3
184,,Alexandre Jankewitz,3
185,,Sebastian Osigwe,7
186,,Mickaël Facchinetti,9
187,,Gaetan Karlen,19
188,,Heinz Lindner,28
189,,Hugo Novoa Ramos,12
190,,Alexis Antunes,27
191,,Ayumu Seko,31
192,,Yassin Fortune,7
193,,Granit Lekaj,27
194,,Roman Buess,34
195,,Kevin Bua,28
196,,Adrian Durrer,4
197,,Mamadou Kaly Sene,5
198,,Severin Ottiger,12
199,,Alessandro Kräuchi,5
200,,Timothy Fayulu,11
201,,Albert Vallci,22
202,,Remo Arnold,28
203,,Bećir Omeragić,23
204,,Allan Arigoni,26
205,,Andy Diouf,34
206,,Donat Rrudhani,25
207,,Gora Diouf,6
208,,Mirko Salvi,6
209,,Luca Jaquez,9
210,,Ádám Szalai,5
211,,Fabio Daprelà,25
212,,Mohamed Dräger,30
213,,Eris Abedini,27
214,,Benjamin Mbunga-Kimpioka,6
215,,Calixte Ligue,9
216,,Gregory Karlen,20
217,,Mohamed Haj Mahmoud,19
218,,Filipe de Carvalho Ferreira,18
219,,Boubacar Fofana,22
220,,Yannick Schmid,24
221,,Théo Magnin,8
222,,Wylan Cyprien,18
223,,Noha Ndombasi Nlandu,11
224,,Jean-Kévin Augustin,20
225,,Alessio Besio,4
226,,Numa Lavanchy,33
227,,Marc Hornschuh,19
228,,Boris Babić,26
229,,Nishan Burkart,24
230,,Luca Zuffi,20
231,,Selmin Hodza,6
232,,Joel Monteiro,28
233,,Hekuran Kryeziu,23
234,,Boris Cespedes,16
235,,Anton Kade,18
236,,Ricardo Azevedo Alves,13
237,,Souleymane Diaby,30
238,,Sayfallah Ltaief,21
239,,Mihailo Stevanović,1
240,,Ilyes Chaibi,2
241,,Andrea Padula,2
242,,Samuele Campo,9
243,,Amir Abrashi,27
244,,Kevin Halabaku,20
245,,Neftali Manzambi,19
246,,Donis Avdijaj,7
247,,Michael Gonçalves,26
248,,Lei Li,6
249,,Thibault Klidje,14
250,,Baltazar Costa,26
251,,Tobias Schättin,26
252,,Kevin Fickentscher,3
253,,Samuel Ballet,20
254,,Thibault Corbaz,27
255,,Willem Geubbels,17
256,,Miguel Changa Chaiwa,6
257,,Randy Schneider,14
258,,Lars Villiger,11
259,,Alexandre Dias Patricio,3
260,,Sang-bin Jeong,7
261,,Stephan Seiler,13
262,,Dimitri Oberlin,4
263,,Florian Kamberi,13
264,,Wilfried Gnonto,6
265,,Dennis Iapichino,15
266,,Bledian Krasniqi,32
267,,Fabian Rohner,27
268,,Aaron Akale,1
269,,Noah Rupp,1
270,,Baba Souare,2
271,,Leon Dajaku,12
272,,Mamady Diambou,12
273,,Nadjack,7
274,,Akaki Gogia,2
275,,Dion Kacuri,13
276,,Patrick Sutter,24
277,,Leny Meyer,4
278,,Nando Toggenburg,4
279,,Sidiki Camara,2
280,,Laurin Vogele,2
281,,Jose Aguilar Martinez,2
282,,François Moubandje,4
283,,Fabrizio Cavegn,4
284,,Carmine Chiappetta,6
285,,Abdel Rachid Zagré,6
286,,Varol Tasar,3
287,,Daniel Afriyie,2
288,,Alexandros Safarikas,6
289,,Teruki Hara,12
290,,Jozef Pukaj,6
291,,Adriano Onyegbule,1
292,,Florian Hoxha,2
293,,Ivan Santini,11
294,,Hugo Vogel,3
295,,Ruben Dantas,1
296,,Marvin Akahomen,2
297,,Ramon Guzzo,1
298,,Alessandro Casciato,1
299,,Gilles Richard,1
300,,Johann Angstmann,1
301,,Noah Blasucci,2
