#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Wilfried Kanga,1.5,0.5,100,3.5,0.5,0
2,,Jordan Lefort,0,0,100,0,0,0
3,,Serif Berbić,0,0,0,0,0,0
4,,Miroslav Stevanović,0.26,0.26,42.37,1.97,0.09,0
5,,Noah De Queiroz,1,0,0,1,1,0
6,,Edin Omeragić,0,0,0,0,0,0
7,,Lukas Watkowiak,0,0,0,0,0,0
8,,Max Meyer,0.36,0.18,60.87,2.18,0,0
9,,David von Ballmoos,0,0,0,0,0,0
10,,Renato Steffen,0.25,0.07,57.69,1.57,0,1.19
11,,Jordi Quintillà,0.03,0,70,1.23,0,0
12,,Tosin Aiyegun,0.44,0.19,65.22,2.41,0.07,0
13,,Fabian Rieder,0.21,0.06,54.9,1.61,0.03,0.43
14,,Martin Frýdek,0.11,0,60.71,0.54,0,1.43
15,,Cédric Itten,0.61,0.1,40,2.61,0.13,0
16,,Jean-Pierre Nsame,0.64,0.3,47.83,2.12,0.18,0
17,,Lukas Görtler,0.3,0.13,60,2.23,0,0
18,,Blerim Džemaili,0.24,0.1,58.33,1.38,0,0
19,,Jérémy Guillemenot,0.34,0.13,23.68,2.28,0.03,0.52
20,,Arnau Comas,0.15,0,16.67,0.46,0.08,0
21,,Chris Bedia,0.55,0.23,65.22,2.36,0,0
22,,Zeki Amdouni,0.38,0.22,50,2.28,0.09,0
23,,Živko Kostadinović,0,0,0,0,0,0
24,,Emmanuel Latte Lath,0.45,0.29,52.94,2.42,0.1,0
25,,Marco Burch,0.12,0.16,66.67,0.96,0.08,0
26,,Žan Celar,0.53,0.23,59.09,3,0.1,0
27,,Cheick Oumar Conde,0.03,0,65.67,0.57,0,0
28,,Fabian Lustenberger,0,0,100,0.23,0,0
29,,Anto Grgić,0.06,0.06,47.62,0.97,0,0
30,,Hayao Kawabe,0.27,0.06,45.45,1.12,0.03,3.03
31,,Vincent Sierro,0.07,0.07,77.78,0.87,0,0
32,,Patrick Pflücke,0.17,0.11,45.16,2.03,0,0
33,,Fabian Schubert,0.38,0.38,100,2.88,0,0
34,,Timothé Cognat,0.06,0.03,58.02,0.79,0,0
35,,Kastriot Imeri,0.19,0.15,34.29,1.26,0,0
36,,Ismajl Beka,0.05,0.1,80,1.05,0,0
37,,Anthony Baron,0,0,75,0.24,0,0
38,,Daouda Guindo,0.07,0,50,0.93,0,0
39,,Fabian Frei,0.04,0,66.67,0.57,0,0
40,,Ousmane Doumbia,0.06,0,65.57,0.8,0,0
41,,Cedric Zesiger,0.06,0.03,50,0.48,0.03,0
42,,Nicky Medja Beloko,0.07,0.07,52.11,0.83,0,0
43,,Kasim Adams,0.04,0,66.67,0.39,0.04,0
44,,Ignacio Aliseda,0.35,0.13,53.95,1.57,0,0
45,,Mario Balotelli,0.33,0.17,50,2.94,0,0
46,,Dejan Sorgić,0.36,0.27,72.22,1.09,0.09,0
47,,David Douline,0.06,0.06,52.38,0.89,0.06,0
48,,Pius Dorn,0.12,0.03,49.28,1.21,0.03,0
49,,Tsiy William Ndenge,0.15,0.04,60,0.63,0,0.74
50,,Denis Will Poha,0.03,0.03,68.18,0.97,0,0
