#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Wilfried Kanga,0.5,0.5,0,1.5,0,0
2,,Jordan Lefort,1,2.5,0,3,0,0
3,,Serif Berbić,0,0,0,1,0,0
4,,Miroslav Stevanović,1.82,0.65,0,0.88,0,1.06
5,,Noah De Queiroz,0,0,0,1,0,0
6,,Edin Omeragić,0,0,0,2,0,0
7,,Lukas Watkowiak,0,0,0,0.75,0,0
8,,Max Meyer,1.36,0.54,0,0.43,0,0.89
9,,David von Ballmoos,0,0,0,0.6,0,0
10,,Renato Steffen,0.79,0.39,0,0.43,0,0.57
11,,Jordi Quintillà,1.51,0.91,0,0.94,0,1.23
12,,Tosin Aiyegun,0.67,0.15,0,0.59,0,0.26
13,,Fabian Rieder,2.21,0.88,0,0.39,0.06,1.73
14,,Martin Frýdek,2.07,1.39,0.07,1.39,0,1.14
15,,Cédric Itten,0.26,0.13,0.03,0.42,0,0.26
16,,Jean-Pierre Nsame,0.21,0.09,0,0.33,0,0.18
17,,Lukas Görtler,1.63,0.93,0.03,0.7,0,1.87
18,,Blerim Džemaili,1.19,0.48,0,0.29,0,0.76
19,,Jérémy Guillemenot,1,0.25,0,0.22,0,0.41
20,,Arnau Comas,1.08,1.62,0,2.62,0,0.15
21,,Chris Bedia,0.55,0.18,0,0.27,0,0.27
22,,Zeki Amdouni,0.88,0.22,0,0.38,0,0.44
23,,Živko Kostadinović,0,0,0,0.5,0,0
24,,Emmanuel Latte Lath,0.68,0.19,0,0.23,0,0.16
25,,Marco Burch,1.2,1.44,0,3.8,0.08,0.56
26,,Žan Celar,0.13,0.07,0,0.3,0,0.13
27,,Cheick Oumar Conde,3.27,2.03,0.03,0.9,0.03,0.83
28,,Fabian Lustenberger,1.31,1.19,0.08,2.5,0,0.46
29,,Anto Grgić,1.58,1.06,0,1.61,0,1.1
30,,Hayao Kawabe,1.52,0.76,0,0.58,0.03,0.76
31,,Vincent Sierro,2.07,0.6,0.07,0.6,0,1.13
32,,Patrick Pflücke,0.86,0.4,0,0.2,0,0.97
33,,Fabian Schubert,0.75,0.13,0,0.5,0,0.63
34,,Timothé Cognat,1.39,1.55,0,0.79,0,1.03
35,,Kastriot Imeri,0.93,0.37,0,0.26,0,0.78
36,,Ismajl Beka,1.95,2.29,0.05,4.1,0,0.9
37,,Anthony Baron,1.35,1.18,0,1.71,0,0.71
38,,Daouda Guindo,1.87,2.33,0.07,1.27,0,0.6
39,,Fabian Frei,1.09,1.13,0.04,1.61,0.04,0.7
40,,Ousmane Doumbia,2.17,1.17,0,1.71,0,0.77
41,,Cedric Zesiger,1.03,1.42,0,3.55,0,0.61
42,,Nicky Medja Beloko,3.69,1.69,0.03,1.21,0,1.34
43,,Kasim Adams,0.93,1.39,0.07,3.86,0.04,0.43
44,,Ignacio Aliseda,0.22,0.17,0,0.04,0,0.22
45,,Mario Balotelli,0.17,0.11,0,1,0,0
46,,Dejan Sorgić,1,0.14,0,0.18,0,0.41
47,,David Douline,3.11,1.72,0,1.83,0,1.17
48,,Pius Dorn,1.94,0.67,0.03,1.3,0,1.09
49,,Tsiy William Ndenge,1.19,2.11,0,1.26,0,0.44
50,,Denis Will Poha,1.23,1.1,0.03,0.47,0,0.57
51,,Christian Fassnacht,1.86,0.79,0,0.62,0,1.24
52,,Mohamed Camara,1.08,1.25,0.08,2.92,0,0.08
53,,Ardon Jashari,1.48,0.91,0,0.85,0,0.64
54,,Cheikh Niasse,1.73,1.88,0,0.92,0,0.62
55,,Riccardo Calafiori,2,1.65,0.04,2.17,0.04,0.43
56,,Steve Rouiller,1,1.27,0.05,2.95,0,0.41
57,,Gaël Clichy,1.31,1.62,0,2.19,0.04,0.92
58,,Ibrahima Ndiaye,0,1,0,0,0,0
59,,Reto Ziegler,0.96,1.44,0.08,2.72,0.04,0.56
60,,Guilherme Schettine,0.47,0.11,0,0.32,0,0.11
61,,Filip Ugrinić,1.24,0.52,0,0.38,0,0.55
62,,Anthony Racioppi,0.05,0,0,0.47,0,0.05
63,,Aurele Amenda,0.88,1.13,0,3.44,0,0.25
64,,Milton Valenzuela,2.2,1.23,0,1.67,0.03,1.03
65,,Tomás Ribeiro,1.19,1.19,0.04,4.59,0,0.37
66,,Ulisses Garcia,1.52,0.81,0,0.78,0.04,0.78
67,,André Moreira,0,0.04,0,0.75,0.07,0.04
68,,Ole Selnaes,1.25,0.75,0,0.56,0,0.44
69,,Dominik Schmid,1.65,1.65,0.06,2.68,0,0.5
70,,Jonathan Sabbatini,1.69,1.23,0,1.23,0,1.14
71,,Christian Gentner,0.7,0.6,0,0.2,0,0.5
72,,Luuk Breedijk,0.83,0.33,0,0.33,0,0.33
73,,Pascal Loretz,0,0,0.14,0.86,0,0
74,,Marius Müller,0,0,0,1,0,0
75,,Nikola Boranijašević,2.27,1.12,0,1.79,0,1.15
76,,Chadrac Akolo,0.47,0.09,0,0.13,0,0.53
77,,Yoan Severin,1.11,1.15,0,3.15,0.04,0.04
78,,Mohamed El Amine Amoura,0.9,0.45,0,0.26,0,0.87
79,,Nicolas Vouilloz,1.6,1.33,0.03,3.6,0,0.63
80,,Sandro Lauper,1.85,1.2,0,0.7,0.05,1.15
81,,Kreshnik Hajrizi,1.47,1.16,0,3.53,0.05,0.89
82,,Pascal Schürpf,1.14,0.41,0,0.79,0,1.07
83,,Mattia Bottani,0.5,0.62,0,0.15,0,0.5
84,,Michael Kempter,2.6,1.2,0,1.2,0,0.3
85,,Nikola Katić,1.59,1.32,0.05,4.68,0,0.55
86,,Mirlind Kryeziu,1.14,0.86,0,4.79,0,0.57
87,,Jonathan Okita,0.45,0.1,0,0.03,0,0.48
88,,Roman Macek,0.83,0.66,0,0.62,0,0.59
89,,Sergio López,1.05,0.62,0,1.43,0,0.71
90,,Ronny Rodelin,0.71,0.21,0,0.46,0,0.29
91,,Isaac Schmidt,2.52,1.38,0,0.86,0,0.83
92,,Matteo Di Giusto,1.31,0.63,0,0.26,0,1.31
93,,Bogdan Viunnyk,0.29,0,0,0.14,0,0.14
94,,Matej Maglica,1.61,1.23,0,4.55,0.03,0.81
95,,Lars Lukas Mai,2.16,0.79,0.05,3.79,0,0.95
96,,Moussa Diallo,1.8,1.47,0,1.53,0,0.6
97,,Andi Zeqiri,0.37,0.03,0,0.2,0,0.4
98,,Darian Maleš,0.5,0.25,0.04,0.39,0,0.39
99,,Wouter Burger,1.63,0.83,0,1.27,0,0.6
100,,Amir Saipi,0,0,0,0.5,0,0
101,,Lawrence Ati,0.03,0.06,0.06,0.73,0.03,0.06
102,,Jeremy Frick,0.03,0,0.03,0.91,0.03,0.03
103,,Dan Ndoye,1.59,0.28,0,0.41,0,1.03
104,,Renat Dadaşov,0.82,0.12,0,0.38,0,0.53
105,,Albian Hajdari,0.83,1.17,0,2.56,0,0.33
106,,Bendegúz Bolla,1.88,0.94,0,2.27,0,0.85
107,,Marvin Keller,0,0,0,0,0,0
108,,Noah Katterbach,2.5,0.33,0,2,0,1
109,,Roko Šimić,0.25,0.38,0,0.06,0,0.19
110,,Adrian Gantenbein,2.04,1.35,0,1.96,0,0.7
111,,Meschack Elia,0.52,0.1,0,0.03,0,0.16
112,,Ylyas Chouaref,1.25,0.41,0,0.41,0,0.69
113,,Theo Valls,0.56,0.32,0,0.32,0,0.44
114,,Loris Benito,1.21,0.74,0.05,1.16,0.05,0.53
115,,Francis Momoh,0.18,0.09,0,0.82,0,0.09
116,,Julian Von Moos,1.14,0.14,0,0,0,0.62
117,,Lewin Blum,1.19,0.87,0.03,1.06,0,0.74
118,,Joaquín Ardaiz,0.61,0.06,0,0.58,0,0.32
119,,Giovanni Sio,0.41,0.22,0,0.44,0,0.3
120,,Quentin Maceiras,1.71,1.14,0,1.29,0,0.71
121,,Francisco Jose Rodriguez,1.04,0.65,0,0.7,0,0.61
122,,Kevin Mbabu,2.33,1.47,0,1.13,0,1.07
123,,Marwin Hitz,0.03,0.09,0.03,0.66,0.06,0.03
124,,Adrián Guerrero,1.86,0.68,0,0.82,0,1.04
125,,Christián Herc,1.5,0.88,0.03,1.19,0,1.06
126,,Ifeanyi Mathew,2.15,1.54,0.08,1.23,0,1
127,,Jhon Espinoza,1.19,0.56,0,0.75,0,0.5
128,,Nasser Djiga,0,3,0,2,0,3
129,,Gezim Pepsi,1,1,0,0,0,0
130,,Issa Kaloga,0,0,0,0,0,0
131,,Victor Ruiz,4,1,0,1,0,2
132,,Emmanuel Essiam,1,0.75,0,0.25,0,0.5
133,,Filip Stojilković,0.33,0.11,0,0.39,0,0.28
134,,Markus Kuster,0.05,0,0,0.6,0,0.1
135,,Musa Araz,1.61,1.26,0.03,0.97,0,0.97
136,,Enzo Crivelli,0.06,0.11,0,0.33,0,0.17
137,,Nathanaël Saintini,1.15,1,0.04,3.63,0,0.56
138,,Hussayn Touati,0.5,0,0,0.1,0,0.8
139,,Samba Diba,0.86,0.5,0,0.36,0,0.36
140,,Denis Simani,1.55,1.55,0.05,4.95,0.05,0.32
141,,Georg Margreitter,0.24,0.65,0.06,3.29,0.06,0.24
142,,Samir Ramizi,1.76,0.88,0,0.76,0.04,1.36
143,,Dereck Kutesa,0.75,0.11,0,0.11,0,0.46
144,,Yanick Brecher,0,0,0,0.68,0.06,0.03
145,,Bradley Fink,0.08,0.04,0,0.36,0,0.12
146,,Vaso Vasić,0,0,0,0.33,0,0
147,,Antonio Marchesano,1.03,0.33,0,0.21,0,0.67
148,,Itaitinga,0.71,0.18,0,0.64,0,0.25
149,,Basil Stillhart,1.42,1.62,0,1.27,0,1.58
150,,Jakub Kadák,0.9,0.2,0,0.6,0,1.1
151,,Giotto Morandi,0.66,0.16,0,0.13,0,0.13
152,,Moritz Bauer,0.9,1.1,0,0.9,0,0.1
153,,Sofyan Chader,1.05,0.29,0,0.52,0,0.14
154,,Liam Millar,0.96,0.69,0,0.46,0,0.88
155,,Lindrit Kamberi,0.81,1.72,0,2.25,0.03,0.16
156,,Noah Loosli,1.2,1.57,0.03,4.43,0.07,0.63
157,,Joel Schmied,1.63,1.71,0.08,2.96,0,0.5
158,,Chinwendu Johan Nkama,1,0.67,0,1.33,0,0
159,,Maren Haile-Selassie,0.47,0.13,0.07,0.33,0,0.4
160,,Fidan Aliti,1.52,1.28,0,2.31,0,0.79
161,,Andy Pelmard,1.26,1.03,0.03,2.74,0,0.29
162,,Asumah Abubakar,0.46,0.14,0,0.32,0,0.11
163,,Shkelqim Demhasaj,0.62,0.23,0,0.46,0,0.31
164,,Justin Hammel,0,0,0,1,0.11,0
165,,Karol Mets,0.46,1.15,0,2.15,0,0.08
166,,Roy Gelmi,1,1.17,0.04,4.39,0,0.3
167,,Petar Pušić,0.24,0.15,0,0.41,0,0.47
168,,Dimitri Cavaré,1.79,0.88,0.04,3,0,0.75
169,,Taulant Xhaka,1.3,0.75,0.05,0.6,0,0.85
170,,Kevin Rüegg,1.7,1.1,0,0.4,0,0.7
171,,Hicham Mahou,1.11,0.33,0,0.39,0,1.06
172,,Christian Witzig,1.72,0.59,0.03,0.53,0,1.34
173,,Lorik Emini,1,0.17,0.17,0,0,0.17
174,,Nicolas Moumie Ngamaleu,0.86,0.71,0,0.29,0,0.29
175,,Leonidas Stergiou,1.77,1.57,0.09,3.03,0,0.77
176,,Meritan Shabani,1.5,0.27,0,0.38,0,0.38
177,,Noe Holenstein,1.38,0.38,0,0.25,0,0.63
178,,Stefano Guidotti,0.89,0.11,0,0.33,0,0.33
179,,Michael Lang,0.93,0.52,0.04,1.52,0.04,0.52
180,,Uran Bislimi,1.1,0.27,0,0.27,0,0.6
181,,Mauricio Willimann,1,2,0,5,0,1
182,,Valton Behrami,0,0,0,1,0,0
183,,Diogo Monteiro,0.67,0.67,0,1,0,0
184,,Alexandre Jankewitz,0.67,0.33,0,0.33,0,0
185,,Sebastian Osigwe,0,0,0,0.43,0,0
186,,Mickaël Facchinetti,0.33,0.11,0.11,1,0,0
187,,Gaetan Karlen,0.21,0.11,0,0.05,0,0.16
188,,Heinz Lindner,0,0,0,0.71,0.11,0.04
189,,Hugo Novoa Ramos,0.92,0.08,0,0.08,0,0.58
190,,Alexis Antunes,1.19,0.48,0,0.15,0.04,0.41
191,,Ayumu Seko,1.06,1.42,0.03,3.9,0,0.55
192,,Yassin Fortune,0.71,0.43,0,0.43,0,0.29
193,,Granit Lekaj,0.93,1.56,0.04,5.37,0.04,0.59
194,,Roman Buess,0.26,0.09,0,0.32,0,0.38
195,,Kevin Bua,0.68,0.18,0,0.36,0,0.54
196,,Adrian Durrer,1,0.5,0,1.5,0,0.75
197,,Mamadou Kaly Sene,0.4,0,0,0.4,0,0.4
198,,Severin Ottiger,1.25,0.75,0,1.33,0,0.92
199,,Alessandro Kräuchi,0.2,0.6,0,0.2,0,0.4
200,,Timothy Fayulu,0,0,0,1.45,0.09,0.09
201,,Albert Vallci,1.5,0.41,0,2,0.05,0.55
202,,Remo Arnold,1.32,1.18,0,3.07,0,0.96
203,,Bećir Omeragić,1.3,1,0,2.65,0,0.35
204,,Allan Arigoni,1.27,0.85,0,1.62,0,0.35
205,,Andy Diouf,1.03,0.44,0,0.21,0.03,0.79
206,,Donat Rrudhani,0.76,0.12,0,0.16,0,0.48
207,,Gora Diouf,1,1.17,0,2.33,0,0.17
208,,Mirko Salvi,0,0.17,0,0,0,0
209,,Luca Jaquez,0.33,1.11,0,4.22,0,0.33
210,,Ádám Szalai,0.4,0,0,0.2,0,0.4
211,,Fabio Daprelà,0.76,0.84,0.04,2.6,0,0.36
212,,Mohamed Dräger,0.97,0.47,0,1.03,0,0.47
213,,Eris Abedini,0.78,0.59,0,1.37,0,0.41
214,,Benjamin Mbunga-Kimpioka,0.17,0.17,0,0.17,0,0
215,,Calixte Ligue,0.22,0.11,0,0.11,0,0
216,,Gregory Karlen,1.05,0.2,0,0.15,0,0.55
217,,Mohamed Haj Mahmoud,0.79,0.21,0,0.37,0,0.21
218,,Filipe de Carvalho Ferreira,0.56,0.17,0,0.28,0,0.39
219,,Boubacar Fofana,0.09,0,0,0.09,0,0.27
220,,Yannick Schmid,0.67,1.29,0,4.38,0,0.38
221,,Théo Magnin,0.38,0.5,0,0.63,0,0.38
222,,Wylan Cyprien,0.94,0.5,0,0.56,0.06,0.89
223,,Noha Ndombasi Nlandu,0.27,0.09,0,0,0,0.09
224,,Jean-Kévin Augustin,0.35,0.1,0,0.15,0,0.3
225,,Alessio Besio,0.75,0,0,0,0,0
226,,Numa Lavanchy,2.39,1.12,0.03,2.09,0,1.3
227,,Marc Hornschuh,0.63,0.58,0,1.05,0,0.37
228,,Boris Babić,0.15,0,0,0.08,0,0.04
229,,Nishan Burkart,1.13,0.75,0,1.04,0,0.63
230,,Luca Zuffi,0.8,0.3,0,0.3,0,0.15
231,,Selmin Hodza,1,0.33,0,1.33,0,0.33
232,,Joel Monteiro,0.43,0.07,0,0.18,0,0.14
233,,Hekuran Kryeziu,1.04,0.7,0,0.87,0,0.3
234,,Boris Cespedes,0.81,0.94,0,1.13,0,0.31
235,,Anton Kade,1.44,0.89,0,0.72,0,1.28
236,,Ricardo Azevedo Alves,0.85,0.46,0,0.15,0,0.23
237,,Souleymane Diaby,1.77,1.43,0,2.1,0.07,0.8
238,,Sayfallah Ltaief,1.52,0.19,0,0.43,0,1.33
239,,Mihailo Stevanović,0,0,0,0,0,0
240,,Ilyes Chaibi,0,0,0,0,0,0.5
241,,Andrea Padula,0.5,1,0,0,0,0
242,,Samuele Campo,0.67,0,0,0.22,0,0.22
243,,Amir Abrashi,1.22,0.81,0.04,0.81,0,0.7
244,,Kevin Halabaku,0.45,0.15,0,0.15,0,0.1
245,,Neftali Manzambi,0.16,0.16,0,0.26,0,0.11
246,,Donis Avdijaj,2.14,0,0,0.29,0,0.57
247,,Michael Gonçalves,1.31,1.31,0.08,1.73,0,0.73
248,,Lei Li,0.83,1.33,0,3.33,0,0.33
249,,Thibault Klidje,0.57,0.21,0,0.21,0,0.14
250,,Baltazar Costa,1.42,1.42,0.04,1.92,0,1.08
251,,Tobias Schättin,1.19,0.69,0,2.08,0,0.35
252,,Kevin Fickentscher,0,0,0,1,0,0
253,,Samuel Ballet,0.75,0.9,0,0.45,0,1.15
254,,Thibault Corbaz,0.96,0.85,0,0.48,0,0.48
255,,Willem Geubbels,0.06,0,0.06,0.18,0,0.24
256,,Miguel Changa Chaiwa,0.83,0.83,0,1,0,1
257,,Randy Schneider,0.5,0.07,0,0.07,0,0.5
258,,Lars Villiger,0.18,0,0,0.45,0,0.36
259,,Alexandre Dias Patricio,0,0,0,0,0,0
260,,Sang-bin Jeong,0,0,0,0,0,0
261,,Stephan Seiler,1,0.46,0,0.23,0,0.62
262,,Dimitri Oberlin,0.25,0.25,0,0.25,0,0
263,,Florian Kamberi,0.15,0,0,0.31,0,0.08
264,,Wilfried Gnonto,0.33,0.5,0,0.17,0,0.33
265,,Dennis Iapichino,1.47,0.33,0.07,0.93,0,0.47
266,,Bledian Krasniqi,0.56,0.22,0,0.13,0,0.38
267,,Fabian Rohner,0.22,0.15,0,0.22,0,0.15
268,,Aaron Akale,0,0,0,0,0,0
269,,Noah Rupp,0,0,0,0,0,0
270,,Baba Souare,0,0,0,0,0,0
271,,Leon Dajaku,0.5,0.17,0.08,0,0,0.33
272,,Mamady Diambou,0.92,0.25,0,0.25,0.08,0.5
273,,Nadjack,0.57,0.71,0,1.71,0,0.57
274,,Akaki Gogia,0,0,0,0.5,0,1
275,,Dion Kacuri,0,0.31,0,0.08,0,0.46
276,,Patrick Sutter,1.75,1.21,0.04,0.88,0,1.42
277,,Leny Meyer,1.5,1,0,0.5,0,2.25
278,,Nando Toggenburg,0.75,0,0,0.5,0,0
279,,Sidiki Camara,0,0,0,0,0,1
280,,Laurin Vogele,0,0,0,0,0,0.5
281,,Jose Aguilar Martinez,0.5,0,0,0,0,0
282,,François Moubandje,0.75,0.75,0,1,0,0.5
283,,Fabrizio Cavegn,0,0.25,0,0,0,0
284,,Carmine Chiappetta,0.67,0.33,0,0.17,0,0.33
285,,Abdel Rachid Zagré,0.5,0,0,1.67,0,0.17
286,,Varol Tasar,1.67,0,0,0,0,0.67
287,,Daniel Afriyie,0,0,0,0,0,0
288,,Alexandros Safarikas,0.33,0,0,0.33,0,0.17
289,,Teruki Hara,0.33,0.67,0,1.25,0,0.67
290,,Jozef Pukaj,0,0,0,0.67,0,0
291,,Adriano Onyegbule,2,0,0,0,0,2
292,,Florian Hoxha,0,0,0,0,0,0
293,,Ivan Santini,0.09,0.18,0,0,0,0.18
294,,Hugo Vogel,0.67,0.33,0,1,0,0.33
295,,Ruben Dantas,0,1,1,4,0,1
296,,Marvin Akahomen,0,1,0,2,0.5,1
297,,Ramon Guzzo,0,0,0,0,0,0
298,,Alessandro Casciato,0,0,0,0,0,0
299,,Gilles Richard,0,0,0,0,0,0
300,,Johann Angstmann,0,0,0,0,0,0
301,,Noah Blasucci,0,0,0,0,0,0
