#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Wilfried Kanga,0.5,0,33.33,54.55,1,1
2,,Jordan Lefort,0,0,50,66.67,0,0.5
3,,Serif Berbić,0,0,100,100,0,0
4,,Miroslav Stevanović,0.09,0,50.31,49.76,1.24,0.91
5,,Noah De Queiroz,0,0,50,50,0,0
6,,Edin Omeragić,0,0,0,0,0,0
7,,Lukas Watkowiak,0.25,0,0,0,0,0
8,,Max Meyer,0.25,0.04,29.17,52.6,1.5,0.5
9,,David von Ballmoos,0,0,100,100,0,0
10,,Renato Steffen,0.36,0,34.78,48.57,1.5,0.82
11,,Jordi Quintillà,0.2,0,42.62,47.54,1.34,1.26
12,,Tosin Aiyegun,0.07,0,40,50.53,0.96,0.78
13,,Fabian Rieder,0.3,0,43.59,48.19,1.3,1.42
14,,Martin Frýdek,0.18,0.04,52.63,54.47,1.25,1.46
15,,Cédric Itten,0.1,0.03,43.3,38.46,0.84,1.26
16,,Jean-Pierre Nsame,0.12,0,52.94,43.5,0.48,0.82
17,,Lukas Görtler,0.37,0.03,51.16,46.96,1.77,1.47
18,,Blerim Džemaili,0.29,0,47.06,60.15,1.57,0.62
19,,Jérémy Guillemenot,0.19,0,52.24,49.05,1.69,1
20,,Arnau Comas,0.38,0,56.52,44.87,0.54,1.69
21,,Chris Bedia,0.18,0,41.54,45.13,0.86,0.91
22,,Zeki Amdouni,0.03,0,44.94,45.03,1.09,0.63
23,,Živko Kostadinović,0.5,0,0,0,0,0
24,,Emmanuel Latte Lath,0.16,0,48.85,47.5,1.03,1
25,,Marco Burch,0.2,0,53.77,58.53,1.28,0.72
26,,Žan Celar,0.1,0,38.46,40.48,0.7,0.6
27,,Cheick Oumar Conde,0.4,0,61.74,59.6,1.17,1.8
28,,Fabian Lustenberger,0.19,0,69.09,69.44,1.04,0.5
29,,Anto Grgić,0.19,0,56.82,52.38,0.87,0.84
30,,Hayao Kawabe,0.12,0,42,49.58,0.97,1.03
31,,Vincent Sierro,0.07,0,61.54,55.83,0.87,1.2
32,,Patrick Pflücke,0.09,0,36.84,42.17,0.54,0.23
33,,Fabian Schubert,0.13,0,54.55,47.06,0.63,0.75
34,,Timothé Cognat,0.21,0,21.95,41.28,0.42,0.97
35,,Kastriot Imeri,0,0,41.18,46.93,1.22,0.81
36,,Ismajl Beka,0.38,0,70,63.16,0.57,1
37,,Anthony Baron,0,0,64.71,61.54,0.29,0.24
38,,Daouda Guindo,0.2,0,50,59.81,1.07,0.8
39,,Fabian Frei,0.17,0.04,50,53.49,0.35,0.43
40,,Ousmane Doumbia,0.11,0,56.06,58.65,1.34,1
41,,Cedric Zesiger,0.29,0.03,61.25,52.91,0.58,1.03
42,,Nicky Medja Beloko,0.48,0,44.44,48.74,1.1,2.59
43,,Kasim Adams,0.14,0.04,51.95,55.19,0.36,0.39
44,,Ignacio Aliseda,0,0,42.86,50.31,1.04,0.17
45,,Mario Balotelli,0.5,0,56.67,52.08,1.94,1.11
46,,Dejan Sorgić,0,0,21.43,46.28,0.68,0.77
47,,David Douline,0.39,0,55.07,58.3,1.78,1.22
48,,Pius Dorn,0.12,0,49.02,51.38,1.36,1.09
49,,Tsiy William Ndenge,0.15,0,63.04,60.82,1.26,0.63
50,,Denis Will Poha,0.17,0.03,43.18,51.15,0.63,0.97
51,,Christian Fassnacht,0.17,0,58.49,41.45,0.21,1.03
52,,Mohamed Camara,0.17,0,66.67,60,0.17,1
53,,Ardon Jashari,0.12,0.03,54.55,59.23,1.12,0.85
54,,Cheikh Niasse,0.27,0,54.69,58.74,1,0.81
55,,Riccardo Calafiori,0.22,0.04,66.67,60.87,1,1.35
56,,Steve Rouiller,0.18,0.05,50,53.13,0.59,0.82
57,,Gaël Clichy,0.15,0,56.14,57.23,0.58,0.69
58,,Ibrahima Ndiaye,0,0,50,53.85,0.33,0.33
59,,Reto Ziegler,0.2,0,53.13,52.94,0.44,0.8
60,,Guilherme Schettine,0.32,0,50,42.98,0.63,1.21
61,,Filip Ugrinić,0.1,0,25,47.47,0.79,1.07
62,,Anthony Racioppi,0,0,100,92.31,0.11,0
63,,Aurele Amenda,0.13,0,74.55,69.23,0.38,0.69
64,,Milton Valenzuela,0.27,0.03,48,52.46,0.83,1
65,,Tomás Ribeiro,0.26,0,53.52,60.51,0.74,0.67
66,,Ulisses Garcia,0.15,0.04,77.78,53.68,0.67,0.89
67,,André Moreira,0.11,0,66.67,70,0.07,0
68,,Ole Selnaes,0.31,0,55,59.72,0.63,0.69
69,,Dominik Schmid,0.18,0,56.04,56.15,0.76,1
70,,Jonathan Sabbatini,0.11,0,51.43,48.45,1.11,1.49
71,,Christian Gentner,0.1,0,60,61.9,0.3,0
72,,Luuk Breedijk,0,0,66.67,46.67,0,0.17
73,,Pascal Loretz,0.14,0,100,50,0,0.14
74,,Marius Müller,0.16,0,100,100,0.12,0
75,,Nikola Boranijašević,0.24,0,28.38,51.04,1.21,0.82
76,,Chadrac Akolo,0.03,0,50,41.14,0.41,0.31
77,,Yoan Severin,0.04,0,53.23,55.1,0.33,0.7
78,,Mohamed El Amine Amoura,0.06,0,51.43,47.98,0.65,0.71
79,,Nicolas Vouilloz,0.13,0,52.34,56.43,0.73,0.77
80,,Sandro Lauper,0.05,0,61.29,48.2,0.15,1.05
81,,Kreshnik Hajrizi,0.42,0,60.61,55.26,1.79,1.74
82,,Pascal Schürpf,0.14,0.03,54.72,43.93,0.86,1.24
83,,Mattia Bottani,0,0.04,21.21,45.66,1,0.5
84,,Michael Kempter,0.1,0,58.33,69.51,1.6,0.7
85,,Nikola Katić,0.32,0,65.17,61.17,0.82,0.91
86,,Mirlind Kryeziu,0.5,0.07,55.56,53.41,0.43,0.93
87,,Jonathan Okita,0.1,0.03,32.76,36.51,0.31,0.97
88,,Roman Macek,0.1,0,42.11,52.83,0.48,0.34
89,,Sergio López,0.14,0,45,53.77,0.38,0.24
90,,Ronny Rodelin,0.08,0,57.41,55.48,0.67,0.38
91,,Isaac Schmidt,0.17,0.07,44.44,55.07,1.1,0.9
92,,Matteo Di Giusto,0.06,0,4,42.75,0.83,0.4
93,,Bogdan Viunnyk,0,0,40,48.39,0.71,0.57
94,,Matej Maglica,0.26,0,79.67,66.67,0.35,0.81
95,,Lars Lukas Mai,0.05,0,73.68,68.75,0.21,0.37
96,,Moussa Diallo,0.27,0,63.16,60.61,0.73,0.53
97,,Andi Zeqiri,0.1,0,39.13,36.62,1,1.2
98,,Darian Maleš,0.21,0,28.13,49.11,1.79,0.71
99,,Wouter Burger,0.27,0.07,59.55,51.49,0.9,1.1
100,,Amir Saipi,0.14,0,100,86.67,0.21,0.04
101,,Lawrence Ati,0.09,0.06,77.78,71.43,0.24,0.09
102,,Jeremy Frick,0.03,0,100,89.47,0.15,0.03
103,,Dan Ndoye,0.22,0,40.74,54.71,2.5,0.88
104,,Renat Dadaşov,0.32,0,41.53,44.9,1.76,1.74
