#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Wilfried Kanga,1,0.5,15.5,83.87,6.5,0
2,,Jordan Lefort,1,0.5,36,73.61,9.5,61.54
3,,Serif Berbić,0,0,31,67.74,0,28.57
4,,Miroslav Stevanović,0.32,0.21,32.65,72.34,12.15,42.86
5,,Noah De Queiroz,0,0,6,66.67,2,0
6,,Edin Omeragić,0,0,25,64,2,43.75
7,,Lukas Watkowiak,0,0,26.5,58.49,2.5,39.73
8,,Max Meyer,0.11,0.18,40.29,84.22,14.32,50
9,,David von Ballmoos,0,0.07,35,72.57,1.47,36.36
10,,Renato Steffen,0.39,0.25,30.89,82.43,9.18,70.97
11,,Jordi Quintillà,0.2,0.14,46.57,82.15,12.37,57.93
12,,Tosin Aiyegun,0.19,0.04,13.74,74.66,5.48,94.12
13,,Fabian Rieder,0.21,0.12,37.21,78.58,11.85,61.48
14,,Martin Frýdek,0.36,0.18,41.61,69.1,12.21,32.28
15,,Cédric Itten,0.23,0.13,11.06,69.1,3.94,40
16,,Jean-Pierre Nsame,0.18,0.12,13.64,65.33,5.06,37.5
17,,Lukas Görtler,0.37,0.2,43.3,70.82,14.83,47.4
18,,Blerim Džemaili,0.19,0.05,23.62,74.4,6.38,49.25
19,,Jérémy Guillemenot,0.13,0.22,14.72,63.48,5.25,40.91
20,,Arnau Comas,0.08,0.08,54.08,88.05,3.77,48.86
21,,Chris Bedia,0.09,0.09,9.27,72.55,3.05,50
22,,Zeki Amdouni,0.16,0.13,21.41,79.85,7.09,79.31
23,,Živko Kostadinović,0,0,23,56.52,0.5,23.08
24,,Emmanuel Latte Lath,0.13,0.1,11.97,62.26,4,23.08
25,,Marco Burch,0.04,0.04,41.64,84.73,4.12,57.14
26,,Žan Celar,0.13,0.07,10.87,75.46,4.03,80
27,,Cheick Oumar Conde,0,0.03,35.47,72.74,5.77,49.72
28,,Fabian Lustenberger,0,0.04,49.69,88.39,3.85,64.26
29,,Anto Grgić,0.19,0.06,39.94,81.91,8,60
30,,Hayao Kawabe,0.18,0.18,25.3,74.97,6.7,52.63
31,,Vincent Sierro,0.13,0,29.67,78.65,8.53,57.58
32,,Patrick Pflücke,0.14,0.06,23.8,81.51,7.03,59.09
33,,Fabian Schubert,0,0,12.88,66.02,4.88,42.86
34,,Timothé Cognat,0.21,0.12,39.79,80.27,11.06,54.84
35,,Kastriot Imeri,0.19,0.11,24.3,81.4,8.59,64.71
36,,Ismajl Beka,0.1,0.05,42.71,77.7,4.05,49.69
37,,Anthony Baron,0.24,0.18,40.94,83.19,8.47,51.69
38,,Daouda Guindo,0.13,0.13,40.4,76.57,10.73,54.74
39,,Fabian Frei,0.17,0.13,37.57,82.64,8.57,58.04
40,,Ousmane Doumbia,0.06,0.06,44.63,84.64,7.11,50
41,,Cedric Zesiger,0,0,64.71,84.3,8.13,48.31
42,,Nicky Medja Beloko,0.17,0.03,31.55,75.85,8.17,58.59
43,,Kasim Adams,0.04,0.04,60.86,87.09,4.54,53.02
44,,Ignacio Aliseda,0.04,0.09,24.74,86.47,9.26,80.56
45,,Mario Balotelli,0.17,0,19.28,65.42,4.61,59.38
46,,Dejan Sorgić,0.05,0,11.86,78.16,4.23,25
47,,David Douline,0,0,32.5,78.97,3.94,59.42
48,,Pius Dorn,0.45,0.18,29,72.52,8.52,42.24
49,,Tsiy William Ndenge,0.04,0.04,24.3,81.4,3.26,54.69
50,,Denis Will Poha,0.13,0.07,32.2,84.47,9.5,66.44
51,,Christian Fassnacht,0.21,0.14,22.62,76.83,7.38,37.78
52,,Mohamed Camara,0,0,50.42,85.12,4.08,57.01
53,,Ardon Jashari,0.12,0.09,43.12,82.57,6.73,60.87
54,,Cheikh Niasse,0.08,0.04,32.23,85.68,3.92,62.34
