#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Wilfried Kanga,0,0,0,0,0,0
2,,Jordan Lefort,0,0,0,0,0,0
3,,Serif Berbić,2,1,0,0,0,0
4,,Miroslav Stevanović,0,0.21,0,0,0.88,0.24
5,,Noah De Queiroz,0,0,0,0,1,0
6,,Edin Omeragić,4,0,0,0,1,0
7,,Lukas Watkowiak,4.5,0.25,0.25,0,0.75,0.5
8,,Max Meyer,0,0,0,0,1,0.21
9,,David von Ballmoos,3.07,0.4,0.27,0.07,0.47,0.13
10,,Renato Steffen,0,0.11,0,0,1.04,0.07
11,,Jordi Quintillà,0,0.11,0,0,1.2,0.23
12,,Tosin Aiyegun,0,0,0,0,1.33,0.04
13,,Fabian Rieder,0,0.27,0,0,0.55,0.09
14,,Martin Frýdek,0,0.14,0,0,1.11,0.36
15,,Cédric Itten,0,0.03,0,0,0.58,0.06
16,,Jean-Pierre Nsame,0,0,0,0,0.39,0.03
17,,Lukas Görtler,0,0.07,0,0,1.2,0.27
18,,Blerim Džemaili,0,0,0,0,0.57,0.1
19,,Jérémy Guillemenot,0,0.03,0,0,1,0.19
20,,Arnau Comas,0,0.38,0,0,0.69,0
21,,Chris Bedia,0,0,0,0,0.73,0.14
22,,Zeki Amdouni,0,0.03,0,0,0.88,0.16
23,,Živko Kostadinović,2.5,0.5,0.5,0,1,0
24,,Emmanuel Latte Lath,0,0,0,0,0.77,0.19
25,,Marco Burch,0,0.16,0,0,0.92,0.32
26,,Žan Celar,0,0,0,0,1.07,0.07
27,,Cheick Oumar Conde,0,0.2,0,0,1.03,0.07
28,,Fabian Lustenberger,0,0.27,0,0,0.5,0.04
29,,Anto Grgić,0,0.1,0,0,1.61,0.13
30,,Hayao Kawabe,0,0.06,0,0,1.67,0.06
31,,Vincent Sierro,0,0.07,0,0,0.2,0
32,,Patrick Pflücke,0,0,0,0,0.83,0.23
33,,Fabian Schubert,0,0,0,0,0.5,0.25
34,,Timothé Cognat,0,0.09,0,0,0.76,0.27
35,,Kastriot Imeri,0,0.11,0,0,0.48,0
36,,Ismajl Beka,0,0.1,0,0,1.14,0.24
37,,Anthony Baron,0,0.29,0,0,1.06,0.12
38,,Daouda Guindo,0,0.07,0,0,1.27,0.27
39,,Fabian Frei,0,0.04,0,0,0.87,0.3
40,,Ousmane Doumbia,0,0.2,0,0,1.14,0.09
41,,Cedric Zesiger,0,0.32,0,0,0.77,0.06
42,,Nicky Medja Beloko,0,0.1,0,0,0.97,0.24
43,,Kasim Adams,0,0.18,0,0,0.96,0.14
44,,Ignacio Aliseda,0,0.04,0,0,0.52,0.09
45,,Mario Balotelli,0,0,0,0,1.33,0.11
46,,Dejan Sorgić,0,0,0,0,0.64,0.23
47,,David Douline,0,0.17,0,0,0.72,0.33
48,,Pius Dorn,0,0.15,0,0,1.09,0.36
49,,Tsiy William Ndenge,0,0.04,0,0,1.07,0.07
50,,Denis Will Poha,0,0.03,0,0,1.1,0.17
51,,Christian Fassnacht,0,0.07,0,0,0.66,0.07
52,,Mohamed Camara,0,0.33,0,0,0.5,0.17
53,,Ardon Jashari,0,0.12,0,0,1.15,0.33
54,,Cheikh Niasse,0,0.19,0,0,0.54,0.12
55,,Riccardo Calafiori,0,0.22,0,0,0.61,0.22
56,,Steve Rouiller,0,0.23,0,0,0.86,0.09
57,,Gaël Clichy,0,0.23,0,0,0.81,0.31
58,,Ibrahima Ndiaye,0,0,0,0,0,0.33
59,,Reto Ziegler,0,0.12,0,0,1.84,0.12
60,,Guilherme Schettine,0,0,0,0,0.95,0.05
61,,Filip Ugrinić,0,0.14,0,0,0.62,0.1
62,,Anthony Racioppi,2.58,0.26,0.11,0,0.95,0.05
63,,Aurele Amenda,0,0.13,0,0,0.75,0.06
64,,Milton Valenzuela,0,0.17,0,0,1.17,0.07
65,,Tomás Ribeiro,0,0.11,0,0,1.41,0.11
66,,Ulisses Garcia,0,0.15,0,0,0.67,0.04
67,,André Moreira,3.57,0.11,0.18,0.07,1.57,0.07
68,,Ole Selnaes,0,0.13,0,0,0.81,0.19
69,,Dominik Schmid,0,0.06,0,0,1.44,0.06
70,,Jonathan Sabbatini,0,0.2,0,0,1.14,0.09
71,,Christian Gentner,0,0,0,0,0.2,0.2
72,,Luuk Breedijk,0,0,0,0,0.17,0
73,,Pascal Loretz,3.14,0.14,0.86,0,1.14,0.14
74,,Marius Müller,3.12,0.16,0.08,0.04,1.16,0.44
75,,Nikola Boranijašević,0,0.21,0,0,1.27,0.06
76,,Chadrac Akolo,0,0.03,0,0,0.53,0.09
77,,Yoan Severin,0,0.3,0,0,0.85,0.33
78,,Mohamed El Amine Amoura,0,0,0,0,0.39,0.03
79,,Nicolas Vouilloz,0,0.3,0,0,0.93,0.33
80,,Sandro Lauper,0,0.25,0,0,0.65,0
81,,Kreshnik Hajrizi,0,0.11,0,0,0.84,0.11
82,,Pascal Schürpf,0,0,0,0,0.93,0.21
83,,Mattia Bottani,0,0,0,0,0.85,0.04
84,,Michael Kempter,0,0,0,0,1,0.1
85,,Nikola Katić,0,0.32,0,0,1.05,0.05
86,,Mirlind Kryeziu,0,0.07,0,0,1.57,0.29
87,,Jonathan Okita,0,0.07,0,0,0.93,0.07
88,,Roman Macek,0,0,0,0,0.52,0.1
89,,Sergio López,0,0.05,0,0,0.76,0.14
90,,Ronny Rodelin,0,0.04,0,0,0.29,0.25
91,,Isaac Schmidt,0,0.1,0,0,0.79,0.17
92,,Matteo Di Giusto,0,0.03,0,0,1.43,0.14
93,,Bogdan Viunnyk,0,0,0,0,0.43,0
94,,Matej Maglica,0,0.16,0,0,0.9,0.23
95,,Lars Lukas Mai,0,0.16,0,0,1.26,0
96,,Moussa Diallo,0,0.2,0,0,0.8,0.13
97,,Andi Zeqiri,0,0,0,0,0.67,0.1
98,,Darian Maleš,0,0.07,0,0,0.89,0.21
99,,Wouter Burger,0,0.13,0,0,0.73,0.17
100,,Amir Saipi,3.04,0.21,0.14,0,1.36,0.04
101,,Lawrence Ati,3.27,0.12,0.3,0.03,1.21,0.21
102,,Jeremy Frick,2.88,0.32,0.09,0,1,0.29
103,,Dan Ndoye,0,0.06,0,0,0.91,0.06
104,,Renat Dadaşov,0,0.03,0,0,1.06,0.09
105,,Albian Hajdari,0,0.11,0,0,0.67,0
106,,Bendegúz Bolla,0,0.06,0,0,1.39,0.09
107,,Marvin Keller,1.33,0.33,0.33,0,0.67,0
108,,Noah Katterbach,0,0,0,0,0.67,0.17
109,,Roko Šimić,0,0,0,0,0.5,0.13
110,,Adrian Gantenbein,0,0.09,0,0,1,0.17
111,,Meschack Elia,0,0.1,0,0,0.48,0.06
112,,Ylyas Chouaref,0,0,0,0,1.16,0.09
113,,Theo Valls,0,0,0,0,0.56,0.12
114,,Loris Benito,0,0.11,0,0,0.37,0.16
115,,Francis Momoh,0,0,0,0,1.27,0
116,,Julian Von Moos,0,0,0,0,0.62,0.24
117,,Lewin Blum,0,0.06,0,0,0.68,0.06
118,,Joaquín Ardaiz,0,0.06,0,0,1,0.06
119,,Giovanni Sio,0,0,0,0,0.96,0.15
120,,Quentin Maceiras,0,0,0,0,0.43,0
121,,Francisco Jose Rodriguez,0,0.04,0,0,0.96,0.13
122,,Kevin Mbabu,0,0.27,0,0,1.2,0.13
123,,Marwin Hitz,2.66,0.19,0.25,0.09,1.09,0.19
124,,Adrián Guerrero,0,0.32,0,0,1.14,0.14
125,,Christián Herc,0,0.06,0,0,1,0.09
126,,Ifeanyi Mathew,0,0.23,0,0,1.15,0.31
127,,Jhon Espinoza,0,0.06,0,0,0.44,0.13
128,,Nasser Djiga,0,0,0,0,1,0
129,,Gezim Pepsi,0,0,0,0,0,0
130,,Issa Kaloga,0,0,0,0,0,0
131,,Victor Ruiz,0,0,0,0,0,0.5
132,,Emmanuel Essiam,0,0,0,0,0.75,0.25
133,,Filip Stojilković,0,0,0,0,1.33,0.11
134,,Markus Kuster,3.25,0.15,0.05,0.05,1.55,0.2
135,,Musa Araz,0,0.1,0,0,1.42,0.16
136,,Enzo Crivelli,0,0,0,0,0.39,0.06
137,,Nathanaël Saintini,0,0.15,0,0,1.7,0.19
138,,Hussayn Touati,0,0,0,0,0.4,0.1
139,,Samba Diba,0,0.14,0,0,0.29,0
140,,Denis Simani,0,0.14,0,0,1.23,0.27
141,,Georg Margreitter,0,0.06,0,0,0.88,0
142,,Samir Ramizi,0,0.04,0,0,1.52,0.16
143,,Dereck Kutesa,0,0,0,0,0.75,0.11
144,,Yanick Brecher,2.76,0.26,0.06,0,1.41,0.15
145,,Bradley Fink,0,0.04,0,0,0.56,0.24
146,,Vaso Vasić,1.67,0,0.33,0,1,0
147,,Antonio Marchesano,0,0.09,0,0,0.79,0.09
148,,Itaitinga,0,0,0,0,1.07,0.11
149,,Basil Stillhart,0,0.15,0,0,1.04,0.23
150,,Jakub Kadák,0,0,0,0,0.5,0.4
151,,Giotto Morandi,0,0,0,0,1.06,0.06
152,,Moritz Bauer,0,0.2,0,0,0.1,0.6
153,,Sofyan Chader,0,0,0,0,0.57,0.24
154,,Liam Millar,0,0.04,0,0,0.92,0.15
155,,Lindrit Kamberi,0,0.19,0,0,1.09,0.13
156,,Noah Loosli,0,0.07,0,0,1.37,0.07
157,,Joel Schmied,0,0.04,0,0,1.54,0.13
158,,Chinwendu Johan Nkama,0,0,0,0,0.33,0.33
159,,Maren Haile-Selassie,0,0,0,0,0.93,0
160,,Fidan Aliti,0,0.21,0,0,1.24,0.14
161,,Andy Pelmard,0,0.18,0,0,1.03,0.18
162,,Asumah Abubakar,0,0.04,0,0,0.5,0.21
163,,Shkelqim Demhasaj,0,0,0,0,1,0
164,,Justin Hammel,3.33,0.11,0.33,0,1.89,0.11
165,,Karol Mets,0,0.31,0,0,0.92,0
166,,Roy Gelmi,0,0.22,0,0,1.35,0.13
167,,Petar Pušić,0,0,0,0,0.88,0.06
168,,Dimitri Cavaré,0,0.13,0,0,1.42,0.21
169,,Taulant Xhaka,0,0,0,0,0.85,0.05
170,,Kevin Rüegg,0,0,0,0,0.2,0
171,,Hicham Mahou,0,0.06,0,0,1,0
172,,Christian Witzig,0,0,0,0,0.94,0.13
173,,Lorik Emini,0,0,0,0,0.67,0.33
174,,Nicolas Moumie Ngamaleu,0,0.14,0,0,0.14,0
175,,Leonidas Stergiou,0,0.06,0,0,1,0.23
176,,Meritan Shabani,0,0,0,0,0.77,0.04
177,,Noe Holenstein,0,0,0,0,0.25,0.25
178,,Stefano Guidotti,0,0,0,0,0.22,0.11
179,,Michael Lang,0,0.07,0,0,1.04,0.19
180,,Uran Bislimi,0,0,0,0,0.6,0.03
181,,Mauricio Willimann,0,0,0,0,0,1
182,,Valton Behrami,0,0,0,0,0,0
183,,Diogo Monteiro,0,0.33,0,0,0.33,0
184,,Alexandre Jankewitz,0,0,0,0,0,0
185,,Sebastian Osigwe,2.43,0.14,0,0,0.86,0.29
186,,Mickaël Facchinetti,0,0,0,0,0.11,0
187,,Gaetan Karlen,0,0,0,0,0.63,0.11
188,,Heinz Lindner,3.04,0.14,0.25,0.07,1.71,0.18
189,,Hugo Novoa Ramos,0,0,0,0,0.58,0.08
190,,Alexis Antunes,0,0,0,0,0.44,0.3
191,,Ayumu Seko,0,0.13,0,0,1.55,0.06
192,,Yassin Fortune,0,0,0,0,1.14,0
193,,Granit Lekaj,0,0.19,0,0,1.59,0.15
194,,Roman Buess,0,0.03,0,0,0.91,0.15
195,,Kevin Bua,0,0,0,0,0.71,0.14
196,,Adrian Durrer,0,0,0,0,1.25,0
197,,Mamadou Kaly Sene,0,0,0,0,0.2,0
198,,Severin Ottiger,0,0,0,0,0.92,0.33
199,,Alessandro Kräuchi,0,0,0,0,0.2,0
200,,Timothy Fayulu,3,0.27,0.18,0,1.64,0.18
201,,Albert Vallci,0,0.05,0,0,0.82,0.23
202,,Remo Arnold,0,0.07,0,0,1.21,0.07
203,,Bećir Omeragić,0,0.09,0,0,1.3,0.17
204,,Allan Arigoni,0,0.15,0,0,0.96,0.08
205,,Andy Diouf,0,0.18,0,0,0.97,0.18
206,,Donat Rrudhani,0,0,0,0,0.24,0
207,,Gora Diouf,0,0,0,0,0.67,0.17
208,,Mirko Salvi,2.5,0.17,0.17,0,1.17,0.33
209,,Luca Jaquez,0,0,0,0,1,0.44
210,,Ádám Szalai,0,0,0,0,0.4,0.2
211,,Fabio Daprelà,0,0.2,0,0,1.04,0.08
212,,Mohamed Dräger,0,0.03,0,0,0.9,0.23
213,,Eris Abedini,0,0.04,0,0,0.74,0.11
214,,Benjamin Mbunga-Kimpioka,0,0,0,0,0.33,0
215,,Calixte Ligue,0,0,0,0,0.11,0
216,,Gregory Karlen,0,0,0,0,0.45,0.05
217,,Mohamed Haj Mahmoud,0,0,0,0,0.42,0
218,,Filipe de Carvalho Ferreira,0,0,0,0,0.78,0
219,,Boubacar Fofana,0,0,0,0,0.36,0.05
220,,Yannick Schmid,0,0.13,0,0,1.79,0.25
221,,Théo Magnin,0,0,0,0,0.5,0
222,,Wylan Cyprien,0,0,0,0,1.94,0.11
223,,Noha Ndombasi Nlandu,0,0,0,0,0.18,0
