#,Team,Name,Appearances
1,,Goran Karačić,1
2,,Deniz Dilmen,1
3,,Ataberk Dadakdeniz,1
4,,Vedat Karakuş,1
5,,Mauro Icardi,24
6,,Fabio Borini,30
7,,Arda Güler,20
8,,Anastasios Bakasetas,27
9,,Dia Saba,13
10,,Fernando,30
11,,Samu Sáiz,13
12,,Brahim Darri,1
13,,Vincent Aboubakar,16
14,,Guilherme Haubert Sityá,34
15,,Mehmet Umut Nayir,31
16,,Alexandru Maxim,32
17,,Enner Valencia,31
18,,Younès Belhanda,30
19,,Emin Bayram,7
20,,Sérgio Oliveira,32
21,,Badou Ndiaye,32
22,,Mbaye Diagne,33
23,,Kerem Aktürkoğlu,34
24,,Edin Višća,13
25,,Youssouf Ndayishimiye,17
26,,Sacha Boey,31
27,,Tolga Ciğerci,16
28,,Amir Hadžiahmetović,30
29,,Gedson Fernandes,33
30,,Arthur Masuaku,31
31,,Carlos Mané,25
32,,Kévin Rodrigues,33
33,,Salih Uçan,29
34,,Ali Gholizadeh,4
35,,Yusuf Sarı,31
36,,Cenk Tosun,32
37,,Lucas Torreira,31
38,,Alejandro Pozuelo,12
39,,Rachid Ghezzal,11
40,,Dries Mertens,30
41,,Léo Duarte,30
42,,Valentin Eysseric,32
43,,Wout Weghorst,16
44,,Günay Güvenç,30
45,,Emre Akbaba,32
46,,Jason Lokilo,16
47,,Mahmoud Trézéguet,28
48,,Michy Batshuayi,19
49,,Nathan Redmond,25
50,,Fernando Muslera,33
51,,Muhammed Şengezer,12
52,,Sadık Çiftpınar,12
53,,Willian Arão,31
54,,Tayyip Talha Sanuç,23
55,,Efecan Karaca,28
56,,Andreas Cornelius,4
57,,Mickaël Malsa,10
58,,Ahmet Oğuz,31
59,,Dimitris Goutas,31
60,,Gökhan Akkan,23
61,,Ferdi Kadıoğlu,32
62,,Gustavo Henrique,13
63,,İrfan Can Kahveci,27
64,,Samet Akaydin,33
65,,Alexandru Epureanu,17
66,,Romain Saïss,25
67,,Mergim Berisha,1
68,,Jorge Morel,12
69,,Deniz Tabak,1
70,,Hamidou Traoré,3
71,,Ferhat Kaplan,13
72,,Abdülkerim Bardakcı,30
73,,Majid Hosseini,25
74,,Ertaç Özbir,32
75,,Francisco Calvo,31
76,,Melih Kabasakal,17
77,,Steven Caulker,6
78,,Jorman Campuzano,27
79,,Haji Wright,28
80,,Vitor Hugo,20
81,,Marek Hamšík,23
82,,Matteo Ricci,16
83,,Marc Bartra,29
84,,Milot Rashica,26
85,,Lincoln,21
86,,Kartal Kayra Yılmaz,26
87,,Semih Güler,30
88,,Tomislav Glumac,27
89,,Güray Vural,30
90,,Rúnar Alex Rúnarsson,30
91,,Zouhair Feddal,5
92,,Caner Erkin,19
93,,Victor Nelsson,33
94,,Sam Larsson,30
95,,Marlos Moreno,12
96,,Milson,10
97,,Muhammet Demir,21
98,,Cherif Ndiaye,12
99,,Ibrahim Drešević,32
100,,Serkan Kırıntılı,10
101,,Jure Balkovec,29
102,,Magomed Ozdoev,33
103,,Ivan Cavaleiro,22
104,,Maximiliano Gómez,26
105,,Jonas Svensson,29
106,,Campanharo,24
107,,Deniz Türüç,30
108,,Mustafa Erdilman,5
109,,Muhammet Taha Tepe,5
110,,Abdülkadir Ömür,29
111,,David Jensen,32
112,,Kévin Malcuit,20
113,,Jackson Muleka,29
114,,Mortadha Ben Ouanes,29
115,,Souza,10
116,,Marko Jevtović,21
117,,Arda Kızıldağ,15
118,,Yunus Akgün,25
119,,Zé Luís,14
120,,Joshua King,16
121,,Uroš Radaković,22
122,,Miguel Crespo,23
123,,Attila Szalai,32
124,,Nacer Chadli,1
125,,Christian Atsu,3
126,,Christian Luyindama,5
127,,Mario Balotelli,2
128,,Sokol Cikalleshi,2
129,,Mehmet Feyzi Yıldırım,2
130,,Kâzımcan Karataş,11
131,,Olivier Kemen,27
132,,Orkun Ozdemir,20
133,,Ibrahim Šehić,29
134,,Lucas Lima,29
135,,Alexander Merkel,14
136,,Erce Kardeşler,21
137,,Omar Colley,10
138,,Onur Bulut,29
139,,Charis Charisis,26
140,,Enis Bardhi,30
141,,Erdal Rakip,15
142,,Umut Bozok,27
143,,Adil Demirbağ,27
144,,Marlon,13
145,,Aytaç Kara,32
146,,Yonathan Del Valle,18
147,,Adnan Januzaj,11
148,,Ertuğrul Ersoy,23
149,,Patrick van Aanholt,10
150,,Papy Djilobodji,29
151,,Altay Bayındır,26
152,,Fredrik Ulvestad,28
153,,Kerim Alıcı,4
154,,Jovan Manev,8
155,,Haris Hajradinović,33
156,,Ali Sowe,32
157,,Lucas Biglia,25
158,,Okan Erdoğan,30
159,,Muammer Yıldırım,6
160,,Riad Bajić,34
161,,Volkan Babacan,21
162,,Vukan Savićević,26
163,,Benjamin Stambouli,30
164,,Bilal Bayazit,30
165,,Mame Thiam,27
166,,Muammer Sarıkaya,31
167,,Mame Biram Diouf,28
