#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
1,,Goran Karačić,0,0,0,0,0,0
2,,Deniz Dilmen,0,0,0,0,0,0
3,,Ataberk Dadakdeniz,0,0,0,0,0,0
4,,Vedat Karakuş,0,0,0,0,0,0
5,,Mauro Icardi,0.92,0.54,54.55,3.38,0.21,0
6,,Fabio Borini,0.63,0.07,60.53,2.57,0.03,0
7,,Arda Güler,0.2,0,52.63,1.7,0,0
8,,Anastasios Bakasetas,0.3,0.07,63.64,2.74,0,0
9,,Dia Saba,0.38,0.08,61.54,2,0,3.85
10,,Fernando,0.17,0,39.13,1.7,0,0.35
11,,Samu Sáiz,0.31,0,56.1,1.31,0,0
12,,Brahim Darri,0,0,0,0,0,0
13,,Vincent Aboubakar,0.81,0.44,44.9,2.94,0.06,0
14,,Guilherme Haubert Sityá,0.06,0.06,56.52,0.41,0,0
15,,Mehmet Umut Nayir,0.55,0.32,53.33,2.45,0.06,0
16,,Alexandru Maxim,0.13,0.06,64.15,1.72,0,0.35
17,,Enner Valencia,0.94,0.48,44.92,2.94,0.1,0
18,,Younès Belhanda,0.4,0.27,58.62,3.27,0,0
19,,Emin Bayram,0,0.14,50,0.71,0,0
20,,Sérgio Oliveira,0.13,0.06,50,2.69,0.03,0
21,,Badou Ndiaye,0.25,0.13,67.06,1.78,0,0
22,,Mbaye Diagne,0.7,0.27,52,2.3,0.12,0
23,,Kerem Aktürkoğlu,0.26,0.18,46.79,1.91,0,0.74
24,,Edin Višća,0.15,0.08,92.31,1.23,0,3.85
25,,Youssouf Ndayishimiye,0.24,0.18,55.56,1.06,0.12,0
26,,Sacha Boey,0.03,0,47.83,0.81,0,0
27,,Tolga Ciğerci,0.13,0.06,53.33,1.75,0,0
28,,Amir Hadžiahmetović,0.13,0.03,69.57,1,0,0
29,,Gedson Fernandes,0.09,0,71,1,0,0
30,,Arthur Masuaku,0.06,0,71.95,0.35,0,0.81
31,,Carlos Mané,0.16,0.12,47.27,0.96,0,0
32,,Kévin Rodrigues,0.06,0,55.56,1.33,0,0.51
33,,Salih Uçan,0.1,0.07,61.36,1.34,0,0
34,,Ali Gholizadeh,0,0,80,0.5,0,0
35,,Yusuf Sarı,0.16,0.06,60.71,2.06,0,0
36,,Cenk Tosun,0.47,0.44,56.52,2.59,0.09,0
37,,Lucas Torreira,0,0.06,58.82,0.65,0,0
38,,Alejandro Pozuelo,0.33,0.17,61.29,0.92,0,0
39,,Rachid Ghezzal,0.18,0,64.29,1.09,0,0
40,,Dries Mertens,0.2,0.33,42.22,2.53,0,0
41,,Léo Duarte,0,0.1,83.33,0.5,0,0
42,,Valentin Eysseric,0.09,0.06,53.33,1.78,0,0.35
43,,Wout Weghorst,0.5,0.81,45,3.25,0.19,0
44,,Günay Güvenç,0,0,0,0,0,0
45,,Emre Akbaba,0.22,0.13,48.98,1.84,0.03,0
46,,Jason Lokilo,0.25,0.06,75,1.69,0,0
47,,Mahmoud Trézéguet,0.39,0.29,34.07,3.43,0.04,0
48,,Michy Batshuayi,0.63,0.26,55,2.11,0.11,0
49,,Nathan Redmond,0.2,0.16,58.46,1.88,0,0
50,,Fernando Muslera,0,0,0,0,0,0
51,,Muhammed Şengezer,0,0,0,0,0,0
52,,Sadık Çiftpınar,0.08,0,0,0.33,0.08,0
53,,Willian Arão,0,0.03,58.33,0.84,0,0
54,,Tayyip Talha Sanuç,0.13,0,90,0.7,0.04,0
55,,Efecan Karaca,0.18,0.07,44.83,0.71,0.04,0
56,,Andreas Cornelius,0.25,0.5,66.67,2.5,0.25,0
57,,Mickaël Malsa,0.1,0,76.92,1,0.1,0
58,,Ahmet Oğuz,0,0,62.96,0.29,0,0
59,,Dimitris Goutas,0,0.13,62.5,0.65,0,0
60,,Gökhan Akkan,0,0,0,0,0,0
61,,Ferdi Kadıoğlu,0.09,0.06,56.58,0.72,0,0
62,,Gustavo Henrique,0.15,0.15,0,0.54,0.08,0
63,,İrfan Can Kahveci,0.15,0.04,50,1.22,0,0
64,,Samet Akaydin,0.06,0.03,88.89,0.7,0.03,0
65,,Alexandru Epureanu,0,0.06,100,0.65,0,0
66,,Romain Saïss,0.04,0,50,0.64,0.04,0
67,,Mergim Berisha,1,1,0,3,0,0
68,,Jorge Morel,0.08,0,80,0.67,0.08,0
69,,Deniz Tabak,0,0,0,0,0,0
70,,Hamidou Traoré,0,0.33,87.5,1.33,0,0
71,,Ferhat Kaplan,0,0,0,0,0,0
72,,Abdülkerim Bardakcı,0.1,0.13,63.16,0.97,0.07,0
73,,Majid Hosseini,0.08,0,90,0.36,0.08,0
74,,Ertaç Özbir,0,0,50,0,0,0
75,,Francisco Calvo,0.1,0.1,45.83,0.74,0.06,0
76,,Melih Kabasakal,0.06,0,60,0.76,0,0
77,,Steven Caulker,0.17,0,0,0.5,0.17,0
78,,Jorman Campuzano,0.07,0,77.42,0.41,0.04,0
79,,Haji Wright,0.54,0.46,40.85,2.86,0.21,0
80,,Vitor Hugo,0.05,0,100,0.7,0.05,0
81,,Marek Hamšík,0.13,0.13,77.78,1,0,0
82,,Matteo Ricci,0.06,0.06,50,0.81,0,0
83,,Marc Bartra,0.14,0,60,0.9,0.03,0
84,,Milot Rashica,0.15,0.12,48,1.46,0,0
85,,Lincoln,0,0,42.86,0.76,0,0
86,,Kartal Kayra Yılmaz,0,0,40,0.46,0,0
87,,Semih Güler,0,0.03,75,0.33,0,0
88,,Tomislav Glumac,0.07,0.11,0,0.74,0.07,0
89,,Güray Vural,0.13,0.03,54.17,0.97,0,1.67
90,,Rúnar Alex Rúnarsson,0,0,100,0,0,0
91,,Zouhair Feddal,0,0,0,0.2,0,0
92,,Caner Erkin,0,0,75,0.32,0,0
93,,Victor Nelsson,0,0.12,100,0.42,0,0
94,,Sam Larsson,0.07,0.1,53.33,1.43,0.03,0
95,,Marlos Moreno,0.08,0,62.96,1.75,0,0
96,,Milson,0.5,0.1,35.14,1.8,0,0
97,,Muhammet Demir,0.29,0.19,55.81,1.81,0.14,0
98,,Cherif Ndiaye,0.67,1,46.43,2.42,0,0
99,,Ibrahim Drešević,0.03,0,81.82,0.16,0,0
100,,Serkan Kırıntılı,0,0,0,0,0,0
101,,Jure Balkovec,0.14,0,60,0.69,0,0.43
102,,Magomed Ozdoev,0.15,0.09,47.83,1.18,0,0
103,,Ivan Cavaleiro,0.09,0,61.02,0.95,0,0
104,,Maximiliano Gómez,0.19,0.19,61.29,1.88,0.04,0
105,,Jonas Svensson,0,0,55,0.41,0,0
106,,Campanharo,0,0,35,0.25,0,0
107,,Deniz Türüç,0.23,0.03,42.22,1.37,0,0
108,,Mustafa Erdilman,0,0,75,0.4,0,0
109,,Muhammet Taha Tepe,0,0,0,0,0,0
110,,Abdülkadir Ömür,0.07,0.1,61.11,1.21,0,0
111,,David Jensen,0,0,0,0,0,0
112,,Kévin Malcuit,0.05,0.05,50,0.75,0.05,0
113,,Jackson Muleka,0.17,0.1,53.13,1.52,0.1,0
114,,Mortadha Ben Ouanes,0.14,0.21,50,0.76,0,0
115,,Souza,0.1,0,0,0.9,0,0
116,,Marko Jevtović,0.14,0,40,0.81,0.05,0
117,,Arda Kızıldağ,0.07,0,100,0.4,0,0
118,,Yunus Akgün,0.04,0,61.7,1.2,0,0
119,,Zé Luís,0.14,0.21,60,1.07,0.07,0
120,,Joshua King,0.25,0.31,42.42,1.94,0.06,0
121,,Uroš Radaković,0.05,0,75,0.5,0.05,0
122,,Miguel Crespo,0.13,0.04,55.56,0.87,0,0
123,,Attila Szalai,0.06,0.03,66.67,0.66,0.06,0
124,,Nacer Chadli,1,0,0,3,1,0
125,,Christian Atsu,0.33,0,33.33,0.67,0,33.33
126,,Christian Luyindama,0,0,100,0.4,0,0
127,,Mario Balotelli,0,0,50,4.5,0,0
128,,Sokol Cikalleshi,0,0,50,1,0,0
129,,Mehmet Feyzi Yıldırım,0,0,0,0,0,0
130,,Kâzımcan Karataş,0,0,45.83,0.73,0,0
131,,Olivier Kemen,0.11,0.04,68.18,1.04,0,0
132,,Orkun Ozdemir,0,0,0,0,0,0
133,,Ibrahim Šehić,0,0,0,0,0,0
134,,Lucas Lima,0.03,0,53.33,0.41,0,0
135,,Alexander Merkel,0.14,0,0,0.5,0,0
136,,Erce Kardeşler,0,0,0,0,0,0
137,,Omar Colley,0,0,0,0.4,0,0
138,,Onur Bulut,0.1,0,46.51,0.59,0,1.72
139,,Charis Charisis,0.04,0.04,67.35,0.65,0,0
140,,Enis Bardhi,0.2,0.07,60.98,1.4,0.03,0
141,,Erdal Rakip,0,0,46.67,0.27,0,0
142,,Umut Bozok,0.3,0.19,57.14,1.33,0.04,0
143,,Adil Demirbağ,0,0.11,16.67,0.67,0,0
144,,Marlon,0,0,50,0.38,0,0
145,,Aytaç Kara,0.09,0,90,1.09,0.06,0
146,,Yonathan Del Valle,0.06,0.06,45.83,1.44,0,0
147,,Adnan Januzaj,0.18,0.09,58.97,1.27,0,0
148,,Ertuğrul Ersoy,0.09,0,100,0.65,0.09,0
149,,Patrick van Aanholt,0,0,0,0.9,0,0
150,,Papy Djilobodji,0.07,0.07,71.43,0.48,0.03,0
151,,Altay Bayındır,0,0,0,0,0,0
152,,Fredrik Ulvestad,0.04,0.04,75,1.11,0.04,0
153,,Kerim Alıcı,0,0,0,0.25,0,0
154,,Jovan Manev,0,0.13,40,0.63,0,0
155,,Haris Hajradinović,0.06,0.06,44,1.15,0.03,0
156,,Ali Sowe,0.38,0.56,50,2.28,0.06,0
157,,Lucas Biglia,0,0.04,54.55,0.32,0,0
158,,Okan Erdoğan,0,0,91.67,0.17,0,0
159,,Muammer Yıldırım,0,0,0,0,0,0
160,,Riad Bajić,0.41,0.29,54.55,2.38,0.09,0
161,,Volkan Babacan,0,0,0,0,0,0
162,,Vukan Savićević,0.04,0.08,48.78,1.15,0,0
163,,Benjamin Stambouli,0.03,0,67.31,0.4,0.03,0
164,,Bilal Bayazit,0,0,0,0,0,0
165,,Mame Thiam,0.33,0.3,44.74,1.74,0.15,0
166,,Muammer Sarıkaya,0.03,0.06,69.77,0.71,0,0
167,,Mame Biram Diouf,0.32,0.36,45.45,2.14,0.18,0
168,,Arif Kocaman,0.07,0,44.44,0.21,0.07,0
169,,Bruno Peres,0,0.14,87.5,0.57,0,0
170,,Mert Günok,0,0,100,0,0,0
171,,Onur Ergün,0.07,0.03,50,0.63,0,0
172,,Luan Peres,0.09,0.09,63.64,0.36,0,0
173,,Gökhan Inler,0.07,0,75,0.75,0,0
174,,Max Gradel,0.23,0.1,49.11,1.47,0.03,0
175,,Lionel Carole,0,0,59.09,0.26,0,0
176,,Fredy,0.12,0.08,68.75,1.62,0,0
177,,Léo Dubois,0.05,0,33.33,0.52,0,0
178,,Valon Ethemi,0.4,0.1,38,1.77,0.03,1.11
179,,Ömer Ali Şahiner,0.04,0,50,0.26,0,0
180,,Caner Osmanpaşa,0.09,0,37.5,0.48,0.04,0
181,,Juan Mata,0.19,0.13,20,0.75,0.06,0
182,,Wilson Eduardo,0.25,0.13,50,1.19,0,0
183,,Danijel Aleksić,0.27,0.03,50,1.4,0,0
184,,Bengali-Fodé Koita,0.21,0.29,50,1.79,0.07,0
185,,Oğuz Gürbulak,0.04,0.07,62.5,0.79,0,0
186,,Sofiane Feghouli,0,0,66.67,0.78,0,0
187,,Emrah Başsan,0.08,0.04,39.29,1.19,0,0.77
188,,Miguel Cardoso,0.23,0.16,39.06,1.77,0.03,0
189,,Ahmed Hassan,0.42,0.46,45.45,2.25,0.13,0
190,,João Figueiredo,0.29,0.18,43.28,2.09,0,0
191,,Furkan Bayır,0.03,0,66.67,0.41,0.03,0
192,,Mehmet Yeşil,0.03,0,100,0.3,0.03,0
193,,Florian Loshaj,0,0,57.14,0.88,0,0
194,,Ömer Toprak,0.04,0.09,80,0.48,0.04,0
195,,Furkan Soyalp,0.04,0.08,43.75,1.19,0.04,0
196,,Isaac Cofie,0.13,0,66.67,0.73,0.13,0
