#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
1,,Goran Karačić,0,0,0,6,0,0
2,,Deniz Dilmen,0,0,0,1,0,0
3,,Ataberk Dadakdeniz,0,0,1,5,0,0
4,,Vedat Karakuş,0,0,0,2,0,0
5,,Mauro Icardi,0.33,0.04,0,0.63,0,0.46
6,,Fabio Borini,0.97,0.97,0.03,1.03,0,0.57
7,,Arda Güler,1.25,0.15,0,0.1,0,0.95
8,,Anastasios Bakasetas,1.93,0.81,0,0.41,0,0.67
9,,Dia Saba,1.08,0.54,0,0.15,0,0.69
10,,Fernando,1.57,0.97,0.03,0.57,0,1.37
11,,Samu Sáiz,0.46,0.15,0,0.08,0,0.69
12,,Brahim Darri,0,0,0,0,0,0
13,,Vincent Aboubakar,0.5,0.25,0,0.44,0,0.25
14,,Guilherme Haubert Sityá,1.85,1.29,0,1.47,0,0.76
15,,Mehmet Umut Nayir,0.58,0.06,0,0.94,0,0.35
16,,Alexandru Maxim,1.19,0.38,0,0.5,0,0.44
17,,Enner Valencia,0.81,0.32,0,0.06,0,0.58
18,,Younès Belhanda,1.17,0.2,0,0.27,0,0.53
19,,Emin Bayram,1.86,1.57,0,3.57,0,0.14
20,,Sérgio Oliveira,1.81,0.72,0,0.44,0.03,1.06
21,,Badou Ndiaye,1.88,0.97,0,0.91,0,0.88
22,,Mbaye Diagne,0.18,0.06,0,1.03,0,0.06
23,,Kerem Aktürkoğlu,0.82,0.62,0,0.18,0,0.94
24,,Edin Višća,0.92,0.62,0,0.08,0,1.23
25,,Youssouf Ndayishimiye,0.94,1.12,0.12,3.65,0,0.12
26,,Sacha Boey,2.81,1.61,0.03,2,0,0.65
27,,Tolga Ciğerci,1.56,2.13,0.06,1.63,0,0.75
28,,Amir Hadžiahmetović,1.6,1.1,0,1.07,0,1.27
29,,Gedson Fernandes,2.85,0.73,0.03,0.3,0,1.18
30,,Arthur Masuaku,2.13,0.84,0,1.06,0.03,0.81
31,,Carlos Mané,1.76,0.56,0,0.28,0,0.6
32,,Kévin Rodrigues,2.67,1.48,0.12,1.7,0.03,1.15
33,,Salih Uçan,2.34,0.93,0,0.79,0,1.34
