#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
1,,Goran Karačić,0,0,100,100,0,0
2,,Deniz Dilmen,0,0,100,100,0,0
3,,Ataberk Dadakdeniz,0,0,0,50,1,1
4,,Vedat Karakuş,0,0,0,50,1,0
5,,Mauro Icardi,0.13,0,43.52,41.84,0.63,0.79
6,,Fabio Borini,0.2,0,47.5,54,2.13,1.03
7,,Arda Güler,0.05,0,50,53.03,1.4,0.55
8,,Anastasios Bakasetas,0.33,0.04,35,54.92,1.74,1.15
9,,Dia Saba,0.31,0,33.33,40.95,0.69,0.46
10,,Fernando,0.33,0.03,48,44.81,0.9,0.9
11,,Samu Sáiz,0.31,0,31.25,51.75,1.92,0.62
12,,Brahim Darri,0,0,0,100,1,0
13,,Vincent Aboubakar,0.19,0,41.27,38.92,1,0.81
14,,Guilherme Haubert Sityá,0.09,0,51.39,56.64,0.56,0.59
15,,Mehmet Umut Nayir,0.06,0,58.33,58.51,1.55,0.81
16,,Alexandru Maxim,0.19,0,41.67,47.79,1,1.03
17,,Enner Valencia,0.1,0.03,41.9,45.61,2.13,1.42
18,,Younès Belhanda,0.17,0.07,43.24,48.48,0.9,0.77
19,,Emin Bayram,0.14,0,68.75,70,0.43,0.57
20,,Sérgio Oliveira,0.22,0,47.62,48.81,1.28,0.94
21,,Badou Ndiaye,0.13,0,27.66,58.09,2.78,1.34
22,,Mbaye Diagne,0.18,0,49.28,46.54,1.03,0.85
23,,Kerem Aktürkoğlu,0.09,0,43.33,45.54,1.41,0.44
24,,Edin Višća,0,0,33.33,48.48,0.38,0.54
25,,Youssouf Ndayishimiye,0.47,0,62.86,56.12,0.76,1.12
26,,Sacha Boey,0.26,0.03,65.38,56.43,0.87,1.55
27,,Tolga Ciğerci,0.31,0,48.15,44.3,1.5,2.19
28,,Amir Hadžiahmetović,0.2,0,48.78,49.81,1,1.23
29,,Gedson Fernandes,0.18,0,35.14,57.83,2.21,1.61
30,,Arthur Masuaku,0.26,0,59.52,59.19,0.35,1
