#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
1,,Goran Karačić,0,0,42,85.71,0,50
2,,Deniz Dilmen,0,0,46,58.7,0,47.06
3,,Ataberk Dadakdeniz,0,0,36,47.22,1,17.39
4,,Vedat Karakuş,0,0,31,80.65,0,25
5,,Mauro Icardi,0.33,0.29,14.04,70.62,5.58,66.67
6,,Fabio Borini,0.2,0.27,25,71.33,4.83,49.11
7,,Arda Güler,0.35,0.15,29.25,84.96,9.85,70.45
8,,Anastasios Bakasetas,0.3,0.19,51.89,82.37,14.48,57.76
9,,Dia Saba,0.54,0.31,40.31,81.87,11.92,65.85
10,,Fernando,0.3,0.07,62.77,82.74,9.7,60.48
11,,Samu Sáiz,0.62,0.31,34,83.03,13.08,75.51
12,,Brahim Darri,1,1,10,80,6,0
13,,Vincent Aboubakar,0.13,0.13,17.56,77.58,6,70
14,,Guilherme Haubert Sityá,0.38,0.26,42.53,79.67,10.44,49.71
15,,Mehmet Umut Nayir,0.19,0.1,20.52,65.41,4.74,53.57
16,,Alexandru Maxim,0.22,0.16,30.41,80.88,9.72,66.96
17,,Enner Valencia,0.19,0.16,18.26,76.33,6.74,54.17
18,,Younès Belhanda,0.37,0.23,34.57,82.16,12.6,63.77
19,,Emin Bayram,0,0,39.71,89.57,2.43,60.87
20,,Sérgio Oliveira,0.19,0.13,44.97,81.51,11.94,61.14
21,,Badou Ndiaye,0.13,0.13,38.06,85.96,9.91,66.97
22,,Mbaye Diagne,0.09,0.15,15.12,68.94,2.67,75
23,,Kerem Aktürkoğlu,0.5,0.32,26.32,69.61,9.12,32.93
24,,Edin Višća,0.54,0.23,28.23,79.56,8.69,65.22
25,,Youssouf Ndayishimiye,0,0,71.71,90.07,7.59,65.79
26,,Sacha Boey,0.26,0.13,40.32,78.96,10.42,36.79
27,,Tolga Ciğerci,0.31,0.19,64.13,85.48,12.13,55.65
28,,Amir Hadžiahmetović,0.1,0.13,56.33,86.39,8.87,68.67
29,,Gedson Fernandes,0.24,0.15,34.48,83.57,9.03,51.67
30,,Arthur Masuaku,0.1,0.19,47.55,80.6,9.13,44.13
31,,Carlos Mané,0.28,0.16,22.28,76.48,5.2,54.29
32,,Kévin Rodrigues,0.24,0.15,40.03,78.88,8.15,52.85
33,,Salih Uçan,0.28,0.21,36.9,81.31,8.17,55.56
34,,Ali Gholizadeh,0,0.25,13.75,78.18,5.5,100
35,,Yusuf Sarı,0.32,0.19,17.55,84.01,6.32,73.91
36,,Cenk Tosun,0.13,0.19,16.16,74.08,4.84,48.39
37,,Lucas Torreira,0,0,55.81,88.21,11.42,65.57
38,,Alejandro Pozuelo,0.42,0.25,37.67,86.73,11.5,52.94
39,,Rachid Ghezzal,0.18,0.27,24.82,78.75,6.55,60
40,,Dries Mertens,0.2,0.1,27.77,78.03,10.2,64.52
41,,Léo Duarte,0,0.03,61.43,90.07,4.6,53.16
42,,Valentin Eysseric,0.38,0.09,43.28,77.91,12.5,56.11
43,,Wout Weghorst,0.19,0.25,18.63,69.46,6,46.15
44,,Günay Güvenç,0.07,0.07,32.47,60.16,1.4,36.54
45,,Emre Akbaba,0.13,0.13,22.31,76.19,5.84,48.61
46,,Jason Lokilo,0.25,0.19,26.06,80.1,7.25,38.71
47,,Mahmoud Trézéguet,0.18,0.11,28.61,82.15,11.43,47.22
48,,Michy Batshuayi,0.11,0.05,16.32,70.65,4.53,81.82
49,,Nathan Redmond,0.24,0.2,24.52,75.53,6.76,48
50,,Fernando Muslera,0,0,33.33,78.09,0.79,50.43
51,,Muhammed Şengezer,0,0,43.08,74.85,1.17,41.12
52,,Sadık Çiftpınar,0,0,32.33,83.76,0.67,44.19
53,,Willian Arão,0.13,0.13,44.68,87.44,8.19,73.87
54,,Tayyip Talha Sanuç,0,0,45.65,86.57,2.52,47.86
55,,Efecan Karaca,0.21,0.21,35.36,83.33,10.11,60.61
56,,Andreas Cornelius,0.5,0.25,19.5,65.38,6,66.67
57,,Mickaël Malsa,0.1,0,42.4,81.84,6.2,42.86
58,,Ahmet Oğuz,0.1,0.1,42.52,77.62,8.16,52.22
59,,Dimitris Goutas,0.13,0.06,44.29,79.46,3.23,42.91
60,,Gökhan Akkan,0,0,29,58.02,1.22,26.34
61,,Ferdi Kadıoğlu,0.09,0.13,53.91,85.57,15.44,53.21
62,,Gustavo Henrique,0.08,0.08,46.23,86.02,2.69,49.28
63,,İrfan Can Kahveci,0.26,0.07,25.11,80.09,7.44,43.86
64,,Samet Akaydin,0,0,60.06,86.48,3.64,48.77
65,,Alexandru Epureanu,0,0,62,87.95,6.18,60.42
66,,Romain Saïss,0.08,0.04,54.36,82.19,5.56,50.81
67,,Mergim Berisha,0,0,3,66.67,1,100
68,,Jorge Morel,0,0,48.17,90.66,2.42,53.7
69,,Deniz Tabak,0,0,3,66.67,0,0
70,,Hamidou Traoré,0,0,43.33,73.08,7,48.15
71,,Ferhat Kaplan,0,0,30.15,65.82,1.54,42.67
