#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
1,,Goran Karačić,6,1,0,0,0,0
2,,Deniz Dilmen,9,0,1,1,2,0
3,,Ataberk Dadakdeniz,5,1,1,1,0,0
4,,Vedat Karakuş,6,0,0,0,1,0
5,,Mauro Icardi,0,0.25,0,0,0.5,0.13
6,,Fabio Borini,0,0.07,0,0,1.27,0.23
7,,Arda Güler,0,0,0,0,0.45,0.1
8,,Anastasios Bakasetas,0,0.22,0,0,1,0.19
9,,Dia Saba,0,0.08,0,0,0.85,0.15
10,,Fernando,0,0.13,0,0,1.23,0.17
11,,Samu Sáiz,0,0,0,0,1.38,0
12,,Brahim Darri,0,0,0,0,0,0
13,,Vincent Aboubakar,0,0.13,0,0,0.69,0.19
14,,Guilherme Haubert Sityá,0,0.26,0,0,1.12,0.09
15,,Mehmet Umut Nayir,0,0,0,0,1.77,0.06
16,,Alexandru Maxim,0,0.09,0,0,0.91,0.06
17,,Enner Valencia,0,0.06,0,0,0.9,0.06
18,,Younès Belhanda,0,0.03,0,0,1.07,0.07
19,,Emin Bayram,0,0.29,0,0,0.43,0.14
20,,Sérgio Oliveira,0,0.16,0,0,0.47,0.06
21,,Badou Ndiaye,0,0.13,0,0,1.06,0.22
22,,Mbaye Diagne,0,0.09,0,0,1.21,0.21
23,,Kerem Aktürkoğlu,0,0.15,0,0,0.59,0.09
24,,Edin Višća,0,0,0,0,1,0.23
25,,Youssouf Ndayishimiye,0,0.41,0,0,1,0.06
26,,Sacha Boey,0,0.42,0,0,0.65,0.1
27,,Tolga Ciğerci,0,0.13,0,0,1.19,0.31
28,,Amir Hadžiahmetović,0,0.27,0,0,0.9,0.13
29,,Gedson Fernandes,0,0.21,0,0,0.7,0.21
30,,Arthur Masuaku,0,0.23,0,0,0.74,0.16
31,,Carlos Mané,0,0,0,0,0.96,0.4
32,,Kévin Rodrigues,0,0.21,0,0,1.06,0.18
33,,Salih Uçan,0,0.07,0,0,0.72,0.21
34,,Ali Gholizadeh,0,0,0,0,0.25,0.25
35,,Yusuf Sarı,0,0,0,0,0.94,0.03
36,,Cenk Tosun,0,0.06,0,0,0.53,0.19
37,,Lucas Torreira,0,0.13,0,0,0.61,0.13
38,,Alejandro Pozuelo,0,0,0,0,1.08,0
39,,Rachid Ghezzal,0,0.09,0,0,0.36,0.09
40,,Dries Mertens,0,0,0,0,0.6,0.07
41,,Léo Duarte,0,0.33,0,0,0.9,0.1
42,,Valentin Eysseric,0,0,0,0,1.25,0.06
43,,Wout Weghorst,0,0.19,0,0,0.94,0.25
44,,Günay Güvenç,3.27,0.2,0.27,0.07,1.27,0.03
45,,Emre Akbaba,0,0.06,0,0,0.38,0.09
46,,Jason Lokilo,0,0.13,0,0,0.81,0.31
47,,Mahmoud Trézéguet,0,0.18,0,0,0.89,0.14
48,,Michy Batshuayi,0,0,0,0,0.58,0
49,,Nathan Redmond,0,0.12,0,0,0.44,0.16
50,,Fernando Muslera,2.48,0.48,0.06,0.03,0.67,0.12
51,,Muhammed Şengezer,3.83,0.25,0.42,0,1.42,0.08
52,,Sadık Çiftpınar,0,0.33,0,0,1.25,0.08
53,,Willian Arão,0,0.16,0,0,0.87,0.06
54,,Tayyip Talha Sanuç,0,0.3,0,0,0.61,0.13
55,,Efecan Karaca,0,0.11,0,0,1.5,0.29
56,,Andreas Cornelius,0,0.5,0,0,1,0.25
57,,Mickaël Malsa,0,0.3,0,0,1.2,0.1
58,,Ahmet Oğuz,0,0.19,0,0,1.1,0.06
59,,Dimitris Goutas,0,0.23,0,0,1.32,0.16
60,,Gökhan Akkan,3.57,0.17,0.17,0,1.13,0.22
61,,Ferdi Kadıoğlu,0,0.19,0,0,1.03,0.13
62,,Gustavo Henrique,0,0.54,0,0,0.77,0.08
63,,İrfan Can Kahveci,0,0,0,0,0.67,0
64,,Samet Akaydin,0,0.21,0,0,0.97,0.21
65,,Alexandru Epureanu,0,0,0,0,1.53,0.06
66,,Romain Saïss,0,0.24,0,0,0.72,0.12
67,,Mergim Berisha,0,0,0,0,0,0
68,,Jorge Morel,0,0.17,0,0,1.5,0.25
69,,Deniz Tabak,0,0,0,0,2,0
70,,Hamidou Traoré,0,0.67,0,0,0.67,0.33
71,,Ferhat Kaplan,3.23,0.31,0.31,0,1.15,0.15
72,,Abdülkerim Bardakcı,0,0.47,0,0,0.7,0.1
73,,Majid Hosseini,0,0.16,0,0,1,0.32
74,,Ertaç Özbir,3.16,0.25,0.25,0,1.16,0.22
75,,Francisco Calvo,0,0.29,0,0,1.03,0.1
76,,Melih Kabasakal,0,0.12,0,0,1.59,0.29
77,,Steven Caulker,0,0.17,0,0,1.17,0
78,,Jorman Campuzano,0,0.04,0,0,1.26,0.26
79,,Haji Wright,0,0,0,0,1.32,0.18
80,,Vitor Hugo,0,0.35,0,0,0.9,0.25
81,,Marek Hamšík,0,0,0,0,0.78,0.09
82,,Matteo Ricci,0,0,0,0,1.31,0.25
83,,Marc Bartra,0,0.21,0,0,1.17,0.17
84,,Milot Rashica,0,0.04,0,0,0.58,0.04
85,,Lincoln,0,0.14,0,0,0.76,0.05
86,,Kartal Kayra Yılmaz,0,0.04,0,0,1.15,0.04
87,,Semih Güler,0,0.13,0,0,0.97,0.17
88,,Tomislav Glumac,0,0.04,0,0,1.33,0.11
89,,Güray Vural,0,0.13,0,0,1.33,0.17
90,,Rúnar Alex Rúnarsson,3.6,0.2,0.3,0.03,1.53,0.27
91,,Zouhair Feddal,0,0.4,0,0,1.2,0.4
92,,Caner Erkin,0,0.16,0,0,1.32,0.16
93,,Victor Nelsson,0,0.45,0,0,0.67,0.09
94,,Sam Larsson,0,0.1,0,0,1.07,0.17
95,,Marlos Moreno,0,0,0,0,1.17,0
96,,Milson,0,0,0,0,0.6,0.1
97,,Muhammet Demir,0,0.1,0,0,0.43,0.05
98,,Cherif Ndiaye,0,0,0,0,1.42,0.25
99,,Ibrahim Drešević,0,0.22,0,0,1.53,0.28
100,,Serkan Kırıntılı,3.2,0.1,0.1,0,1.3,0.2
101,,Jure Balkovec,0,0.14,0,0,1.17,0.14
102,,Magomed Ozdoev,0,0.09,0,0,1.3,0.24
103,,Ivan Cavaleiro,0,0,0,0,0.86,0.18
104,,Maximiliano Gómez,0,0.12,0,0,0.96,0.19
105,,Jonas Svensson,0,0.28,0,0,0.9,0.24
106,,Campanharo,0,0.08,0,0,0.83,0.33
107,,Deniz Türüç,0,0.07,0,0,0.67,0.1
108,,Mustafa Erdilman,0,0,0,0,0,0
109,,Muhammet Taha Tepe,2.8,0.4,0,0,0.8,0.4
110,,Abdülkadir Ömür,0,0.03,0,0,0.86,0.14
111,,David Jensen,3.81,0.22,0.34,0.09,1.41,0.38
112,,Kévin Malcuit,0,0.15,0,0,1.2,0.15
113,,Jackson Muleka,0,0,0,0,0.34,0.07
114,,Mortadha Ben Ouanes,0,0.24,0,0,1.24,0.07
115,,Souza,0,0.3,0,0,0.9,0.1
116,,Marko Jevtović,0,0.14,0,0,1.24,0.05
117,,Arda Kızıldağ,0,0.07,0,0,1.2,0.07
118,,Yunus Akgün,0,0.04,0,0,0.2,0.12
119,,Zé Luís,0,0,0,0,0.79,0.07
120,,Joshua King,0,0,0,0,0.56,0.13
121,,Uroš Radaković,0,0.14,0,0,1.18,0.27
122,,Miguel Crespo,0,0.09,0,0,0.57,0
123,,Attila Szalai,0,0.31,0,0,1.13,0.13
124,,Nacer Chadli,0,0,0,0,0,0
125,,Christian Atsu,0,0,0,0,0.33,0
126,,Christian Luyindama,0,0.2,0,0,1.4,0
127,,Mario Balotelli,0,0,0,0,0,0
128,,Sokol Cikalleshi,0,0,0,0,0,0
129,,Mehmet Feyzi Yıldırım,0,0,0,0,0.5,0
130,,Kâzımcan Karataş,0,0.27,0,0,0.18,0.09
131,,Olivier Kemen,0,0.07,0,0,1.15,0.41
132,,Orkun Ozdemir,3.65,0,0.25,0.05,1.4,0.1
133,,Ibrahim Šehić,2.83,0.28,0.17,0,0.97,0.07
134,,Lucas Lima,0,0.34,0,0,0.62,0.03
135,,Alexander Merkel,0,0,0,0,1,0
136,,Erce Kardeşler,3.86,0.19,0.19,0,1.71,0.1
137,,Omar Colley,0,0.3,0,0,0.8,0.2
138,,Onur Bulut,0,0.28,0,0,0.86,0.31
139,,Charis Charisis,0,0.08,0,0,1.12,0.12
140,,Enis Bardhi,0,0.03,0,0,0.57,0.17
141,,Erdal Rakip,0,0.07,0,0,0.53,0.2
142,,Umut Bozok,0,0,0,0,0.59,0.11
143,,Adil Demirbağ,0.04,0.26,0,0,1.11,0.11
144,,Marlon,0,0.15,0,0,1.38,0.08
145,,Aytaç Kara,0,0.03,0,0,1.03,0.03
146,,Yonathan Del Valle,0,0,0,0,0.89,0.06
147,,Adnan Januzaj,0,0.09,0,0,0.73,0
148,,Ertuğrul Ersoy,0,0.09,0,0,1,0.04
149,,Patrick van Aanholt,0,0.3,0,0,0.7,0.1
150,,Papy Djilobodji,0,0.14,0,0,1.31,0.07
151,,Altay Bayındır,2.27,0.35,0.19,0.04,1.08,0.12
152,,Fredrik Ulvestad,0,0.07,0,0,1,0.18
153,,Kerim Alıcı,0,0.25,0,0,0.5,0
154,,Jovan Manev,0,0.13,0,0,0.63,0
155,,Haris Hajradinović,0,0.03,0,0,1.27,0.06
156,,Ali Sowe,0,0.16,0,0,1.13,0.22
157,,Lucas Biglia,0,0.12,0,0,0.68,0.04
158,,Okan Erdoğan,0,0.23,0,0,1.4,0.3
159,,Muammer Yıldırım,3.33,0,0.17,0,1.5,0.33
160,,Riad Bajić,0,0.03,0,0,1.35,0.29
161,,Volkan Babacan,2.29,0.38,0.1,0,0.71,0.1
162,,Vukan Savićević,0,0,0,0,0.81,0.19
163,,Benjamin Stambouli,0,0.1,0,0,0.9,0.17
164,,Bilal Bayazit,3.4,0.23,0.23,0.03,1.3,0.43
165,,Mame Thiam,0,0.15,0,0,1.15,0.37
166,,Muammer Sarıkaya,0,0.06,0,0,1.26,0.29
167,,Mame Biram Diouf,0,0,0,0,1,0.07
168,,Arif Kocaman,0,0.29,0,0,1.07,0.5
