#,Team,Name
1,,Goran Karačić
2,,Deniz Dilmen
3,,Ataberk Dadakdeniz
4,,Vedat Karakuş
5,,Günay Güvenç
6,,Fernando Muslera
7,,Muhammed Şengezer
8,,Gökhan Akkan
9,,Ferhat Kaplan
10,,Ertaç Özbir
11,,Rúnar Alex Rúnarsson
12,,Serkan Kırıntılı
13,,Muhammet Taha Tepe
14,,David Jensen
15,,Orkun Ozdemir
16,,Ibrahim Šehić
17,,Erce Kardeşler
18,,Altay Bayındır
19,,Muammer Yıldırım
20,,Volkan Babacan
21,,Bilal Bayazit
22,,Mert Günok
23,,Uğurcan Çakır
24,,Emiliano Viviano
25,,Ali Şaşal Vural
26,,Helton Leite
27,,İrfan Can Eğribayat
28,,Erdem Canpolat
29,,Muhammed Alperen Uysal
30,,Ertuğrul Taşkıran
31,,Bahadır Han Güngördü
32,,Batuhan Ahmet Şen
33,,Ruud Boffin
34,,Onurcan Piri
35,,Berke Özer
36,,Ersin Destanoğlu
37,,Erhan Erentürk
38,,Okan Kocuk
39,,Emre Bilgin
40,,Yusuf Karagöz
41,,Anil Demir
42,,Doğukan Kaya
43,,Cenk Gönen
44,,Alp Arda
45,,Abdullah Yiğiter
46,,Muzaffer Cem Kablan
