Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Goran Karačić,0,0,0,0,0,0,0,0,0,6,0,0,0,0,42,85.71,0,50,6,1,0,0,0,0,0,0,100,100,0,0,1
Deniz Dilmen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,58.7,0,47.06,9,0,1,1,2,0,0,0,100,100,0,0,1
Ataberk Dadakdeniz,0,0,0,0,0,0,0,0,1,5,0,0,0,0,36,47.22,1,17.39,5,1,1,1,0,0,0,0,0,50,1,1,1
Vedat Karakuş,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31,80.65,0,25,6,0,0,0,1,0,0,0,0,50,1,0,1
Mauro Icardi,0.92,0.54,54.55,3.38,0.21,0,0.33,0.04,0,0.63,0,0.46,0.33,0.29,14.04,70.62,5.58,66.67,0,0.25,0,0,0.5,0.13,0.13,0,43.52,41.84,0.63,0.79,24
Fabio Borini,0.63,0.07,60.53,2.57,0.03,0,0.97,0.97,0.03,1.03,0,0.57,0.2,0.27,25,71.33,4.83,49.11,0,0.07,0,0,1.27,0.23,0.2,0,47.5,54,2.13,1.03,30
Arda Güler,0.2,0,52.63,1.7,0,0,1.25,0.15,0,0.1,0,0.95,0.35,0.15,29.25,84.96,9.85,70.45,0,0,0,0,0.45,0.1,0.05,0,50,53.03,1.4,0.55,20
Anastasios Bakasetas,0.3,0.07,63.64,2.74,0,0,1.93,0.81,0,0.41,0,0.67,0.3,0.19,51.89,82.37,14.48,57.76,0,0.22,0,0,1,0.19,0.33,0.04,35,54.92,1.74,1.15,27
Dia Saba,0.38,0.08,61.54,2,0,3.85,1.08,0.54,0,0.15,0,0.69,0.54,0.31,40.31,81.87,11.92,65.85,0,0.08,0,0,0.85,0.15,0.31,0,33.33,40.95,0.69,0.46,13
Fernando,0.17,0,39.13,1.7,0,0.35,1.57,0.97,0.03,0.57,0,1.37,0.3,0.07,62.77,82.74,9.7,60.48,0,0.13,0,0,1.23,0.17,0.33,0.03,48,44.81,0.9,0.9,30
